ADIPOGENESIS	ALLOGRAFT_REJECTION	ANDROGEN_RESPONSE	ANGIOGENESIS	APICAL_JUNCTION	APICAL_SURFACE	APOPTOSIS	BILE_ACID_METABOLISM	CHOLESTEROL_HOMEOSTASIS	COAGULATION	COMPLEMENT	DNA_REPAIR	E2F_TARGETS	EPITHELIAL_MESENCHYMAL_TRANSITION	ESTROGEN_RESPONSE_EARLY	ESTROGEN_RESPONSE_LATE	FATTY_ACID_METABOLISM	G2M_CHECKPOINT	GLYCOLYSIS	HEDGEHOG_SIGNALING	HEME_METABOLISM	HYPOXIA	IL2_STAT5_SIGNALING	IL6_JAK_STAT3_SIGNALING	INFLAMMATORY_RESPONSE	INTERFERON_ALPHA_RESPONSE	INTERFERON_GAMMA_RESPONSE	KRAS_SIGNALING_DN	KRAS_SIGNALING_UP	MITOTIC_SPINDLE	MTORC1_SIGNALING	MYC_TARGETS_V1	MYC_TARGETS_V2	MYOGENESIS	NOTCH_SIGNALING	OXIDATIVE_PHOSPHORYLATION	P53_PATHWAY	PANCREAS_BETA_CELLS	PEROXISOME	PI3K_AKT_MTOR_SIGNALING	PROTEIN_SECRETION	REACTIVE_OXYGEN_SPECIES_PATHWAY	SPERMATOGENESIS	TGF_BETA_SIGNALING	TNFA_SIGNALING_VIA_NFKB	UNFOLDED_PROTEIN_RESPONSE	UV_RESPONSE_DN	UV_RESPONSE_UP	WNT_BETA_CATENIN_SIGNALING	XENOBIOTIC_METABOLISM	Cuproptosis Positive	Cuproptosis negative
FABP4	PTPRC	KLK3	VCAN	ACTN1	B4GALT1	CASP3	SCP2	FDPS	F2	C2	POLR2H	AURKA	COL3A1	GREB1	TFF1	ACAA1	AURKA	PGK1	SHH	ALAS2	PGK1	SOCS2	IL4R	CXCL10	MX1	STAT1	CDH16	ANGPTL4	ARHGEF2	FADS1	PCNA	SLC19A1	ACTA1	JAG1	NDUFS3	CDKN1A	PAX6	ABCD3	MAPK8	ARCN1	GSR	PDHA2	TGFBR1	JUNB	ATF4	TJP1	NXF1	MYC	CYP1A1	FDX1	MTF1
ADIPOQ	IL12B	KLK2	POSTN	CLDN7	RHCG	CASP9	ABCD3	CYP51A1	PROC	C1S	POLR2A	BRCA2	COL5A2	CA12	SLC9A3R1	ACAA2	CCNA2	ALDOA	PTCH1	PPOX	PDK1	CISH	IL6ST	CCL2	ISG15	ISG15	SPTBN2	ITGA2	CLASP1	DDIT4	PSMD8	MRTO4	TNNI2	NOTCH3	UQCRB	BTG2	NEUROD1	ACOT8	PIK3R3	TMED10	PRDX2	TSSK2	SMAD7	CXCL2	HERPUD1	NFIB	SLC6A8	CTNNB1	FAH	LIAS	GLS
PPARG	TGFB1	ACSL3	FSTL1	ACTN3	MAL	DFFA	SLC27A2	IDI1	C1S	CFB	POLR2G	CCP110	COL5A1	SLC9A3R1	TPD52L1	ACADL	TOP2A	ENO1	NRCAM	FECH	GBE1	PIM1	STAT1	CCL5	OAS1	IFIT1	FGFR3	SPRY2	KIF11	CALR	PSMD7	TMEM97	MYL1	NOTCH2	NDUFS2	MDM2	ISL1	ACOX1	GRB2	COPB2	TXNRD1	TNP1	TGFB1	ATF3	PARN	TGFBR3	BAK1	JAG2	DCXR	LIPT1	CDKN2A
LIPE	IL12A	PIAS1	LRPAP1	CLDN19	LYPD3	CASP7	HSD3B7	FDFT1	MMP14	C1R	POLR2E	CENPE	FBN1	MYB	PRSS23	ACADM	CCNB2	TPI1	NRP1	HMBS	PFKL	IL2RA	IL1R1	FPR1	IFIT3	MX1	NOS1	HBEGF	KIF23	HK2	SET	RRP9	TNNC1	APH1A	SDHA	CCNG1	NKX2-2	ACSL1	NFKBIB	RAB14	SOD1	ZPBP	SMURF2	NFKBIA	EXOSC4	TFPI	CDC5L	NOTCH1	CYP1A2	DLD	
DGAT1	CD3E	CAMKK2	STC1	DLG1	PKHD1	CFLAR	HSD17B4	DHCR7	F10	SERPINE1	POLR2J	CKS2	COL1A1	ANXA9	CA12	ACOT8	CENPA	PFKP	SCG2	GYPB	ALDOA	TNFRSF4	CSF2RB	CCL20	IFI44	IFIT3	PDE6B	RBP4	ALS2	PGK1	SNRPA1	PES1	TNNC2	HES1	UQCRC1	FAS	PCSK1	ECH1	MAP2K6	ATP7A	GCLC	DPEP3	SMURF1	TNFAIP3	HSP90B1	MMP16	HSPA2	DLL1	GSTA3	DLAT	
LPL	CD3D	NKX3-1	LPL	TJP1	ATP6V0A4	BIRC3	AKR1D1	SQLE	PLG	MMP14	POLR2F	DCLRE1B	FN1	IGFBP4	PDZK1	ACOX1	BIRC5	ERO1A	AMOT	ALAD	ENO2	SOCS1	SOCS3	IL1A	IFI35	IFI35	SIDT1	HSD11B1	ARF6	SLC7A5	RAN	TFB2M	MYH3	CCND1	NDUFA9	TOB1	NKX6-1	ECI2	MAPK9	COPB1	CAT	ADAM2	BMPR2	PTGS2	XBP1	ABCC1	POLR2H	AXIN2	CYP2J2	PDHA1	
CPT2	CD28	TMPRSS2	VEGFA	COL17A1	CRYBG1	PMAIP1	ABCD2	HMGCS1	C1R	SERPING1	POLR2C	DNMT1	COL6A3	SYBU	ANXA9	ACSL1	CDC20	ALDOB	UNC5C	RHD	PGM1	TNFRSF9	STAT3	CXCL8	IRF7	IRF7	NTF3	ETV4	MYO9B	CTSC	SRSF2	EXOSC5	MYLPF	FZD1	NDUFS4	GADD45A	SLC2A2	EHHADH	AKT1	LAMP2	GPX4	ACTL7B	SKIL	CXCL1	EXOSC9	MAP2K5	ALAS1	PSEN2	CYP27A1	PDHB	
CD36	LYN	APPBP2	PF4	NECTIN1	SHROOM2	CASP8	PEX1	NSDHL	SERPINE1	CTSL	POLR2K	DONSON	SERPINE1	NPY1R	CELSR2	ALDH3A2	PLK1	VEGFA	ADGRG1	GYPA	NDRG1	XBP1	OSMR	CCL7	RSAD2	IFIT2	SCN10A	GLRX	MYH9	ACSL3	G3BP1	IPO4	TNNT3	PSEN2	NDUFS1	PHLDA3	SEC11A	GSTK1	MAPK1	EGFR	MPO	GAPDHS	SKI	IER3	HSPA5	AGGF1	TUBA4A	FZD1	ADH1C		
GPAM	HCLS1	CENPN	THBD	CLDN9	SRPX	JUN	CYP8B1	LSS	SERPING1	F5	GTF2H3	EED	COL1A2	PDZK1	TJP3	MIX23	TTK	MXI1	HEY1	SELENBP1	HK2	RRAGD	IL2RG	CCL22	IFI44L	OAS2	TAS2R4	DUSP6	TUBGCP3	SLC1A5	STARD7	NDUFAF4	TNNT2	FZD7	NDUFA2	TAP1	DCX	HSD17B4	PLCG1	IGF2R	PRDX1	TUBA3C	ACVR1	CD83	ATF3	PLCB4	C4BPB	NOTCH4	UGDH		
ADIPOR2	IL18	BMPR1B	FGFR1	CDH3	MDGA1	BCL2L11	PNPLA8	MVD	C2	MMP13	POLR2D	GINS1	COL4A1	NRIP1	PGR	CPT2	PRC1	PKM	GLI1	BLVRB	ALDOC	HK2	IFNGR1	CXCL11	IFITM1	TAP1	DTNB	SCG5	CKAP5	M6PR	NPM1	NOC4L	CASQ2	DTX1	NDUFS8	CDKN2B	SPCS1	MLYCD	TRIB3	COPE	PRDX6	LDHC	PMEPA1	CCL20	EXOSC1	MET	CCNE1	LEF1	ASL		
