sample	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-OR-A5J1-01	0.080233133	0.047235533	0.030733364	0.203092225	0.119928325	0.05232954	0.068238222	0.031563714	0.129746263	0.0493061
TCGA-OR-A5J2-01	0.08412575	0.044682933	0.026829091	0.12825215	0.082433025	0.31837228	0.033826578	0.032681114	0.116981575	0.045989075
TCGA-OR-A5J3-01	0.075272917	0.05014052	0.030151682	0.2617495	0.067793625	0.12926672	0.038207211	0.033290443	0.120840813	0.2586485
TCGA-OR-A5J4-01	0.078302333	0.048682345	0.0316283	0.180782625	0.1545996	0.5886038	0.069967511	0.034700243	0.131459525	0.048718025
TCGA-OR-A5J5-01	0.088262833	0.045855129	0.069051282	0.149989825	0.09293335	0.04669666	0.042054789	0.034314214	0.123881363	0.265108725
TCGA-OR-A5J6-01	0.08220705	0.0566505	0.071137945	0.23444585	0.07235475	0.3641908	0.054613289	0.034355986	0.116657638	0.241049675
TCGA-OR-A5J7-01	0.062348667	0.049790047	0.034006909	0.2626611	0.460703	0.3994733	0.102422489	0.0308974	0.123058263	0.22269785
TCGA-OR-A5J8-01	0.157126133	0.046784533	0.073984309	0.25959345	0.58282775	0.04687934	0.0691108	0.027879943	0.124164338	0.18191505
TCGA-OR-A5J9-01	0.114787267	0.04802828	0.074609673	0.266819275	0.339178725	0.230219	0.0566658	0.037835586	0.130568275	0.217975275
TCGA-OR-A5JA-01	0.084434	0.04115628	0.029556091	0.25409505	0.250649925	0.4510544	0.045876511	0.033070657	0.112320925	0.261581475
TCGA-OR-A5JB-01	0.154454933	0.054299907	0.034474655	0.266152925	0.060105525	0.05036058	0.073570467	0.0322543	0.134805975	0.0547199
TCGA-OR-A5JC-01	0.098201633	0.047784413	0.041726391	0.245395725	0.47286125	0.04647506	0.0769642	0.032502486	0.1018085	0.26218205
TCGA-OR-A5JD-01	0.093631433	0.04046688	0.039390809	0.19130935	0.278449725	0.35026076	0.051554811	0.028216343	0.088674675	0.25442675
TCGA-OR-A5JE-01	0.081650167	0.044039367	0.032866327	0.233641225	0.2040422	0.5205548	0.080708978	0.031688857	0.121433425	0.054372125
TCGA-OR-A5JF-01	0.089773267	0.050195993	0.074622491	0.187511075	0.084350025	0.4315522	0.043926378	0.031194714	0.131471813	0.266426275
TCGA-OR-A5JG-01	0.10088565	0.04446754	0.076828445	0.28564155	0.129016575	0.05186878	0.131088956	0.030411871	0.118062488	0.26701635
TCGA-OR-A5JI-01	0.106402183	0.04448262	0.034323736	0.25758735	0.25544225	0.04833412	0.076986178	0.035842886	0.124666413	0.250614025
TCGA-OR-A5JJ-01	0.09158585	0.055109703	0.0303493	0.2673931	0.438102775	0.04272586	0.062482933	0.029495743	0.102670525	0.06522765
TCGA-OR-A5JK-01	0.076660617	0.045914967	0.071346491	0.211618925	0.063271925	0.0423079	0.050002422	0.027622114	0.116168763	0.254326125
TCGA-OR-A5JL-01	0.08888965	0.04984758	0.075263555	0.20641075	0.121309725	0.30576792	0.044767189	0.031336071	0.11467145	0.244995025
TCGA-OR-A5JM-01	0.0640108	0.040693467	0.0630631	0.230340575	0.0791183	0.4375984	0.071750278	0.030749243	0.108419013	0.04086385
TCGA-OR-A5JO-01	0.0853509	0.054618773	0.034719273	0.2519737	0.066187	0.37183708	0.0492775	0.0354613	0.089987788	0.241327175
TCGA-OR-A5JP-01	0.095407783	0.045978867	0.069007873	0.261885025	0.114767075	0.05345324	0.0635692	0.034430414	0.1217881	0.07232295
TCGA-OR-A5JQ-01	0.08674675	0.043528707	0.071622927	0.261907875	0.087689725	0.26415402	0.046067022	0.035048357	0.1147274	0.254566975
TCGA-OR-A5JR-01	0.079772017	0.043404267	0.030810755	0.25749955	0.253436825	0.04946156	0.040004689	0.031555971	0.120692363	0.227020525
TCGA-OR-A5JS-01	0.068218167	0.05005612	0.075570818	0.256096925	0.1998557	0.37908778	0.042246033	0.034934357	0.12193655	0.25953065
TCGA-OR-A5JT-01	0.071844183	0.051801009	0.071661091	0.264125275	0.058430425	0.3659352	0.053248478	0.029278771	0.1225973	0.23286995
TCGA-OR-A5JV-01	0.08409525	0.052659768	0.069854891	0.225484975	0.14712915	0.05433508	0.038558089	0.031651129	0.114757663	0.14894825
TCGA-OR-A5JW-01	0.089983017	0.049792987	0.074438627	0.1906924	0.122425725	0.04500614	0.041780656	0.035044843	0.108952963	0.24885235
TCGA-OR-A5JX-01	0.078085717	0.04844898	0.0474279	0.237145525	0.1350429	0.05120388	0.037432611	0.030749986	0.123366313	0.2632093
TCGA-OR-A5JY-01	0.07123945	0.04458728	0.030560473	0.237463425	0.10050365	0.20002564	0.0683064	0.027972514	0.1206404	0.039118925
TCGA-OR-A5JZ-01	0.0892258	0.053330953	0.063236318	0.12641725	0.0710068	0.04785408	0.1079725	0.0343869	0.0722829	0.258625575
TCGA-OR-A5K0-01	0.101584583	0.049027553	0.031988191	0.2320148	0.365554025	0.3987275	0.060167522	0.0342578	0.130832838	0.053844425
TCGA-OR-A5K1-01	0.072967117	0.057366013	0.026558955	0.259590675	0.0517208	0.04624434	0.045471978	0.029334471	0.127383788	0.2571446
TCGA-OR-A5K2-01	0.090050033	0.060742853	0.071111882	0.2519155	0.167332025	0.41652096	0.076910589	0.034778271	0.126815413	0.048610975
TCGA-OR-A5K3-01	0.071387933	0.045772066	0.029295227	0.20386665	0.069249275	0.0438571	0.092649189	0.029713086	0.11867585	0.252763975
TCGA-OR-A5K4-01	0.072672683	0.040116957	0.026841255	0.253509425	0.06564795	0.08011316	0.041114856	0.0283278	0.062553675	0.1641698
