sample	PATIENT	cancer	TN	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-18-3417-01	TCGA-18-3417	LUSC	tumor	0.111998783	0.030119789	0.066529891	0.22621615	0.122671225	0.0593482	0.036190753	0.025123159	0.132999494	0.084399625
TCGA-18-3417-11	TCGA-18-3417	LUSC	normal	0.115231867	0.033731729	0.071927582	0.240032725	0.05807945	0.0473031	0.043236878	0.026800871	0.13527635	0.169038775
TCGA-18-4721-01	TCGA-18-4721	LUSC	tumor	0.09356495	0.033661699	0.033647991	0.19590255	0.09475885	0.05077474	0.048552389	0.027294671	0.128341444	0.11049895
TCGA-18-4721-11	TCGA-18-4721	LUSC	normal	0.12439095	0.035829597	0.038518855	0.240276675	0.069633775	0.04942912	0.043483928	0.025743026	0.135145794	0.15939095
TCGA-18-5592-01	TCGA-18-5592	LUSC	tumor	0.108255533	0.041519438	0.036031218	0.202804275	0.069196875	0.04486264	0.052254144	0.028572086	0.131030013	0.222115175
TCGA-18-5592-11	TCGA-18-5592	LUSC	normal	0.109972083	0.037471905	0.0409669	0.242873125	0.04691215	0.0391907	0.044471422	0.025416057	0.130944633	0.152710875
TCGA-22-4599-01	TCGA-22-4599	LUSC	tumor	0.112000717	0.034457181	0.033740818	0.210183825	0.184646825	0.27521262	0.05516011	0.025509204	0.126278691	0.099453625
TCGA-22-4599-11	TCGA-22-4599	LUSC	normal	0.115824067	0.036377523	0.033414064	0.24887155	0.0784994	0.375187	0.048062988	0.027132643	0.13120058	0.182622425
TCGA-22-4601-01	TCGA-22-4601	LUSC	tumor	0.172272967	0.037430249	0.033218818	0.217190025	0.076140375	0.3472656	0.04760981	0.027802857	0.134166539	0.059852775
TCGA-22-4601-11	TCGA-22-4601	LUSC	normal	0.100741783	0.041766343	0.0329848	0.247178075	0.065688925	0.4070686	0.047398057	0.026329657	0.129667219	0.1985316
TCGA-22-4613-01	TCGA-22-4613	LUSC	tumor	0.1042731	0.036744318	0.038004645	0.183048125	0.066294575	0.361395	0.0468479	0.025507086	0.13013445	0.1023499
TCGA-22-4613-11	TCGA-22-4613	LUSC	normal	0.097967733	0.038302333	0.037893136	0.24656385	0.089963975	0.3389678	0.043621363	0.0248447	0.129786589	0.19540255
TCGA-22-5471-01	TCGA-22-5471	LUSC	tumor	0.12376	0.041194833	0.037900809	0.217560375	0.048963725	0.05016858	0.057521367	0.027397957	0.136444904	0.193671
TCGA-22-5471-11	TCGA-22-5471	LUSC	normal	0.127544867	0.040421167	0.038064327	0.245093375	0.04688415	0.04609972	0.041098233	0.026018471	0.133865488	0.1343949
TCGA-22-5472-01	TCGA-22-5472	LUSC	tumor	0.07590265	0.042888619	0.036111009	0.250401425	0.04897045	0.04091474	0.054386367	0.027785614	0.138900739	0.0778517
TCGA-22-5472-11	TCGA-22-5472	LUSC	normal	0.114928667	0.034994147	0.035077191	0.245797925	0.062460575	0.04759382	0.049915889	0.025945671	0.134265988	0.194774925
TCGA-22-5473-01	TCGA-22-5473	LUSC	tumor	0.186211767	0.039935021	0.0667202	0.23567525	0.098294675	0.05076786	0.042396178	0.025440243	0.137394413	0.1585806
TCGA-22-5473-11	TCGA-22-5473	LUSC	normal	0.1155048	0.036326858	0.072134209	0.233736875	0.057527075	0.04781256	0.046242833	0.025631423	0.133753288	0.17879045
