	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
ACC		1.1 				1.1 				1.1 
BLCA	0.5 	0.5 	2.0 	1.0 	0.2 	1.0 	0.7 	2.5 	1.2 	0.5 
BRCA	0.3 	0.5 	0.4 	0.7 	0.3 	1.4 		1.2 	1.4 	0.9 
CESC		0.3 	0.3 	0.3 		2.5 		0.7 	1.4 	0.3 
CHOL		2.8 								
COAD	0.2 			0.2 	0.2 	0.5 		0.2 		0.7 
DLBC				2.8 						2.8 
ESCA	2.0 	2.0 	2.7 	8.2 	2.0 	1.6 	0.5 	2.2 	2.0 	
GBM	0.8 	0.4 	0.2 	0.8 	0.5 	0.2 		0.4 		0.2 
HNSC	0.2 		0.6 	2.8 		0.2 		0.6 	2.8 	0.8 
KICH	1.5 			1.5 	1.5 					
KIRC	0.2 	0.4 		0.6 	0.2 			0.2 	1.2 	
KIRP				1.4 					1.4 	
LAML	1.5 				1.5 					
LGG	0.4 	0.2 		3.5 	0.4 	0.4 	0.2 			0.2 
LIHC		2.0 	0.3 	2.2 		0.3 	0.5 	0.3 	0.8 	
LUAD	1.0 	1.4 	0.8 	2.2 	1.2 	0.4 	0.2 	1.0 	1.2 	0.6 
LUSC	0.6 	0.4 	2.3 	2.7 	0.3 	1.3 		0.8 	2.5 	0.4 
MESO								2.3 		
OV	3.5 	1.6 	1.4 	5.7 	3.2 	1.2 	2.3 	1.2 	5.5 	2.7 
PAAD		1.9 		2.2 	0.5 	0.5 		0.5 	0.5 	
PCPG							0.6 	0.6 		
PRAD			0.2 	0.5 		0.8 	0.6 		0.5 	
READ				0.6 		1.3 				0.6 
SARC	0.4 	0.8 	1.2 	3.2 	0.4 	4.3 		1.2 	0.8 	1.2 
SKCM	0.5 	0.5 	0.3 	3.5 		0.8 	1.4 	0.5 		0.3 
STAD	0.5 		0.7 	2.5 	0.5 	0.9 	0.2 	1.4 	1.6 	0.2 
TGCT				0.8 			0.8 			0.8 
THCA						0.4 				0.2 
THYM						0.8 	0.8 			
UCEC	0.2 	0.8 	0.8 	0.6 	0.2 	0.2 	0.6 	1.7 	1.7 	1.3 
UCS	1.8 		1.8 	3.6 	1.8 			1.8 	1.8 	
UVM										
