	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
ACC		1.1 		1.1 						7.9 
BLCA	1.0 	0.2 			0.7 	0.5 	1.5 		0.7 	33.9 
BRCA	1.5 	0.6 		0.9 	1.5 	0.3 	0.7 	0.9 		4.4 
CESC	4.4 	0.3 		0.7 	4.4 		2.4 			0.3 
CHOL										16.7 
COAD	0.5 			0.2 	0.2 	0.7 	0.2 			1.1 
DLBC	2.8 		2.8 		2.8 	2.8 			2.8 	31.3 
ESCA	2.0 				1.6 	2.7 	1.6 	0.5 		41.3 
GBM		0.2 				0.5 			0.2 	57.3 
HNSC	1.7 	0.2 	0.2 		1.7 	1.7 	1.0 		0.4 	3.9 
KICH										1.5 
KIRC	0.2 	0.2 			0.2 	0.4 	6.9 		0.2 	2.9 
KIRP	1.8 				1.8 	0.8 	0.4 	0.4 		3.9 
LAML				0.5 						1.5 
LGG						1.4 	0.8 	0.2 	0.2 	12.4 
LIHC	0.3 				0.3 	0.8 	0.3 	0.3 		5.7 
LUAD	1.2 			0.6 	1.2 	1.0 	0.2 			17.4 
LUSC	0.6 	0.3 		0.3 	1.3 	1.3 	1.3 		0.4 	27.7 
MESO							1.1 			46.0 
OV	1.6 	0.8 	0.2 	0.2 	1.6 	1.2 	0.4 	0.2 		3.4 
PAAD						0.5 				28.4 
PCPG								1.9 		
PRAD	1.4 	1.6 		0.6 	2.4 	0.2 	0.6 	0.2 		1.6 
READ	0.6 						0.6 			0.6 
SARC	3.6 		0.4 		3.6 	0.4 	2.0 		0.8 	14.2 
SKCM	3.0 				3.3 					3.8 
STAD	0.7 	0.2 		0.2 	0.9 	1.8 	0.9 	0.2 	0.7 	12.3 
TGCT					6.2 	0.8 				6.2 
THCA				0.2 						
THYM										4.7 
UCEC	1.0 	0.4 		0.2 	1.0 	0.4 	0.6 			0.2 
UCS	1.8 				1.8 		3.6 			
UVM	1.3 				1.3 					
