	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
ACC										1.1
BLCA		1	0.2	0.5	1	0.7	0.2	1.5	0.7	3.4
BRCA		0.3	0.1			0.1		0.2	0.2	
CESC		0.3			0.3	0.7	0.3	0.3	0.3	1.4
CHOL										5.6
COAD	0.2	0.5	1.1	0.7	0.5	0.7	0.5	0.5	0.7	0.2
DLBC										
ESCA			0.5	0.5						3.3
GBM				0.7	1.2	0.7	0.7	0.9	0.7	0.2
HNSC	0.2		0.2	0.2	0.6	0.6		0.4		10.1
KICH										
KIRC				0.4			0.2	0.4		
KIRP				0.4				0.4	0.4	0.4
LAML										
LGG						0.4			0.2	0.2
LIHC				0.3			0.3	0.3	0.3	1.6
LUAD	0.8	0.2		0.8	0.6			0.8	0.6	1.6
LUSC		0.4		0.6	0.6	0.4		0.6	0.4	6.4
MESO										
OV										
PAAD	0.5					0.5				0.5
PCPG										
PRAD				0.4	0.4			0.6		
READ			0.6		2.6					
SARC							0.4			
SKCM			0.3	0.5	0.5	0.3		1.9	0.8	7.1
STAD		0.7	0.2	1.8	1.1		0.7	1.1	0.5	1.6
TGCT										
THCA								0.2		
THYM										
UCEC	0.4	2.1	1.1	1.7	1.5	4.8	2.1	5.9	3.3	0.6
UCS	1.8		1.8					1.8		
UVM										
