TransFactor	Target
AHR	DENND1A
AHR	REL
AHR	SAMD12
ALX3	NR2C2
ARID5B	RGL1
ARID5B	STON1
ARID5B	TSC22D3
ARNT	ACAP2
ARNT	ADAR
ARNT	ARL6IP4
ARNT	ATF6
ARNT	ATP5D
ARNT	ATP7A
ARNT	BROX
ARNT	C19orf24
ARNT	CCNT1
ARNT	CELF1
ARNT	CEP350
ARNT	DNAJC13
ARNT	EPC1
ARNT	ERN1
ARNT	GAS2L3
ARNT	GTF2A1
ARNT	KIDINS220
ARNT	KLF11
ARNT	LRRC58
ARNT	MARCH8
ARNT	MED13
ARNT	MRPL27
ARNT	MYO9A
ARNT	PHC3
ARNT	PHF20
ARNT	PLEKHM3
ARNT	POLR2F
ARNT	RPS15
ARNT	TAF1
ARNT	TP53BP2
ARNT	TRAPPC2L
ARNT	USP12
ARNT	ZBTB21
ARNTL	GTF2H1
ARNTL	HPS5
ARNTL	NOD2
ARNTL	RNF145
ARNTL	ST3GAL6
ARNTL	STAT3
ARNTL2	ACIN1
ARNTL2	ADAR
ARNTL2	ADCY7
ARNTL2	ATF7IP2
ARNTL2	CACNA1D
ARNTL2	CACNA1I
ARNTL2	CCNB1
ARNTL2	CDH23
ARNTL2	CDK8
ARNTL2	CENPF
ARNTL2	COMT
ARNTL2	DCAKD
ARNTL2	DDX21
ARNTL2	DNMT1
ARNTL2	EIF4H
ARNTL2	FAM156A
ARNTL2	FOXH1
ARNTL2	HSPA8
ARNTL2	IFT27
ARNTL2	IL12RB2
ARNTL2	IL31RA
ARNTL2	IMPA2
ARNTL2	KCNH4
ARNTL2	KIF2A
ARNTL2	KPNA4
ARNTL2	LMF1
ARNTL2	LUC7L3
ARNTL2	ME3
ARNTL2	MLXIP
ARNTL2	MMP24
ARNTL2	MPST
ARNTL2	MYO10
ARNTL2	NAA15
ARNTL2	NADSYN1
ARNTL2	NARF
ARNTL2	NPAP1
ARNTL2	PCP2
ARNTL2	QTRT1
ARNTL2	RAB40C
ARNTL2	RHOU
ARNTL2	RPL13
ARNTL2	RPL19
ARNTL2	SETD4
ARNTL2	SETMAR
ARNTL2	SGSM3
ARNTL2	SLC31A2
ARNTL2	SLC39A8
ARNTL2	STAT3
ARNTL2	STK17A
ARNTL2	STK36
ARNTL2	STYX
ARNTL2	TMA7
ARNTL2	TMC7
ARNTL2	TSEN2
ARNTL2	TST
ARNTL2	UBL5
ARNTL2	UQCR11
ARNTL2	USP14
ARNTL2	VKORC1L1
ARNTL2	VNN1
ARNTL2	XPOT
ARNTL2	ZNF552
ARNTL2	ZNF814
ARNTL2	ZSCAN2
ATF1	ABHD17A
ATF1	ACBD4
ATF1	ADCK5
ATF1	ADIPOR2
ATF1	ALG10
ATF1	ALKBH7
ATF1	ANP32E
ATF1	AP4E1
ATF1	ARHGAP11B
ATF1	ARL13B
ATF1	ARL6IP6
ATF1	ARMC1
ATF1	ASCC3
ATF1	ATF6
ATF1	ATG4B
ATF1	ATP5D
ATF1	ATPIF1
ATF1	BAZ2A
ATF1	BRCA2
ATF1	BRMS1L
ATF1	C16orf93
ATF1	C19orf24
ATF1	C19orf53
ATF1	C19orf70
ATF1	C19orf73
ATF1	C21orf2
ATF1	C9orf16
ATF1	C9orf41
ATF1	CAND1
ATF1	CASC5
ATF1	CCDC101
ATF1	CCDC130
ATF1	CCDC159
ATF1	CCDC61
ATF1	CCDC94
ATF1	CCNA2
ATF1	CCNI
ATF1	CCNT1
ATF1	CDC5L
ATF1	CDK12
ATF1	CDV3
ATF1	CENPF
ATF1	CENPL
ATF1	CHSY1
ATF1	CKAP2L
ATF1	CLSPN
ATF1	CLTC
ATF1	CXXC1
ATF1	CXorf56
ATF1	DAAM1
ATF1	DDX18
ATF1	DDX21
ATF1	DGCR14
ATF1	DIAPH3
ATF1	DTL
ATF1	E4F1
ATF1	EHBP1
ATF1	EIF3A
ATF1	FAU
ATF1	FKBP2
ATF1	FKBP8
ATF1	G3BP1
ATF1	GEMIN8
ATF1	GGA1
ATF1	GLTSCR2
ATF1	GOLIM4
ATF1	GSTCD
ATF1	GTF2H3
ATF1	GTF2IRD2
ATF1	HAT1
ATF1	HBS1L
ATF1	HIPK1
ATF1	HIVEP1
ATF1	HSD11B1L
ATF1	HSPA13
ATF1	INAFM1
ATF1	INO80E
ATF1	INTS7
ATF1	ISG20L2
ATF1	KCTD20
ATF1	KDM5A
ATF1	KIAA0196
ATF1	KIF18A
ATF1	KIF20B
ATF1	KLHL5
ATF1	KPNA4
ATF1	KPNB1
ATF1	LENG9
ATF1	LIMS1
ATF1	LIN52
ATF1	LIN54
ATF1	LUC7L
ATF1	MAP2K1
ATF1	MED14
ATF1	MMGT1
ATF1	MPND
ATF1	MRPL54
ATF1	MVB12A
ATF1	NARFL
ATF1	NDUFA7
ATF1	NDUFAF3
ATF1	NDUFS7
ATF1	NEDD1
ATF1	NEK2
ATF1	NPAT
ATF1	NRAS
ATF1	NSUN6
ATF1	NUP153
ATF1	NUP155
ATF1	NUS1
ATF1	NUSAP1
ATF1	OCEL1
ATF1	OSBPL8
ATF1	PCBP2
ATF1	PDCD10
ATF1	PDZD8
ATF1	PEX11G
ATF1	PICK1
ATF1	PIK3CA
ATF1	PIK3R4
ATF1	POLA1
ATF1	PPP1R35
ATF1	PRC1
ATF1	PRIM1
ATF1	PRKRIP1
ATF1	PRR11
ATF1	PTOV1
ATF1	PTPN11
ATF1	PUS7L
ATF1	PWWP2B
ATF1	QSER1
ATF1	RAB11B
ATF1	RACGAP1
ATF1	RAPGEF6
ATF1	RBBP5
ATF1	RBM12
ATF1	RBM7
ATF1	RECQL
ATF1	REV3L
ATF1	RFC3
ATF1	RFWD3
ATF1	RHOT2
ATF1	RHPN1
ATF1	RNF168
ATF1	RNGTT
ATF1	RPL18
ATF1	RPL28
