TransFactor	Target
AHR	ABCB6
AHR	ABCC4
AHR	ALKBH2
AHR	ALOX5AP
AHR	AP2S1
AHR	ASXL3
AHR	ATAD3A
AHR	ATG4D
AHR	ATP6V0C
AHR	ATPIF1
AHR	BIRC3
AHR	C12orf73
AHR	C1S
AHR	CACNA1G
AHR	CCNYL1
AHR	CCSER2
AHR	CCT8
AHR	CDC42EP3
AHR	CDCA3
AHR	CDIPT
AHR	CEBPG
AHR	CHCHD4
AHR	CLPP
AHR	COL4A3BP
AHR	CYP1B1
AHR	CYSLTR1
AHR	DAPP1
AHR	DCN
AHR	DCXR
AHR	DDX3X
AHR	DEDD2
AHR	DLC1
AHR	DNPH1
AHR	DOCK2
AHR	DOCK8
AHR	DYNC2H1
AHR	DYNLL2
AHR	EIF4E3
AHR	ERBB2IP
AHR	ERG
AHR	EVC
AHR	FAM124B
AHR	FLI1
AHR	FNDC3A
AHR	GNAS
AHR	GNG12
AHR	GTF3A
AHR	HSPB1
AHR	ITGA9
AHR	JAM2
AHR	KIF13B
AHR	KIT
AHR	KLF13
AHR	LACC1
AHR	LAMA1
AHR	LPXN
AHR	LRIG3
AHR	LRRN3
AHR	LYVE1
AHR	MAF
AHR	MAFB
AHR	MKLN1
AHR	MKS1
AHR	MOSPD2
AHR	MRPL2
AHR	MRPL53
AHR	MRPS18A
AHR	MXD3
AHR	NAA10
AHR	NDUFB10
AHR	NDUFC1
AHR	NFS1
AHR	NIT2
AHR	NKAP
AHR	NME1
AHR	NOC2L
AHR	NOD1
AHR	NPR2
AHR	NR3C1
AHR	NRG1
AHR	PAGR1
AHR	PDCD2L
AHR	PDP1
AHR	PDPN
AHR	PDS5B
AHR	PHACTR2
AHR	PKD2
AHR	PLCL2
AHR	POLK
AHR	POLR2F
AHR	PPTC7
AHR	PTGS2
AHR	RAB3A
AHR	RAI2
AHR	RAN
AHR	RANBP2
AHR	RCBTB2
AHR	REL
AHR	ROMO1
AHR	RPS6KA2
AHR	RRS1
AHR	RUNX1
AHR	SAV1
AHR	SCAND1
AHR	SEC24A
AHR	SLC2A13
AHR	SLC4A4
AHR	SLK
AHR	SNRPA
AHR	SOBP
AHR	SP1
AHR	SPARCL1
AHR	SPG20
AHR	ST5
AHR	STAT4
AHR	SUSD6
AHR	SWI5
AHR	TACC1
AHR	TBCD
AHR	TCF7
AHR	TECR
AHR	TGFBR3
AHR	TJP1
AHR	TMEM106B
AHR	TMEM123
AHR	TMEM133
AHR	TMEM30A
AHR	TMEM43
AHR	TRHDE
AHR	TRUB2
AHR	TSPAN11
AHR	TSR3
AHR	TUBB4B
AHR	UBE2S
AHR	UNC5C
AHR	UNG
AHR	USP12
AHR	USP44
AHR	USP5
AHR	WDR11
AHR	YIPF3
AHR	ZNF574
ALX1	ABCG1
ALX1	AGR3
ALX1	BCL11A
ALX1	CDCA2
ALX1	CDKAL1
ALX1	CENPW
ALX1	CXCL5
ALX1	DMD
ALX1	FBN3
ALX1	FERMT1
ALX1	HMGA1
ALX1	IL34
ALX1	MID1
ALX1	NCK1
ALX1	NMU
ALX1	SCHIP1
ALX1	SCRG1
ALX1	SYTL5
ALX1	TBX19
ALX1	THOC5
ALX1	TRPM8
ALX1	TSLP
ALX1	TTC8
ALX1	UBXN10
ALX3	AGBL5
ALX3	AGR3
ALX3	AR
ALX3	B4GALT2
ALX3	BAHCC1
ALX3	CDK7
ALX3	CEACAM6
ALX3	CNTNAP3
ALX3	CSNK1A1
ALX3	CTAGE5
ALX3	DGCR8
ALX3	DMD
ALX3	FAHD1
ALX3	FAM150B
ALX3	FANCE
ALX3	GPRC5C
ALX3	H2AFY
ALX3	HDAC5
ALX3	HPDL
ALX3	IL17RD
ALX3	MDN1
ALX3	MID1
ALX3	MROH7
ALX3	NAT1
ALX3	NR2C2
ALX3	PAPD7
ALX3	PHC2
ALX3	PKDREJ
ALX3	PRX
ALX3	RGMA
ALX3	RNF14
ALX3	RP1L1
ALX3	SCRG1
ALX3	SOX6
ALX3	SPHKAP
ALX3	SRBD1
ALX3	STRIP1
ALX3	SYTL2
ALX3	TMED7
ALX3	TRAPPC13
ALX3	VANGL2
ALX3	WIF1
ALX3	ZNF512B
ALX4	ABCA10
ALX4	ABCA6
ALX4	ANGPTL1
ALX4	ANK2
ALX4	ATF3
ALX4	CDK15
ALX4	CSGALNACT1
ALX4	CUBN
ALX4	DMD
ALX4	FCER1A
ALX4	HEG1
ALX4	IRAK3
ALX4	JAM3
ALX4	KIAA1456
ALX4	MEF2C
ALX4	MID1
ALX4	MMRN1
ALX4	OLFML1
ALX4	PACRG
ALX4	PIK3C2G
ALX4	PROL1
ALX4	SCN2A
ALX4	SHOX2
ALX4	TCF4
ALX4	TGFBR3
AR	ADAT1
AR	ADCY5
AR	ADCY9
AR	ADNP2
AR	ADSSL1
AR	AFG3L2
AR	AGAP5
AR	AGBL4
AR	AMPD2
AR	ANKRD24
AR	ANXA2R
AR	APOBEC3A
AR	APRT
AR	ARF3
AR	ARHGAP22
AR	ARHGEF1
AR	ARL15
AR	ARMCX5
AR	ARPC5L
AR	ART3
AR	ASAH1
AR	ASPH
AR	ATF6
AR	ATP1A2
AR	ATP6V1F
AR	BCL2
AR	BIRC5
AR	BLOC1S6
AR	BMS1
AR	BNC2
AR	BOD1L1
AR	BRD8
AR	BTG3
AR	C15orf52
AR	C16orf45
AR	C1QTNF7
AR	C1orf106
AR	C1orf111
AR	C1orf168
AR	C2CD4D
AR	C3orf58
AR	C5AR2
AR	C6orf136
AR	C6orf223
AR	C9orf152
AR	CA9
AR	CADPS2
AR	CALR
AR	CAPN7
AR	CAPN9
AR	CASC10
AR	CASD1
AR	CASP2
AR	CASZ1
AR	CCDC149
AR	CCDC183
AR	CCDC96
AR	CCND1
AR	CCNG1
AR	CCNT2
AR	CDC25A
AR	CDC5L
AR	CDC6
AR	CDH3
AR	CDK16
AR	CDON
AR	CDYL2
AR	CENPL
AR	CENPM
AR	CEP97
AR	CHCHD2
AR	CHD1L
AR	CHEK1
AR	CHIC2
AR	CHMP4C
AR	CHRDL2
AR	CHRM1
