TransFactor	Target
AR	BNC2
AR	C1QTNF7
AR	COL14A1
AR	GUCY1A3
AR	LAMA2
AR	MFAP4
AR	PDE1A
AR	SULT1C4
AR	ZEB1
ARID5B	UQCC3
ARNT	ARID2
ARNT	ARL6IP4
ARNT	ATF6
ARNT	ATP5D
ARNT	BROX
ARNT	C19orf24
ARNT	CCNT1
ARNT	CEP350
ARNT	COQ4
ARNT	DDX59
ARNT	EPC1
ARNT	GTF2A1
ARNT	HEATR1
ARNT	KAT6B
ARNT	KIDINS220
ARNT	KLHL12
ARNT	KLHL28
ARNT	MED13L
ARNT	MKL2
ARNT	NCOA6
ARNT	NTMT1
ARNT	POGK
ARNT	POLR2L
ARNT	PSMD13
ARNT	RAB3GAP2
ARNT	RPS15
ARNT	RSPRY1
ARNT	SAC3D1
ARNT	TADA1
ARNT	TP53BP2
ARNT	WHSC1L1
ARNT	ZC3H11A
ARNT	ZNF292
ARNTL2	AMPD3
ARNTL2	FAM195B
ARNTL2	SERPINB2
ARNTL2	TXNRD2
ARNTL2	USP15
ATF1	ADNP
ATF1	AP5Z1
ATF1	ARHGAP11B
ATF1	ARL6IP6
ATF1	ASCC3
ATF1	ATP5D
ATF1	AURKAIP1
ATF1	C9orf41
ATF1	CAND1
ATF1	CASC5
ATF1	CCNI
ATF1	CCNT1
ATF1	CLSPN
ATF1	COPE
ATF1	EPC2
ATF1	FAM73A
ATF1	GTF2H3
ATF1	INO80E
ATF1	KCTD20
ATF1	MAP3K7
ATF1	MDN1
ATF1	NUP153
ATF1	NUP155
ATF1	OSBPL8
ATF1	PPIL4
ATF1	PRKAR1A
ATF1	PRR11
ATF1	PTPN11
ATF1	RAPGEF6
ATF1	RBBP5
ATF1	RNASEK
ATF1	RNF41
ATF1	SCAF11
ATF1	SCYL2
ATF1	SERINC1
ATF1	SHPRH
ATF1	SSNA1
ATF1	TFCP2
ATF1	THAP3
ATF1	ZFP91
ATF1	ZNF644
ATF1	ZNF688
ATF2	AAMDC
ATF2	ACBD3
ATF2	ACER2
ATF2	ACOT8
ATF2	ACTR2
ATF2	ADAM10
ATF2	ADAM17
ATF2	ADAM9
ATF2	ADAT1
ATF2	ADNP
ATF2	ADNP2
ATF2	AFF4
ATF2	AGPS
ATF2	AIP
ATF2	AKAP10
ATF2	AKAP11
ATF2	AKAP2
ATF2	AKAP9
ATF2	ALKBH2
ATF2	ALKBH4
ATF2	ANAPC1
ATF2	ANKIB1
ATF2	ANKRD17
ATF2	ANKRD26
ATF2	AP2S1
ATF2	APAF1
ATF2	APPBP2
ATF2	AQR
ATF2	ARF5
ATF2	ARFGEF2
ATF2	ARHGAP11B
ATF2	ARID4A
ATF2	ARID4B
ATF2	ARL5B
ATF2	ARL6IP4
ATF2	ARL6IP6
ATF2	ARMC1
ATF2	ARPC3
ATF2	ASCC3
ATF2	ASH1L
ATF2	ASXL2
ATF2	ATAD5
ATF2	ATE1
ATF2	ATF6
ATF2	ATF7
ATF2	ATF7IP
ATF2	ATG101
ATF2	ATP2A2
ATF2	ATP5D
ATF2	ATP5E
ATF2	ATP5G1
ATF2	ATP5G2
ATF2	ATP5H
ATF2	ATP5I
ATF2	ATP5J
ATF2	ATP5J2
ATF2	ATP5O
ATF2	ATP6V0B
ATF2	ATP6V0E1
ATF2	ATP6V1F
ATF2	ATPIF1
ATF2	ATRX
ATF2	ATXN1L
ATF2	AURKAIP1
ATF2	AVL9
ATF2	BAG4
ATF2	BANF1
ATF2	BARD1
ATF2	BAX
ATF2	BAZ2A
ATF2	BAZ2B
ATF2	BBX
ATF2	BCLAF1
ATF2	BDP1
ATF2	BIRC6
ATF2	BLOC1S1
ATF2	BOD1L1
ATF2	BPTF
ATF2	BRCA2
ATF2	BRD2
ATF2	BRIP1
ATF2	BRMS1
ATF2	BROX
ATF2	BRPF3
ATF2	BTAF1
ATF2	BTBD7
ATF2	BUB1
ATF2	BUD31
ATF2	C11orf30
ATF2	C12orf10
ATF2	C12orf57
ATF2	C14orf2
ATF2	C16orf13
ATF2	C17orf49
ATF2	C18orf21
ATF2	C19orf24
ATF2	C19orf43
ATF2	C19orf48
ATF2	C19orf53
ATF2	C19orf70
ATF2	C1orf123
ATF2	C1orf50
ATF2	C4orf29
ATF2	C8orf37
ATF2	C8orf59
ATF2	C9orf16
ATF2	C9orf41
ATF2	CASC5
ATF2	CASP8AP2
ATF2	CCDC101
ATF2	CCDC107
ATF2	CCDC12
ATF2	CCDC124
ATF2	CCDC138
ATF2	CCDC186
ATF2	CCDC39
ATF2	CCDC61
ATF2	CCNI
ATF2	CCNT1
ATF2	CCNT2
ATF2	CCS
ATF2	CDC73
ATF2	CDK12
ATF2	CDK13
ATF2	CDKL5
ATF2	CEP135
ATF2	CEP170
ATF2	CEP192
ATF2	CEP350
ATF2	CEP97
ATF2	CERS6
ATF2	CFAP97
ATF2	CHAMP1
ATF2	CHD2
ATF2	CHD8
ATF2	CHM
ATF2	CHMP2A
ATF2	CHMP4A
ATF2	CISD3
ATF2	CLASP1
ATF2	CLCN3
ATF2	CLOCK
ATF2	CLSPN
ATF2	CLTC
ATF2	CLVS1
ATF2	CMTM1
ATF2	CNNM4
ATF2	COMMD1
ATF2	COMMD4
ATF2	COMMD6
ATF2	COPA
ATF2	COPB1
ATF2	COPE
ATF2	COPS6
ATF2	COQ4
ATF2	COX14
ATF2	COX16
ATF2	COX17
ATF2	COX4I1
ATF2	COX5A
ATF2	COX5B
ATF2	COX6A1
ATF2	COX6C
ATF2	COX7B
ATF2	COX7C
ATF2	COX8A
ATF2	CREBRF
ATF2	CTDSPL2
ATF2	CWC22
ATF2	CXorf56
ATF2	DCAF17
ATF2	DCAF7
ATF2	DDX18
