TransFactor	Target
AHR	AP2S1
AHR	ATP5D
AHR	ATPIF1
AHR	CACHD1
AHR	COL12A1
AHR	DYNC2H1
AHR	EFR3A
AHR	EGLN2
AHR	FNDC3A
AHR	GAS2L3
AHR	GNG5
AHR	HSPB11
AHR	KIAA0196
AHR	MKL2
AHR	MRPL53
AHR	MRPS18A
AHR	MXD3
AHR	NDUFB10
AHR	NDUFC1
AHR	NR3C1
AHR	OAZ1
AHR	PKD2
AHR	POLK
AHR	POLR1A
AHR	POLR2L
AHR	PPTC7
AHR	RALGAPB
AHR	RANBP2
AHR	REL
AHR	ROMO1
AHR	RPS24
AHR	SEC24A
AHR	SEC24D
AHR	SF3B5
AHR	SLC30A6
AHR	SNRPA
AHR	SOS1
AHR	SUSD6
AHR	TMEM106B
AHR	TSR3
AHR	UQCRB
AHR	USP12
AHR	ZMYND11
AIRE	ENPP4
AIRE	ENPP6
AIRE	FXYD6
AIRE	KIF25
AIRE	MCF2L
AIRE	MGP
AIRE	RAB38
AIRE	STK33
ALX3	BRD3
ALX3	CELF1
ALX3	CHAMP1
ALX3	ELF2
ALX3	FBXO21
ALX3	FOXRED2
ALX3	HIF1AN
ALX3	HLCS
ALX3	IFI27L2
ALX3	KLHL20
ALX3	LRRC58
ALX3	MAPK8
ALX3	MDN1
ALX3	MED23
ALX3	MTOR
ALX3	NEDD8
ALX3	NR2C2
ALX3	PHIP
ALX3	PSMA4
ALX3	PTS
ALX3	SMIM4
ALX3	SQRDL
ALX3	STRIP1
ALX3	TCEB1
ALX3	WIPF2
ALX3	ZFR2
ALX3	ZNF652
AR	A2M
AR	ADAT1
AR	ADCY5
AR	ADNP2
AR	AFF2
AR	AKNA
AR	AMOT
AR	ANK2
AR	APOD
AR	APRT
AR	ARHGAP24
AR	ARPC5L
AR	ASAH1
AR	ATF6
AR	BAG4
AR	BCL2
AR	BCL9
AR	BEND5
AR	BNC2
AR	BOD1L1
AR	C16orf45
AR	C16orf74
AR	C1QTNF7
AR	CACNB4
AR	CADPS2
AR	CAPN7
AR	CARHSP1
AR	CASD1
AR	CCDC102B
AR	CCDC141
AR	CCDC149
AR	CCR2
AR	CD180
AR	CD28
AR	CDON
AR	CDYL2
AR	CEP68
AR	CEP97
AR	CHRDL2
AR	CHRNA7
AR	CLASP2
AR	COL11A1
AR	COL14A1
AR	COLEC12
AR	COMMD4
AR	COX17
AR	COX7B
AR	CPA3
AR	CPE
AR	CPED1
AR	CREBRF
AR	CRHR2
AR	CSNK2B
AR	CTHRC1
AR	CTSO
AR	CTSS
AR	CXCR4
AR	CYP27A1
AR	DAG1
AR	DAGLA
AR	DCHS2
AR	DIO2
AR	DKK2
AR	DMD
AR	DPCD
AR	DPM2
AR	DPY19L3
AR	EDF1
AR	EDNRB
AR	EGFLAM
AR	EIF2AK3
AR	ELK4
AR	ELMO1
AR	EPHA3
AR	F10
AR	F13A1
AR	F2R
AR	F5
AR	FAM101A
AR	FAM107A
AR	FAM160B1
AR	FAM171B
AR	FAM198B
AR	FBLN2
AR	FBXO21
AR	FCGRT
AR	FDXR
AR	FHL5
AR	FILIP1
AR	FLI1
AR	FMO2
AR	FNDC3B
AR	FPR3
AR	FUT4
AR	GATSL2
AR	GIMAP6
AR	GIMAP8
AR	GJB3
AR	GJD3
AR	GPATCH3
AR	GPR173
AR	GRB10
AR	GREM2
AR	GTF2B
AR	GTF3C6
AR	GUCY1A3
AR	GUCY1B3
AR	GYPC
AR	HELB
AR	HELZ
AR	HEPH
AR	HSPB11
AR	IFNE
AR	IFT43
AR	IGF1
AR	IRAK3
AR	ITGA11
AR	ITGB3
