TransFactor	Target
AHR	ALCAM
AHR	ATG4D
AHR	ATP5D
AHR	ATP6V0C
AHR	ATPIF1
AHR	CCNYL1
AHR	CCSER2
AHR	CHID1
AHR	COQ4
AHR	CYSLTR1
AHR	DCXR
AHR	DIEXF
AHR	DLC1
AHR	EFR3A
AHR	EIF4E3
AHR	ETFB
AHR	FLI1
AHR	FNDC3A
AHR	GNPTG
AHR	HECW2
AHR	HOMER3
AHR	IKZF3
AHR	IPO11
AHR	ITGA9
AHR	ITPR1
AHR	LACC1
AHR	LYVE1
AHR	MAEA
AHR	MIS18BP1
AHR	MOSPD2
AHR	MRPL2
AHR	MRPL53
AHR	MRPS18A
AHR	NDUFB10
AHR	NR3C1
AHR	PDS5B
AHR	POLR2F
AHR	POLR2L
AHR	PPP2R2D
AHR	PTRH1
AHR	RAB3A
AHR	REL
AHR	ROMO1
AHR	SCAND1
AHR	SEC24A
AHR	SERBP1
AHR	SLC39A10
AHR	TACC1
AHR	TECR
AHR	TRUB2
AHR	TSNAX
AHR	UQCRB
AHR	ZNF837
AIRE	ARRDC5
AIRE	CCDC136
AIRE	CCDC154
AIRE	CLASRP
AIRE	CLTC
AIRE	CSNK1E
AIRE	DNAH1
AIRE	EGFL8
AIRE	ENPP4
AIRE	FAM156A
AIRE	FCHSD1
AIRE	KCNV2
AIRE	LSMEM1
AIRE	LUC7L
AIRE	METTL22
AIRE	MOV10L1
AIRE	STRC
AIRE	TEX29
AIRE	TSPYL6
AIRE	ZNF169
ALX1	ARHGEF25
ALX1	KIAA1211
ALX1	OLFML1
ALX1	SCRG1
ALX1	SGCD
ALX3	ABCA10
ALX3	ADAMTS13
ALX3	ANKMY1
ALX3	ARIH2
ALX3	BAHCC1
ALX3	C10orf105
ALX3	CACNB2
ALX3	CCDC7
ALX3	CELF1
ALX3	COPB1
ALX3	DAAM2
ALX3	DBF4B
ALX3	DFNB59
ALX3	DGCR8
ALX3	DLD
ALX3	DPY19L2
ALX3	DRICH1
ALX3	GFM1
ALX3	GLI2
ALX3	HDAC5
ALX3	HIATL2
ALX3	IQSEC1
ALX3	ITGA7
ALX3	LRIT3
ALX3	MROH7
ALX3	NBPF15
ALX3	NPAS4
ALX3	NR2C2
ALX3	ODF2L
ALX3	OSTC
ALX3	PAPD7
ALX3	PIF1
ALX3	POU5F1B
ALX3	PRNP
ALX3	PRPF3
ALX3	PRSS37
ALX3	PRX
ALX3	RBM44
ALX3	RP1L1
ALX3	SCO1
ALX3	SERPINE3
ALX3	SMG6
ALX3	SMIM20
ALX3	SPATA6L
ALX3	STRIP1
ALX3	TAS2R5
ALX3	TMED7
ALX3	TMX2
ALX3	TYK2
ALX3	WDR59
ALX3	ZGRF1
ALX3	ZNF177
ALX3	ZNF417
ALX3	ZNF512B
ALX3	ZNF587
ALX3	ZNF621
AR	A1BG
AR	ABLIM1
AR	ACTR1A
AR	ADAT1
AR	ADCK4
AR	ADCY5
AR	ADCY9
AR	ADNP2
AR	AFF2
AR	AFG3L2
AR	AGAP4
AR	AGAP6
AR	AMOT
AR	ANAPC5
AR	ANK3
AR	ANKDD1A
AR	ANKRD31
AR	APRT
AR	ARHGAP24
AR	ARHGEF1
AR	ARHGEF28
AR	ARL15
AR	ARPC5L
AR	ASAH1
AR	ASAH2B
AR	ATF6
AR	ATG4B
AR	ATP6V0E1
AR	ATP6V1C1
AR	ATP6V1F
AR	ATXN7L3B
AR	BAG4
AR	BCAP31
AR	BCL2
AR	BIRC5
AR	BLOC1S6
AR	BNIP1
AR	BOD1L1
AR	BTG3
AR	C12orf73
AR	C19orf25
AR	C6orf136
AR	CABP7
AR	CADPS2
AR	CALR
AR	CAPN7
AR	CARNS1
AR	CARS
AR	CAT
AR	CCDC121
AR	CCDC171
AR	CCDC47
AR	CCDC85B
AR	CCDC88B
AR	CCNG1
AR	CD63
AR	CDADC1
AR	CDC14B
AR	CDH2
AR	CDK16
AR	CDYL2
AR	CENPM
AR	CEP131
AR	CEP68
AR	CEP97
