TransFactor	Target
AHR	COX7A2L
AHR	RCBTB2
AHR	SUN1
AHR	TES
AHR	TMEM43
AR	ADAT1
AR	ADCY9
AR	AMOT
AR	ARPC5L
AR	ASAH2B
AR	ATF6
AR	BAG4
AR	BNIP1
AR	BOD1L1
AR	C19orf71
AR	CAPN7
AR	CCDC85B
AR	CDC14B
AR	CEP97
AR	CLASP2
AR	COMMD4
AR	CREBRF
AR	CRK
AR	CSNK2B
AR	DDX3X
AR	DGKH
AR	DPM2
AR	DPY19L3
AR	EDF1
AR	EGFL7
AR	ERC1
AR	FKTN
AR	GNAL
AR	GTF3C6
AR	HELZ
AR	HMGCS1
AR	HOXA6
AR	HSPB11
AR	KLHL23
AR	KLHL8
AR	LBHD1
AR	LDOC1L
AR	LEPROT
AR	LPP
AR	LSM1
AR	MAD2L2
AR	MAP3K13
AR	MAPK8
AR	MED13
AR	MGAT5
AR	MIEN1
AR	MON1B
AR	PACSIN2
AR	PDCD5
AR	PLS1
AR	POLR2I
AR	POLR2J
AR	PPCDC
AR	PPTC7
AR	PSMB4
AR	PSMD13
AR	PSME2
AR	PSMG4
AR	PTPRK
AR	RAB13
AR	RAB19
AR	RBMX2
AR	RFX3
AR	RPS6KA3
AR	RPS9
AR	SH3D19
AR	SIK2
AR	SIVA1
AR	SLC35E2
AR	SLFN5
AR	STT3B
AR	TBCB
AR	TCP11L2
AR	TEN1
AR	TMSB10
AR	TNPO3
AR	TRAPPC11
AR	TRAPPC5
AR	TRRAP
AR	TTC26
AR	UBXN1
AR	UQCC3
AR	VPS13B
AR	ZBTB20
AR	ZMYND11
AR	ZNF354C
AR	ZNF407
AR	ZNHIT1
ARID3A	CCRN4L
ARID3A	FAM69A
ARID3A	GFOD1
ARID3A	LRRC48
ARID3A	MTHFD2
ARID3A	SEPSECS
ARNT	ADAR
ARNT	ARL6IP4
ARNT	ATF6
ARNT	ATF7IP
ARNT	ATP5D
ARNT	ATP7A
ARNT	BCOR
ARNT	BMPR1A
ARNT	BMPR2
ARNT	BROX
ARNT	C19orf70
ARNT	C19orf73
ARNT	CAMSAP2
ARNT	CBL
ARNT	CCM2
ARNT	CCNT1
ARNT	CELF1
ARNT	CEP350
ARNT	CHMP2A
ARNT	CIPC
ARNT	COMMD4
ARNT	CUEDC2
ARNT	DOCK1
ARNT	EPC1
ARNT	ERCC6
ARNT	ERN1
ARNT	FAM179B
ARNT	FAM63B
ARNT	FDX1L
ARNT	FUT11
ARNT	GPBP1L1
ARNT	GPX1
ARNT	GTF2A1
ARNT	HEATR1
ARNT	HECTD1
ARNT	KAT6B
ARNT	KIDINS220
ARNT	KLHL28
ARNT	LAMTOR4
ARNT	LPP
ARNT	LRIG2
ARNT	MARCH6
ARNT	MARCH8
ARNT	MED13
ARNT	MED13L
ARNT	MFAP3
ARNT	MIEN1
ARNT	MMAB
ARNT	MPHOSPH8
ARNT	MRPL27
ARNT	MYO9A
ARNT	NDUFA3
ARNT	NDUFB2
ARNT	PHKG2
ARNT	POLR2F
ARNT	POLR2L
ARNT	PTRH1
ARNT	PURA
ARNT	PUS1
ARNT	RAB3GAP2
ARNT	RALGAPA2
ARNT	RC3H2
ARNT	RLF
ARNT	RNF38
ARNT	ROR1
ARNT	SCAND1
ARNT	SIRT1
ARNT	SMC3
ARNT	SOCS5
ARNT	SYNJ2
ARNT	TAF1
ARNT	TNKS2
ARNT	UBE4B
ARNT	UQCC2
ARNT	UQCR11
ARNT	USP12
ARNT	USP32
ARNT	VPS13B
ARNT	WHSC1L1
ARNT	YAP1
ARNT	ZC3HAV1L
ARNT	ZFR
ARNT	ZNF354C
ARNT	ZNF460
ARNT	ZNF573
ARNT	ZNHIT1
ARNT	ZZZ3
ARNT2	AKR1A1
ARNT2	APEX2
ARNT2	BACE1
ARNT2	HDAC4
ARNT2	PRDX1
ARNT2	PRELID1
ARNT2	PTCH1
ARNT2	TALDO1
ATF1	AASDHPPT
ATF1	ABCE1
ATF1	ABHD17A
ATF1	ABTB1
ATF1	ACBD4
ATF1	ACD
ATF1	ADAM9
ATF1	ADAT1
ATF1	ADCK5
ATF1	ADNP
ATF1	ADSS
ATF1	AGGF1
ATF1	AKIRIN1
ATF1	AKT1S1
ATF1	ALG10
ATF1	ALKBH6
ATF1	ALKBH7
ATF1	ANAPC2
ATF1	ANKRD13C
ATF1	ANKRD17
ATF1	AP1AR
ATF1	API5
ATF1	AQR
ATF1	ARCN1
ATF1	ARF5
ATF1	ARIH1
ATF1	ARL5A
ATF1	ARMC1
ATF1	ASCC3
ATF1	ATF6
ATF1	ATG4B
ATF1	ATG4C
ATF1	ATP5D
ATF1	ATRIP
ATF1	AUP1
ATF1	AURKAIP1
ATF1	AZIN1
ATF1	B3GAT3
ATF1	BAD
ATF1	BCLAF1
ATF1	BIN3
ATF1	BLOC1S6
ATF1	BLZF1
ATF1	BOD1L1
ATF1	BRAF
ATF1	BRCA2
ATF1	BRMS1
ATF1	BRMS1L
ATF1	C11orf30
ATF1	C12orf66
ATF1	C19orf24
ATF1	C19orf70
ATF1	C1orf109
ATF1	C2orf69
ATF1	C7orf50
ATF1	C9orf16
ATF1	C9orf41
ATF1	CAND1
ATF1	CASC5
ATF1	CCDC107
ATF1	CCDC124
ATF1	CCDC130
ATF1	CCDC159
ATF1	CCDC61
ATF1	CCDC94
ATF1	CCNI
ATF1	CCNT1
ATF1	CD164
ATF1	CD2AP
ATF1	CD46
ATF1	CDC37
ATF1	CDC5L
ATF1	CDK2AP2
ATF1	CENPL
ATF1	CEP170
ATF1	CEP350
ATF1	CHMP2A
ATF1	CHUK
ATF1	CLCN3
ATF1	CLINT1
ATF1	CNOT7
ATF1	COPE
ATF1	CSDE1
ATF1	CSNK1G1
ATF1	CSTF2T
ATF1	CTU1
ATF1	CXorf56
ATF1	DAAM1
ATF1	DDX21
ATF1	DDX3X
ATF1	DDX59
ATF1	DENND4A
ATF1	DGCR6
ATF1	DGUOK
ATF1	DHX33
ATF1	DHX36
ATF1	DIEXF
ATF1	DNAJB2
ATF1	DNAJC14
ATF1	DYNC1I2
ATF1	E4F1
ATF1	EDEM3
ATF1	EDF1
ATF1	EEF2KMT
ATF1	EFCAB14
ATF1	EFR3A
ATF1	EIF2B4
ATF1	EIF3A
ATF1	ELF1
ATF1	EPC2
ATF1	EPN1
ATF1	EPRS
ATF1	EPS15
ATF1	ERGIC2
ATF1	ETV3
ATF1	EVI5
ATF1	EXOC6B
ATF1	FAM122A
ATF1	FAM179B
ATF1	FAM50A
ATF1	FAM73A
ATF1	FBXO28
ATF1	FBXO38
ATF1	FBXW2
ATF1	FICD
ATF1	FKBP2
ATF1	FKBP8
ATF1	G3BP1
ATF1	G3BP2
ATF1	GATC
ATF1	GGA1
ATF1	GGTLC2
ATF1	GOLGA5
ATF1	GOLIM4
ATF1	GOLPH3
ATF1	GPALPP1
ATF1	GSTCD
ATF1	GTF2H3
ATF1	HAUS2
ATF1	HBS1L
ATF1	HCFC1R1
ATF1	HDX
ATF1	HEXIM2
ATF1	HHLA3
ATF1	HIPK1
ATF1	HIVEP1
ATF1	HMGCR
ATF1	HNRNPF
ATF1	HNRNPH2
ATF1	HOMER1
ATF1	HSD11B1L
ATF1	HSPA13
ATF1	HSPA14
ATF1	HSPBP1
ATF1	HTRA2
ATF1	ICE1
ATF1	IFT43
ATF1	INAFM1
ATF1	INIP
ATF1	INO80E
ATF1	INTS7
ATF1	IPO11
ATF1	IPO7
ATF1	IPP
ATF1	ISG20L2
ATF1	ITCH
ATF1	JUND
ATF1	KCTD20
ATF1	KDM5A
ATF1	KIAA0196
ATF1	KIAA1715
