TransFactor	Target
AHR	ABCB6
AHR	ACBD6
AHR	ADAP2
AHR	AGL
AHR	ALDH3A1
AHR	ALKBH2
AHR	ALOX5AP
AHR	ANKRD16
AHR	ARHGEF3
AHR	ASGR2
AHR	ATP5D
AHR	AXIN1
AHR	B2M
AHR	BIRC3
AHR	BRD8
AHR	C1S
AHR	C2CD2
AHR	CACHD1
AHR	CAMK2D
AHR	CC2D1B
AHR	CCDC122
AHR	CCDC174
AHR	CCNYL1
AHR	CDCP1
AHR	CDKN1B
AHR	CEBPG
AHR	COL12A1
AHR	CTSA
AHR	CYP1B1
AHR	CYSLTR1
AHR	DAPP1
AHR	DCLK1
AHR	DCLRE1B
AHR	DCXR
AHR	DDX51
AHR	DEF6
AHR	DGAT1
AHR	DLG3
AHR	DOCK2
AHR	DOCK8
AHR	DRG1
AHR	DTD1
AHR	EIF4ENIF1
AHR	ELP3
AHR	ERBB2IP
AHR	ESYT1
AHR	EVC
AHR	FAM216A
AHR	FAM26F
AHR	FAM46A
AHR	FCAR
AHR	FLI1
AHR	FXYD6
AHR	GAS2L3
AHR	GID8
AHR	GLA
AHR	GNG12
AHR	GNG4
AHR	GNG5
AHR	GRIA2
AHR	IKZF3
AHR	IL2RB
AHR	ILF3
AHR	IMMP1L
AHR	KEAP1
AHR	KHNYN
AHR	KIF13B
AHR	KLC4
AHR	LACC1
AHR	LGALS8
AHR	LIMS2
AHR	LPXN
AHR	LRIG3
AHR	LRRC42
AHR	LSP1
AHR	LY96
AHR	MADD
AHR	MAF
AHR	MARVELD1
AHR	MILR1
AHR	MIS18BP1
AHR	MTA3
AHR	MYH6
AHR	NAT1
AHR	NDUFB10
AHR	NKAIN1
AHR	NOD1
AHR	NTAN1
AHR	NUMA1
AHR	OSR2
AHR	P2RY6
AHR	PARL
AHR	PDE4A
AHR	PDPN
AHR	PGGT1B
AHR	PHACTR2
AHR	PHACTR3
AHR	PHTF1
AHR	PLK5
AHR	POLR2F
AHR	PPP2R2D
AHR	PTCD3
AHR	REEP6
AHR	REL
AHR	RILPL2
AHR	RPL13
AHR	RPS24
AHR	RUNX1
AHR	SCAP
AHR	SCIN
AHR	SEC24D
AHR	SLC1A5
AHR	SNAP91
AHR	SNCB
AHR	SOBP
AHR	SSRP1
AHR	STK3
AHR	SUSD6
AHR	TBC1D19
AHR	TBCD
AHR	TCF7
AHR	TDRP
AHR	TES
AHR	THAP11
AHR	THBS1
AHR	TMEM255B
AHR	TMEM43
AHR	TMEM63C
AHR	TRIM67
AHR	TSPYL2
AHR	TTC12
AHR	TTLL12
AHR	UQCRB
AHR	XBP1
AIRE	BEGAIN
AIRE	STARD7
ALX3	ADAM28
ALX3	AKR1A1
ALX3	ANKH
ALX3	ANO4
ALX3	AR
ALX3	BLCAP
ALX3	BTLA
ALX3	C1orf162
ALX3	C1orf226
ALX3	C1orf74
ALX3	CKMT1B
ALX3	CNTRL
ALX3	CROT
ALX3	CYFIP2
ALX3	DCTN1
ALX3	DGCR8
ALX3	EVI5
ALX3	FAHD1
ALX3	FAM19A2
ALX3	FBXL7
ALX3	GALNT16
ALX3	GCNT2
ALX3	GFOD1
ALX3	GLI2
ALX3	GOLM1
ALX3	GRAMD3
ALX3	ITGAM
ALX3	ITGB4
ALX3	KLHL31
ALX3	LFNG
ALX3	LILRB1
ALX3	LIX1
ALX3	LRIG3
ALX3	MMP14
ALX3	MS4A14
ALX3	NDNF
ALX3	NRAS
ALX3	NUP85
ALX3	PHC2
ALX3	RBM42
ALX3	RIT2
ALX3	RNF19A
ALX3	RNF32
ALX3	SERPINI2
ALX3	SLC4A2
ALX3	SRM
ALX3	STON2
ALX3	STRIP1
ALX3	STS
ALX3	STXBP3
ALX3	TCP11L1
ALX3	TRAPPC6B
ALX3	TREML1
ALX3	TTC23
ALX3	VANGL2
ALX3	VRK3
ALX3	YAP1
ALX3	ZFR2
ALX3	ZFYVE27
ALX3	ZMAT4
ALX3	ZMPSTE24
ALX3	ZNF175
ALX3	ZNF473
ALX3	ZNF565
ALX3	ZNF574
ALX4	ATP13A3
ALX4	CASP8
ALX4	CD96
ALX4	EOMES
ALX4	HEG1
ALX4	LNPEP
ALX4	MR1
ALX4	OLFML1
ALX4	URB1
AR	A2M
AR	ABCA1
AR	ACTR1A
AR	ADCK4
AR	AHCYL2
AR	AMN1
AR	AMOT
AR	ANAPC5
AR	ANK1
AR	ANK3
AR	ANKRD24
AR	ARPC5L
AR	ASAH1
AR	ATF6
AR	BEX1
AR	BMPR1B
AR	BNC2
AR	C12orf73
AR	C1QB
AR	C1orf226
AR	C2CD4C
AR	C3orf33
AR	C3orf58
AR	C5AR2
AR	C6orf136
AR	CAP1
AR	CAPN7
AR	CASP8
AR	CASZ1
AR	CCDC85B
AR	CD180
AR	CD74
AR	CEP70
AR	CHADL
AR	CHRDL2
AR	CHRM1
AR	CNTD1
AR	COA3
AR	COL11A1
AR	COX17
AR	CPED1
AR	CPS1
AR	CREB3L4
AR	CSDE1
AR	CTSS
AR	CXCR4
AR	CYTH4
