TransFactor	Target
AHR	EFR3A
AHR	MKLN1
AHR	TMEM106B
AR	ABCG8
AR	ARPC5L
AR	CAT
AR	CDC14B
AR	CPED1
AR	CYP8B1
AR	DAO
AR	DMD
AR	KAT2B
AR	KCTD17
AR	KIAA1161
AR	MAP3K13
AR	MFAP3L
AR	MYRIP
AR	MZT2A
AR	PDK4
AR	PDRG1
AR	PFDN4
AR	PIK3R1
AR	PKN1
AR	PPCDC
AR	RPL6
AR	RPLP0
AR	RPS9
AR	SCP2
AR	SH3D19
AR	SLC31A1
AR	SORD
AR	SOX5
AR	TAT
AR	TMSB10
ARID3A	ACYP2
ARID3A	ATP2B1
ARID3A	BMF
ARID3A	CNOT11
ARID3A	GADD45A
ARID3A	HOXD1
ARID3A	MEP1A
ARID3A	NFIA
ARID3A	PLAGL2
ARID3A	TCF3
ARID3A	TET1
ARID3A	TRIM71
ARID3A	TTLL4
ARID3A	ZCCHC3
ARID5B	LIMA1
ARID5B	SEPT2
ARID5B	UTRN
ARID5B	ZNF708
ARNT	CEP350
ARNT	TADA1
ARNT2	ACAA1
ARNT2	ANO9
ARNT2	DOK1
ARNT2	ITPR3
ARNT2	TPM4
ATF1	ADNP
ATF1	ANKRD13C
ATF1	APPBP2
ATF1	AQR
ATF1	ARIH1
ATF1	ARL13B
ATF1	ARL5A
ATF1	ARL6IP6
ATF1	ATM
ATF1	ATP5D
ATF1	BAD
ATF1	BCLAF1
ATF1	BOD1L1
ATF1	BRCA2
ATF1	C19orf70
ATF1	CAAP1
ATF1	CAND1
ATF1	CCAR1
ATF1	CCNT1
ATF1	CCNT2
ATF1	CCP110
ATF1	CEP170
ATF1	CHMP2A
ATF1	CLTB
ATF1	COX8A
ATF1	CRKL
ATF1	CWC22
ATF1	DDX21
ATF1	DHX33
ATF1	DHX36
ATF1	ELF1
ATF1	EPC2
ATF1	ETV3
ATF1	FAM179B
ATF1	FKBP2
ATF1	FOXJ3
ATF1	GOLIM4
ATF1	GSTCD
ATF1	GTF2H3
ATF1	HIPK1
ATF1	HSPA13
