TransFactor	Target
AHR	ABCB6
AHR	ALOX5AP
AHR	ATG4D
AHR	BIRC3
AHR	C12orf73
AHR	CDC42EP3
AHR	CYSLTR1
AHR	DAPP1
AHR	DDAH1
AHR	DDX51
AHR	DUSP4
AHR	ECHDC1
AHR	GLDC
AHR	GNG12
AHR	HAS3
AHR	IFIT5
AHR	KIT
AHR	MAFG
AHR	PFAS
AHR	PPL
AHR	RRS1
AHR	RUNX1
AHR	SEMA3C
AHR	SNRPA
AHR	TMEM106B
AHR	TMEM43
AHR	UQCRB
ALX3	CELF1
ALX3	DGCR8
ALX3	MTOR
ALX3	OSTF1
ALX3	RAB11FIP3
ALX3	SQRDL
ALX3	STRIP1
ALX3	ZNF512B
AR	A2M
AR	ADCY9
AR	AFF2
AR	ANK2
AR	ANO2
AR	ARHGAP24
AR	ASAH1
AR	ASPA
AR	ATP1A2
AR	ATP6V1F
AR	BIRC5
AR	BOD1L1
AR	C1QTNF7
AR	C3orf58
AR	CAT
AR	CDC25A
AR	CDC6
AR	CDYL2
AR	CENPM
AR	CEP68
AR	CHCHD2
AR	CISD3
AR	COL14A1
AR	COLEC12
AR	COMMD4
AR	COPS6
AR	CORO2B
AR	COX5B
AR	CPED1
AR	CREBRF
AR	CSNK2B
AR	CTSO
AR	DCHS2
AR	DDX56
AR	DEPDC1B
AR	DKK2
AR	DMD
AR	EDNRB
AR	EPHA3
AR	ERC1
AR	ERG
AR	F13A1
AR	FAM107A
AR	FHL5
AR	FLI1
AR	FMO2
AR	FOXP1
AR	GALK1
AR	GIMAP8
AR	GINS1
AR	GNAL
AR	GPRASP2
AR	GRIA1
AR	GUCY1A3
AR	HECA
AR	HSPB11
AR	IGF1
AR	KANK4
AR	KCNA5
AR	KCTD16
AR	KIF23
AR	KRT10
AR	LAMA2
AR	LARGE
AR	LBHD1
AR	LDLRAD4
AR	LDOC1L
AR	LTBP2
AR	MACROD2
AR	MAD2L2
AR	MAP6
AR	MCM10
AR	MFAP4
AR	MGAT5
AR	MIS18A
AR	MOCS1
AR	MRPL9
AR	MRPS30
AR	MYRIP
AR	MZT2A
AR	NCAPH
AR	NDUFB9
AR	NOL11
AR	NPR3
AR	NRXN3
AR	OCA2
AR	PARP11
AR	PDCD5
AR	PDE1A
AR	PDE1C
AR	PDE5A
AR	PDRG1
AR	PDSS1
AR	PFDN4
AR	PGP
AR	PIK3R1
AR	POLR2I
AR	POLR2J
AR	PPCDC
AR	PPIA
AR	PSMB4
AR	PSME2
AR	PSMG4
AR	PTCH1
AR	PTN
AR	RGS7BP
AR	RNF182
AR	RRM2
AR	RTKN
AR	S1PR1
AR	SEMA6D
AR	SH3BP5
AR	SH3D19
AR	SIDT2
