TransFactor	Target
ARNT2	PHC1
ARNT2	PSMB10
ARNT2	TMEFF1
ATF1	CAND1
ATF1	LEMD3
ATF1	PCBP2
ATF1	PRKAG1
ATF1	PTGES3
ATF1	SCAF11
ATF1	TBC1D15
ATF1	TWF1
ATF2	CREB1
ATF2	CWC22
ATF2	DCAF17
ATF2	SF3B1
ATF2	SP3
ATF3	BTG2
ATF3	CSRNP1
ATF3	CYR61
ATF3	DUSP1
ATF3	DUSP2
ATF3	DUSP5
ATF3	EGR1
ATF3	EGR2
ATF3	EGR4
ATF3	FOS
ATF3	FOSB
ATF3	JUN
ATF3	JUNB
ATF3	KLF4
ATF3	KLF6
ATF3	NR4A1
ATF3	NR4A2
ATF3	NR4A3
ATF3	PPP1R15A
ATF3	RHOB
ATF3	SOCS3
ATF3	ZFP36
ATF4	EIF3D
ATF6	COPA
ATF6	NCSTN
ATF6	PRUNE
ATF6	PYGO2
ATF6	TIPRL
ATF6	TOR1AIP1
ATF7	ATP5G1
ATF7	ATP5I
ATF7	CMC2
ATF7	MED30
ATF7	MLXIP
ATF7	MON2
ATF7	MRPL1
ATF7	NDUFB6
ATF7	NME1
ATF7	POGZ
ATF7	SDHAF3
ATF7	TFCP2
ATF7	ZNF593
BACH1	GABPA
BACH1	SCAF4
BACH1	USP16
BARX1	ISL2
BATF	ABI3
BATF	ADAMDEC1
BATF	ADAP2
BATF	AIM2
BATF	ALOX5AP
BATF	AMICA1
BATF	ANKRD22
BATF	APBB1IP
BATF	APOBEC3G
BATF	ARHGAP15
BATF	ARHGDIB
BATF	B2M
BATF	BCL2A1
BATF	BTK
BATF	C16orf54
BATF	C3AR1
BATF	CCL2
BATF	CCL22
BATF	CCL3
BATF	CCL4
BATF	CCL5
BATF	CCR1
BATF	CCR4
BATF	CCR5
BATF	CCR7
BATF	CCRL2
BATF	CD244
BATF	CD27
BATF	CD300A
BATF	CD38
BATF	CD48
BATF	CD52
BATF	CD68
BATF	CD74
BATF	CD79A
BATF	CD84
BATF	CD86
BATF	CD96
BATF	CLEC4E
BATF	CLEC7A
BATF	CLIC2
BATF	CTSS
BATF	CXCR3
BATF	CXorf21
BATF	CYTIP
BATF	DCANP1
BATF	DOK2
BATF	EBI3
BATF	EMP3
BATF	EVI2B
BATF	FCGR2A
BATF	FCGR2B
BATF	FCGR2C
BATF	FCRLA
BATF	FERMT3
BATF	FGR
BATF	FLI1
BATF	GBP4
BATF	GIMAP4
BATF	GIMAP6
BATF	GNGT2
BATF	GPR18
BATF	GPR183
BATF	GPR68
BATF	GPSM3
BATF	GZMH
BATF	GZMK
BATF	HAVCR2
BATF	HLA-B
BATF	HLA-DMB
BATF	HLA-DPA1
BATF	HLA-DPB1
BATF	HLA-DQA1
BATF	HLA-DRB1
BATF	HLA-F
BATF	IDO1
BATF	IGFLR1
BATF	IL10RA
BATF	IL12RB1
BATF	IL18RAP
BATF	IL21R
BATF	IL2RA
BATF	IL2RB
BATF	IL7R
BATF	IRF4
BATF	ITGA4
BATF	ITGAL
BATF	ITGAX
BATF	ITGB2
BATF	KLRD1
BATF	KMO
BATF	LACTB
BATF	LAPTM5
BATF	LCK
BATF	LCP1
BATF	LCP2
BATF	LILRB1
BATF	LILRB4
BATF	LPXN
BATF	LSP1
BATF	LTA
BATF	LY86
BATF	LY9
BATF	MLKL
BATF	MPEG1
BATF	MS4A1
BATF	MS4A6A
BATF	MYO1F
BATF	MYO1G
BATF	MZB1
BATF	NCF1
BATF	NCF2
BATF	NCF4
BATF	NKG7
BATF	P2RY10
BATF	PDCD1
BATF	PDCD1LG2
BATF	PIK3CG
BATF	PPP1R18
BATF	PSMB8
BATF	PTPN22
BATF	PTPN7
BATF	PTPRC
BATF	PTPRCAP
BATF	RASAL3
BATF	RCSD1
BATF	RGS18
BATF	RHOG
BATF	RHOH
BATF	RNASE6
BATF	S1PR4
BATF	SAMD3
BATF	SAMSN1
BATF	SCIMP
BATF	SELPLG
BATF	SIGLEC10
BATF	SIGLEC5
BATF	SIGLEC9
BATF	SIRPG
BATF	SLAMF1
BATF	SLAMF7
BATF	SLAMF8
BATF	SLC2A5
BATF	SP140
BATF	SPN
