TransFactor	Target
AHR	ABCB6
AHR	ABCG2
AHR	ACBD6
AHR	ACSS1
AHR	ADAMDEC1
AHR	ADAMTS6
AHR	ADAP2
AHR	ADCY9
AHR	AGL
AHR	ALKBH2
AHR	ALOX5AP
AHR	ANKRD16
AHR	AP2A2
AHR	AP2S1
AHR	AP4E1
AHR	APEH
AHR	ASXL3
AHR	ATAD3A
AHR	ATG4D
AHR	ATP5D
AHR	ATP6V0C
AHR	ATPIF1
AHR	B3GALT6
AHR	BIRC3
AHR	BMPR1A
AHR	BRF1
AHR	BTBD6
AHR	C11orf1
AHR	C12orf73
AHR	C18orf25
AHR	C19orf54
AHR	C1S
AHR	C3orf70
AHR	CACHD1
AHR	CCNYL1
AHR	CCSER2
AHR	CDC42EP3
AHR	CDIPT
AHR	CFL2
AHR	CHCHD4
AHR	CHID1
AHR	CLASP1
AHR	CLPP
AHR	COQ4
AHR	COX7A2L
AHR	CYSLTR1
AHR	DAPP1
AHR	DCLRE1B
AHR	DCN
AHR	DCUN1D4
AHR	DCXR
AHR	DDX3X
AHR	DDX3Y
AHR	DEDD2
AHR	DENND1A
AHR	DGAT1
AHR	DIEXF
AHR	DKK3
AHR	DLC1
AHR	DNLZ
AHR	DNPH1
AHR	DOCK2
AHR	DOCK8
AHR	DPYSL2
AHR	DRG1
AHR	DTD1
AHR	DYNC2H1
AHR	EFHD1
AHR	EFR3A
AHR	EIF4E3
AHR	EIF4G2
AHR	ERBB2IP
AHR	ERLIN1
AHR	ETFB
AHR	EXOC2
AHR	FAM124A
AHR	FAM124B
AHR	FAM161A
AHR	FBL
AHR	FCAR
AHR	FLI1
AHR	FNDC3A
AHR	FTSJ1
AHR	GAS2L3
AHR	GNAQ
AHR	GNG12
AHR	GNG5
AHR	GNPTG
AHR	GON4L
AHR	GPR85
AHR	GRIA2
AHR	GTF3A
AHR	HAS3
AHR	HECW2
AHR	HES4
AHR	HOMER3
AHR	HUNK
AHR	IFIT5
AHR	IFT20
AHR	IKZF3
AHR	IL2RB
AHR	IMMP1L
AHR	IPO11
AHR	ITGA9
AHR	ITPR1
AHR	JAM2
AHR	KAT6B
AHR	KDM2A
AHR	KEAP1
AHR	KIT
AHR	KLC4
AHR	LACC1
AHR	LGR5
AHR	LSP1
AHR	LY96
AHR	LYPLA2
AHR	LYVE1
AHR	LZTFL1
AHR	MAEA
AHR	MARVELD1
AHR	MBOAT1
AHR	METTL5
AHR	MIB2
AHR	MIS18BP1
AHR	MKL2
AHR	MLPH
AHR	MOSPD2
AHR	MPHOSPH8
AHR	MPLKIP
AHR	MRPL2
AHR	MRPL4
AHR	MRPL53
AHR	MRPS18A
AHR	MRPS18B
AHR	MXD3
AHR	MYBL1
AHR	N6AMT2
AHR	NAA10
AHR	NDUFB10
