TransFactor	Target
AHR	AGPAT5
AHR	ANAPC4
AHR	APEH
AHR	ARSG
AHR	ATG12
AHR	ATP6V0C
AHR	BTBD6
AHR	CAMK2D
AHR	CCDC122
AHR	CEP83
AHR	CPE
AHR	CPNE3
AHR	DLC1
AHR	FAM124A
AHR	FAM46A
AHR	FNDC3A
AHR	GPALPP1
AHR	GRIA2
AHR	MIS18BP1
AHR	MKLN1
AHR	MLPH
AHR	MOSPD2
AHR	NR3C1
AHR	PDS5B
AHR	PGGT1B
AHR	PHACTR2
AHR	PHF10
AHR	POLK
AHR	POLR2L
AHR	PRKCI
AHR	PTRH1
AHR	RAB3A
AHR	RANBP2
AHR	RHOT1
AHR	RPAP3
AHR	RSRC1
AHR	SLC1A4
AHR	SLC39A10
AHR	SLC6A17
AHR	SLITRK6
AHR	ST6GALNAC5
AHR	ST8SIA5
AHR	THAP5
AHR	TIA1
AHR	TMEM106B
AHR	TMEM123
AHR	TMEM30A
AHR	TSPAN10
AHR	USP36
AHR	USP8
AHR	ZMYM2
AHR	ZNF26
AHR	ZNF260
AHR	ZNF92
ALX3	STRIP1
ARID5B	FOXN3
ARID5B	SNRK
ARID5B	ZNF106
ARNT	ADAR
ARNT	ATF6
ARNT	CLK2
ARNT	FAM63A
ARNT	KLHL12
ARNT	MEF2D
ARNT	POGK
ARNT	SLC39A1
ARNT	TP53BP2
ARNT	UBE2Q1
ARNT2	CHL1
ARNT2	ERBB3
ARNTL	ATG5
ARNTL	CCNYL1
ARNTL	DCK
ARNTL	MTM1
ARNTL	SGMS1
ARNTL	STK17B
ARNTL	STK4
ARNTL	STYX
ARNTL2	ACCSL
ARNTL2	ADCY7
ARNTL2	AMPD3
ARNTL2	BATF3
ARNTL2	CH25H
ARNTL2	CTSF
ARNTL2	DOK1
ARNTL2	EGR2
ARNTL2	ESRP1
ARNTL2	FAM69C
ARNTL2	IL31RA
ARNTL2	KIAA0040
ARNTL2	PLEKHG3
ARNTL2	RHOU
ARNTL2	SERPINE1
ARNTL2	SGMS1
ARNTL2	SH2B3
ARNTL2	SLC31A2
ARNTL2	SLC7A5
ARNTL2	STK17A
ARNTL2	TMC7
ARNTL2	TNFRSF8
ARNTL2	USP15
ARNTL2	VEGFC
ATF1	ABCB8
ATF1	ABCE1
ATF1	ACO2
ATF1	ACSL4
ATF1	AFTPH
ATF1	AGGF1
ATF1	AHI1
ATF1	AHSA2
ATF1	AIMP1
ATF1	ALDOA
ATF1	ALG10
ATF1	ALG13
ATF1	ALKBH7
ATF1	ANAPC2
ATF1	ANKRD13C
ATF1	ANKRD9
ATF1	ANP32E
ATF1	AP1AR
ATF1	AP1M1
ATF1	AP2A1
ATF1	AP4E1
ATF1	AP5S1
ATF1	APEX2
ATF1	APH1A
ATF1	API5
ATF1	ARHGAP11B
ATF1	ARID4A
ATF1	ARID4B
ATF1	ARL1
ATF1	ARL13B
ATF1	ARL5A
ATF1	ARL6IP6
ATF1	ARMC1
ATF1	ARPP19
ATF1	ATG3
ATF1	ATG4C
ATF1	ATG5
ATF1	ATL2
ATF1	ATM
ATF1	ATP5SL
ATF1	ATP6V0A1
ATF1	ATP6V0B
ATF1	ATP6V0C
ATF1	ATP6V1F
ATF1	AURKAIP1
ATF1	AZIN1
ATF1	B3GALNT2
ATF1	BAP1
ATF1	BAZ1B
ATF1	BAZ2B
ATF1	BCKDK
ATF1	BCLAF1
ATF1	BDP1
ATF1	BIRC2
ATF1	BLOC1S3
ATF1	BLOC1S6
ATF1	BLZF1
ATF1	BNIP2
ATF1	BOD1L1
ATF1	BRCA2
ATF1	BRE
ATF1	BRMS1L
ATF1	BTAF1
ATF1	C11orf58
ATF1	C16orf72
ATF1	C1D
ATF1	C1GALT1
ATF1	C1orf122
ATF1	C1orf27
ATF1	C2orf49
ATF1	C2orf69
ATF1	C5orf15
ATF1	C5orf28
ATF1	C6orf120
ATF1	C7orf60
ATF1	C9orf41
ATF1	C9orf72
ATF1	CAAP1
ATF1	CALM2
ATF1	CAND1
ATF1	CAPZA1
ATF1	CASC5
ATF1	CBX3
ATF1	CBX5
ATF1	CCAR1
ATF1	CCDC124
ATF1	CCDC132
ATF1	CCDC150
ATF1	CCDC18
ATF1	CCDC59
ATF1	CCDC61
ATF1	CCDC90B
ATF1	CCNL1
ATF1	CCNT1
ATF1	CCNT2
ATF1	CCP110
ATF1	CD164
ATF1	CD2AP
ATF1	CD46
ATF1	CDC37L1
ATF1	CDIP1
ATF1	CDK19
ATF1	CEBPZ
ATF1	CENPB
ATF1	CENPE
ATF1	CENPK
ATF1	CENPQ
ATF1	CEP120
ATF1	CEP170
ATF1	CEP350
ATF1	CEP44
ATF1	CEP57
ATF1	CEP57L1
ATF1	CEP83
ATF1	CEP85L
ATF1	CEP95
ATF1	CFAP36
ATF1	CHMP4B
ATF1	CHUK
ATF1	CLIC4
ATF1	CLINT1
ATF1	CLK1
ATF1	CMTM6
ATF1	CNOT2
ATF1	CNOT8
ATF1	COX8A
ATF1	CPEB3
ATF1	CREBZF
ATF1	CSTF3
ATF1	CUL4B
ATF1	CWC22
ATF1	CYLD
ATF1	DCTN1
ATF1	DCTN4
ATF1	DDX17
ATF1	DDX18
ATF1	DDX21
ATF1	DDX3X
ATF1	DDX5
ATF1	DDX50
ATF1	DENND4A
ATF1	DGAT1
ATF1	DGCR14
ATF1	DGCR6
ATF1	DHX29
ATF1	DHX36
ATF1	DICER1
ATF1	DMTF1
ATF1	DNAJA2
ATF1	DNAJC2
ATF1	DNAJC24
ATF1	DNTTIP2
ATF1	DOCK4
ATF1	EBAG9
ATF1	ECH1
ATF1	EDEM3
ATF1	EDF1
ATF1	EFR3A
ATF1	EID1
ATF1	EIF1AX
ATF1	EIF2A
ATF1	EIF4E
ATF1	ELL2
ATF1	EMD
ATF1	EML2
ATF1	EPC2
ATF1	EPN1
ATF1	ERGIC2
ATF1	ERI1
ATF1	ERI3
ATF1	ESCO1
ATF1	EVI5
ATF1	FAM135A
ATF1	FAM179B
ATF1	FAM50A
ATF1	FAM76B
ATF1	FAR1
ATF1	FBXO11
ATF1	FBXO38
ATF1	FBXO45
ATF1	FCF1
ATF1	FER
ATF1	FNBP4
ATF1	GBA
ATF1	GCAT
ATF1	GCC2
ATF1	GCDH
ATF1	GIN1
ATF1	GNB4
ATF1	GOLGB1
ATF1	GOLIM4
ATF1	GOLPH3
ATF1	GOLT1B
ATF1	GPALPP1
ATF1	GPBP1
ATF1	GPBP1L1
ATF1	GPCPD1
ATF1	GPX4
ATF1	GSK3A
ATF1	GSTCD
ATF1	GTF2H1
ATF1	GTF2H3
ATF1	GTF3C1
ATF1	GTPBP10
ATF1	GYS1
ATF1	HABP4
ATF1	HAT1
ATF1	HAUS6
ATF1	HDAC6
ATF1	HLTF
ATF1	HMGB1
ATF1	HMGN1
ATF1	HMMR
ATF1	HOOK3
ATF1	HSPA13
ATF1	HTATSF1
ATF1	ICE1
ATF1	ICE2
ATF1	IDH3G
ATF1	IFT20
ATF1	IFT57
ATF1	IFT74
ATF1	IFT80
ATF1	ILVBL
ATF1	ING3
ATF1	INIP
ATF1	INTS5
ATF1	IPO11
ATF1	IPO7
ATF1	IRAK4
ATF1	IRF2BP1
ATF1	ITCH
ATF1	ITGAV
ATF1	KBTBD3
