FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
AR	CEBPB	E2F1	RARA	ATF2	ATF1	BACH1	ELK3	ATF2	E2F1
BHLHE40	GATA3	FOXM1	SIX5	BHLHE40	ATF4	BARX1	ETV3	STAT1	BHLHE40
HINFP	MYBL2	IRF2	ALX3	E2F3	BHLHE40	BHLHE40	REST	BATF	CEBPB
NFIC	ELK3	MYBL2	ATF1	GATA3	CLOCK	MYBL2	ATF2	BHLHE40	CREB1
RARA	EP300	E2F6	ATF2	HIF1A	CREB1	RUNX3	CREB1	CEBPB	E2F1
REST	FOSL2	USF1	CEBPB	PATZ1	CSTA	TCF3	ELK4	CREB1	E2F2
UBTF	NFIC	ELK1	CEBPD	RXRA	E2F1	TCF7L2	EP300	E2F4	E2F3
HINFP	REST	RELA	ETS1	SIX5	E2F2	ZBTB7A	ETV2	ELK4	E2F4
KLF8	MXI1	ZBTB7A	GATA2	UBTF	E2F3	CREB5	ETV3	ETS1	ELF1
POU2F2	MYBL2	NFIC	JUND	ZBTB7A	E2F4	ETS1	FOSL2	ETS2	ELK1
PPARG	ELK3	USF1	KLF16	ATF2	EGR3	MYC	HES1	FOXA1	ETV5
RARA	ETV6	ATF2	MAFK	BATF	ELF1	SP1	JUND	FOXP2	FOXA1
SP1	GABPB1	CREB1	MAX	CEBPB	ESRRA	BACH1	NFIC	GATA3	FOXM1
TCF3	MXI1	GABPA	MAZ	CEBPD	FOXN1	NFIC	NFKB1	IRF4	FOXN1
ZNF384	NFIC	GABPB1	NFATC1	CREB1	GATA3	NFKB1	REST	MAZ	GATA3
ATF2	REST	MEF2A	NFKB2	E2F4	GLI3	REST	RFX3	MYC	LHX2
CEBPD	TCF3	SP4	NFYC	ELF1	HOMEZ	SP2	RFXANK	POU2F2	MYBL2
EP300	HINFP	ZNF143	NRF1	HNF4G	KLF5	BACH1	SP1	RUNX2	NFIC
NFKB1	ARID5B	BACH1	POU2F2	HOXD11	LEF1	ELF1	SP4	RUNX3	NFKB2
NR2C2	ELK3	BHLHE40	RARA	JUND	MYBL2	EP300	TCF12	SP4	NFYC
PAX5	ETS1	E2F6	RARG	KLF16	NFIC	MAZ	EP300	SRF	PATZ1
PAX6	FOSL2	ELK3	REST	MAX	NFKB1	NFIC	ETV3	TCF7L2	PLAGL1
