TransFactor	Target
AHR	ABCB6
AHR	ACAT1
AHR	ACBD5
AHR	ACP5
AHR	ACSS1
AHR	ADCY9
AHR	AGL
AHR	AJAP1
AHR	ALCAM
AHR	ALKBH2
AHR	ALOX15B
AHR	ALOX5AP
AHR	ANPEP
AHR	AP2S1
AHR	AP3S1
AHR	AP4E1
AHR	AQP7
AHR	ARHGEF18
AHR	ARSG
AHR	ASAP2
AHR	ASB8
AHR	ASXL3
AHR	ATAD3A
AHR	ATG4D
AHR	ATP5D
AHR	ATPIF1
AHR	B2M
AHR	B3GNT9
AHR	BIRC3
AHR	BMP8B
AHR	BRF1
AHR	C11orf1
AHR	C12orf73
AHR	C19orf54
AHR	C1S
AHR	C2CD2
AHR	C3orf33
AHR	CA4
AHR	CARS
AHR	CC2D1B
AHR	CCDC8
AHR	CCM2
AHR	CCT8
AHR	CDC42EP3
AHR	CDCP1
AHR	CDIPT
AHR	CFL2
AHR	CHCHD4
AHR	CLDN10
AHR	COL12A1
AHR	COQ4
AHR	CORO2A
AHR	CYP1B1
AHR	DAPP1
AHR	DCLK1
AHR	DCLRE1B
AHR	DCN
AHR	DCXR
AHR	DEPDC1B
AHR	DGAT1
AHR	DHRS4L2
AHR	DIEXF
AHR	DLC1
AHR	DNAJA1
AHR	DNPH1
AHR	DOCK2
AHR	DUSP4
AHR	EBAG9
AHR	EFR3A
AHR	ELP3
AHR	EML6
AHR	EMP2
AHR	ERBB2IP
AHR	ERLIN1
AHR	ERMN
AHR	ESYT1
AHR	ETFB
AHR	EVC
AHR	FAM124A
AHR	FAM181B
AHR	FAM185A
AHR	FAM46A
AHR	FECH
AHR	FOXO3
AHR	G0S2
AHR	G3BP1
AHR	GAS2L3
AHR	GLDC
AHR	GNAS
AHR	GNG12
AHR	GON4L
AHR	GSTCD
AHR	HABP4
AHR	HES1
AHR	HNRNPK
AHR	HNRNPU
AHR	HRASLS
AHR	HSP90AA1
AHR	HSPB11
AHR	ICAM5
AHR	IFIT5
AHR	IFT20
AHR	IKZF3
AHR	IL2RB
AHR	IMMP1L
AHR	ITFG2
AHR	ITGA9
AHR	ITPR1
AHR	KCNS3
AHR	KCTD15
AHR	KHDC1
AHR	KHNYN
AHR	KIAA2022
AHR	KIF6
AHR	KIT
AHR	KLC4
AHR	KLK5
AHR	L1CAM
AHR	LACC1
AHR	LAMA1
AHR	LGALS8
AHR	LGMN
AHR	LGR5
AHR	LRIG3
AHR	LRRC48
AHR	LSP1
AHR	LY96
AHR	LYPLAL1
AHR	MARVELD1
AHR	MBOAT1
AHR	MCEMP1
AHR	MILR1
AHR	MIS18BP1
AHR	MKS1
AHR	MLH3
AHR	MLLT3
AHR	MPC1
AHR	MRPL2
AHR	MRPL53
AHR	MRPS18B
AHR	MTA3
AHR	MTG2
AHR	MYO9B
AHR	N4BP1
AHR	N6AMT2
AHR	NDUFB10
AHR	NDUFC1
AHR	NDUFC2
AHR	NFKBIB
AHR	NFS1
AHR	NIT2
AHR	NMNAT3
AHR	NOD1
AHR	NOM1
AHR	NTAN1
AHR	NUDT18
AHR	OCEL1
AHR	OXSM
AHR	P2RY6
AHR	PAGR1
AHR	PARL
AHR	PDE8B
AHR	PDP1
AHR	PDS5B
AHR	PHACTR3
AHR	PINX1
AHR	PKD2
AHR	PLEC
AHR	POLH
AHR	POLR1C
AHR	POLR2F
AHR	POPDC3
AHR	PPL
AHR	PPP1R9A
AHR	PRKCI
AHR	PRTFDC1
AHR	PTGS2
AHR	PTK2B
AHR	PTPRD
AHR	PTPRU
AHR	PTRH1
AHR	RAB1B
AHR	RAB3A
AHR	RAI2
AHR	RALGAPB
AHR	RCBTB2
AHR	REL
AHR	RFWD3
AHR	RGS6
AHR	RILPL2
AHR	RNF24
AHR	RUNX1
AHR	SBNO2
AHR	SEMA3C
AHR	SET
AHR	SETMAR
AHR	SF3B5
AHR	SFTPC
AHR	SGPL1
AHR	SIM2
AHR	SIRT2
AHR	SLC1A5
AHR	SLC27A5
AHR	SLC2A13
AHR	SLC35A4
AHR	SLC4A4
AHR	SLC6A17
AHR	SLC6A4
AHR	SLITRK6
AHR	SNAP91
AHR	SP1
AHR	SPATA2
AHR	SPEF1
AHR	SPEF2
AHR	SPTY2D1
AHR	ST6GALNAC5
AHR	STAT4
AHR	SULT1A2
AHR	SUN2
AHR	SUPT16H
AHR	SUSD6
AHR	SWI5
AHR	SYTL1
AHR	TACC1
AHR	TCF7
AHR	TCTA
AHR	TECR
AHR	TES
AHR	THAP11
AHR	THBS1
AHR	TJP1
AHR	TMEM14B
AHR	TMEM30A
AHR	TMEM43
AHR	TMEM63C
AHR	TNFAIP1
AHR	TOM1L2
AHR	TOR2A
AHR	TP53BP2
AHR	TRUB2
AHR	TSPAN11
AHR	TUBA8
AHR	TULP3
AHR	UBAP2L
AHR	UNC5C
AHR	UNG
AHR	UQCRB
AHR	USP6NL
AHR	VEZF1
AHR	VPS26B
AHR	ZNF839
AHR	ZNRF3
AHR	ZSCAN1
ALX3	ABCC2
ALX3	ACTR2
ALX3	ADAM10
ALX3	ADAR
ALX3	ADD3
ALX3	AFF4
ALX3	AIP
ALX3	AKAP6
ALX3	AKR1A1
ALX3	ANAPC1
ALX3	ANKH
ALX3	AR
ALX3	ARAP2
ALX3	ARHGAP19
ALX3	ARRDC3
ALX3	ATP13A3
ALX3	B4GALT2
ALX3	BAD
ALX3	BAHCC1
ALX3	BHLHE41
ALX3	BLCAP
ALX3	BLOC1S5
ALX3	BRD3
ALX3	BTBD3
ALX3	C11orf52
ALX3	C11orf73
ALX3	C19orf24
ALX3	C8orf37
ALX3	CAPNS1
ALX3	CCDC27
ALX3	CDK5
ALX3	CDKAL1
ALX3	CDYL
ALX3	CELF1
ALX3	CEP162
ALX3	CHADL
ALX3	CHAMP1
ALX3	CKMT1A
ALX3	CNOT6L
ALX3	CNTRL
ALX3	COG6
ALX3	COMMD6
ALX3	COPB1
ALX3	CTDSPL2
ALX3	CWC15
ALX3	CXADR
ALX3	DCTN2
ALX3	DDX60
ALX3	DEXI
ALX3	DGCR8
ALX3	DICER1
ALX3	DLAT
ALX3	DMD
ALX3	EFCAB7
ALX3	EIF4B
ALX3	ELF1
ALX3	ELF2
ALX3	ELK4
ALX3	EMC2
ALX3	ENPP4
ALX3	EVI5
ALX3	FAHD1
ALX3	FAM162A
ALX3	FAM169A
ALX3	FAM229B
ALX3	FBXO11
ALX3	FBXO21
ALX3	FBXO44
ALX3	FNDC3A
ALX3	GFM1
ALX3	GNAS
ALX3	GNB2
ALX3	GNE
ALX3	GPLD1
ALX3	GPR137
ALX3	H2AFY
ALX3	HAGH
ALX3	HEG1
ALX3	HFE
ALX3	HIATL1
ALX3	HIF1AN
ALX3	HMGN4
ALX3	ICK
ALX3	IFI27L2
ALX3	IKZF3
ALX3	IMMP1L
ALX3	INTU
ALX3	IPO5
ALX3	KIF20B
ALX3	KIF2A
ALX3	KLF7
ALX3	KLHL14
ALX3	KLHL20
ALX3	KRT10
ALX3	LIMS1
ALX3	LNPEP
ALX3	LRIG3
ALX3	LRRC58
ALX3	LYSMD2
ALX3	LYST
ALX3	LZTFL1
ALX3	MALSU1
ALX3	MAPK8
ALX3	MDN1
ALX3	MED18
ALX3	MED23
ALX3	MOB1A
ALX3	MPDZ
ALX3	MRPS9
ALX3	MSRA
ALX3	MTOR
ALX3	MTRR
ALX3	N6AMT2
ALX3	NAA60
ALX3	NBEAL1
ALX3	NBN
ALX3	NBPF15
ALX3	NDUFA3
ALX3	NEDD8
ALX3	NEMF
ALX3	NID2
ALX3	NOL6
ALX3	NR2C2
ALX3	OAT
ALX3	OAZ3
ALX3	OSTC
ALX3	P2RY1
ALX3	PACSIN2
ALX3	PALLD
ALX3	PAPD7
ALX3	PCNXL4
ALX3	PDE3A
ALX3	PDE7A
ALX3	PDP2
ALX3	PFDN2
ALX3	PHIP
ALX3	PI4KA
ALX3	PIAS4
ALX3	PIK3C2A
ALX3	PIK3CB
ALX3	PIK3R1
ALX3	PIN4
ALX3	PLEKHA5
ALX3	PLXNC1
ALX3	PNKD
ALX3	PPIP5K1
ALX3	PRNP
ALX3	PRX
ALX3	PSMA4
ALX3	PSMG4
ALX3	PTPN13
ALX3	PTS
ALX3	RBM42
ALX3	RC3H2
ALX3	RFC3
ALX3	RIF1
ALX3	RIN2
ALX3	RNF19A
ALX3	RNF20
ALX3	RPS19BP1
ALX3	RPS25
ALX3	RRAGB
ALX3	SASH1
ALX3	SEC14L1
ALX3	SENP2
ALX3	SEPSECS
ALX3	SERINC1
ALX3	SETX
ALX3	SFMBT2
ALX3	SLAIN2
ALX3	SLC37A3
ALX3	SLMAP
ALX3	SLU7
ALX3	SMARCAD1
ALX3	SMEK1
ALX3	SMG6
ALX3	SMIM4
ALX3	SMNDC1
ALX3	SMPD2
ALX3	SNX12
ALX3	SNX2
ALX3	SOX6
ALX3	SPCS2
ALX3	SPRED2
ALX3	SPTLC2
ALX3	SQRDL
ALX3	SRBD1
ALX3	SRM
ALX3	STRIP1
ALX3	STXBP3
ALX3	SUPT16H
ALX3	SYT17
ALX3	TACC1
ALX3	TAS2R5
ALX3	TBC1D5
ALX3	TBCK
ALX3	TCEB1
ALX3	TCERG1
ALX3	TCF12
ALX3	THAP7
ALX3	THYN1
ALX3	TMEM126A
ALX3	TMEM133
ALX3	TMEM2
ALX3	TOMM40
ALX3	TRAPPC4
ALX3	TRIM4
ALX3	TRMU
ALX3	UBAC2
ALX3	UFM1
ALX3	URB1
ALX3	USP53
ALX3	UTRN
ALX3	VANGL2
ALX3	VOPP1
ALX3	VWA8
ALX3	WBSCR16
ALX3	WDR47
ALX3	WIBG
ALX3	WIPF2
ALX3	YAP1
ALX3	ZBED3
ALX3	ZBTB8OS
ALX3	ZFHX3
ALX3	ZNF175
ALX3	ZNF177
ALX3	ZNF195
ALX3	ZNF317
ALX3	ZNF417
ALX3	ZNF431
ALX3	ZNF473
ALX3	ZNF573
ALX3	ZNF587
ALX3	ZNF621
ALX3	ZNF706
ALX3	ZNF714
ALX3	ZNF720
ALX3	ZRANB1
ALX3	ZSCAN26
AR	ACAP1
AR	ACSL3
AR	ACTBL2
AR	ACTR1A
AR	ADAT1
AR	ADCY5
AR	ADCY9
AR	ADNP2
AR	AFG3L2
AR	AGAP5
AR	AGBL4
AR	AHCYL2
AR	ANK2
AR	ANK3
AR	ANKRD31
AR	APRT
AR	ARAP1
AR	ARHGAP24
AR	ARL15
AR	ARL6
AR	ARMCX5
AR	ARPC5L
AR	ASAH2B
AR	ASPA
AR	ASPH
AR	ASTE1
AR	ATF6
AR	ATP6V0E1
