TransFactor	Target
AHR	B2M
AHR	FNDC3A
AHR	LACC1
AHR	MRPL2
AHR	MRPL53
AHR	SRM
AHR	TMEM106B
AHR	TMEM133
AHR	ZNF574
AR	BMPR1B
AR	COX17
AR	IRF6
AR	LEPROT
AR	MGAT5
AR	MYRIP
AR	NDUFB4
AR	PIK3R1
AR	PPTC7
AR	RFX3
AR	RGS7BP
AR	SLC35E2
AR	SLFN5
AR	SOX5
AR	VPS13B
AR	ZNF407
AR	ZNHIT1
ARID3A	ACOT7
ARID3A	AGO2
ARID3A	ARFIP1
ARID3A	C10orf32
ARID3A	CCDC170
ARID3A	CDC14A
ARID3A	EXTL2
ARID3A	NFIA
ARID3A	REXO1
ARID3A	SLC18B1
ARID3A	TMEM218
ARID5B	ARMC1
ARID5B	CCDC91
ARID5B	CSGALNACT2
ARID5B	DUSP11
ARID5B	FEZ2
ARID5B	FRS2
ARID5B	MSL2
ARID5B	NUP188
ARID5B	PAPOLA
ARID5B	PHF20L1
ARID5B	RAB18
ARID5B	RAB21
ARID5B	RBM27
ARID5B	STON1
ARID5B	USP44
ARNT	ADAR
ARNT	ATF6
ARNT	BROX
ARNT	C19orf25
ARNT	C9orf116
ARNT	CAMSAP2
ARNT	CEP350
ARNT	CHD1L
ARNT	CHMP4A
ARNT	CIB1
ARNT	COQ4
ARNT	DDX59
ARNT	DNAJC13
ARNT	FAM96B
ARNT	HEATR1
ARNT	KLF11
ARNT	KLHL12
ARNT	NUDT17
ARNT	PHC3
ARNT	PIGM
ARNT	PLEKHM3
ARNT	POGK
ARNT	PTRH1
ARNT	RAB29
ARNT	RAB3GAP2
ARNT	RHBDD3
ARNT	RRP15
ARNT	SGTA
ARNT	SLC39A10
ARNT	TADA1
ARNT	TBCE
ARNT	TIMM8B
ARNT	TKFC
ARNT	TMEM222
ARNT	TOMM20
ARNT	TP53BP2
ARNT	TRAPPC2L
ARNT	UBE2Q1
ARNT	UQCR11
ARNT	ZC3H11A
ARNT2	HDAC4
ARNT2	IRGQ
ARNT2	LDOC1L
ARNT2	RBM15B
ARNT2	TBC1D14
ARNTL	TACC1
ARNTL2	BOLA1
ARNTL2	KRTCAP2
ARNTL2	PCP2
ARNTL2	PLBD1
ATF1	AASDHPPT
ATF1	ABCB8
ATF1	ABCE1
ATF1	ABHD17A
ATF1	ACAA1
ATF1	ADAM9
ATF1	ADCK5
ATF1	ADNP
ATF1	ADNP2
ATF1	ADO
ATF1	ADSS
ATF1	AFTPH
ATF1	AGGF1
ATF1	AKIRIN1
ATF1	ALG10
ATF1	ALKBH6
ATF1	ALKBH7
ATF1	AMD1
ATF1	ANAPC10
ATF1	ANAPC15
ATF1	ANAPC2
ATF1	ANKRD13C
ATF1	ANKRD17
ATF1	ANP32E
ATF1	AP1AR
ATF1	AP4E1
ATF1	APBA3
ATF1	API5
ATF1	APPBP2
ATF1	ARCN1
ATF1	ARF4
ATF1	ARF5
ATF1	ARHGAP11B
ATF1	ARID4A
ATF1	ARL13B
ATF1	ARL5A
ATF1	ARL6IP1
ATF1	ARL6IP6
ATF1	ARMC1
ATF1	ARPP19
ATF1	ASCC3
ATF1	ATF6
ATF1	ATG4B
ATF1	ATG4C
ATF1	ATG5
ATF1	ATL2
ATF1	ATP2C1
ATF1	ATP5D
ATF1	ATP5I
ATF1	ATP6AP2
ATF1	ATP6V0C
ATF1	ATP6V1F
ATF1	ATP7A
ATF1	AUP1
ATF1	AZIN1
ATF1	B3GAT3
ATF1	B3GNT2
ATF1	BCAS2
ATF1	BCL10
ATF1	BCLAF1
ATF1	BDP1
ATF1	BIN3
ATF1	BIRC2
ATF1	BLOC1S5
ATF1	BLOC1S6
ATF1	BLZF1
ATF1	BOD1L1
ATF1	BRCA2
ATF1	BRMS1
ATF1	BRMS1L
ATF1	BSG
ATF1	BTF3L4
ATF1	BUD31
ATF1	C11orf58
ATF1	C12orf66
ATF1	C16orf72
ATF1	C19orf24
ATF1	C19orf53
ATF1	C19orf70
ATF1	C1D
ATF1	C1orf109
ATF1	C21orf2
ATF1	C2orf49
ATF1	C2orf69
ATF1	C5orf15
ATF1	C5orf28
ATF1	C5orf51
ATF1	C6orf120
ATF1	C7orf55
ATF1	C9orf41
ATF1	C9orf89
ATF1	CAAP1
ATF1	CALU
ATF1	CAND1
ATF1	CAPZA1
ATF1	CASC5
ATF1	CCDC101
ATF1	CCDC107
ATF1	CCDC124
ATF1	CCDC130
ATF1	CCDC132
ATF1	CCDC15
ATF1	CCDC47
ATF1	CCDC59
ATF1	CCDC61
ATF1	CCDC94
ATF1	CCNA2
ATF1	CCNG1
ATF1	CCNI
ATF1	CCNK
ATF1	CCNT1
ATF1	CCT4
ATF1	CD164
ATF1	CD2AP
ATF1	CDC23
ATF1	CDC37
ATF1	CDC42
ATF1	CDC5L
ATF1	CDK12
ATF1	CDK19
ATF1	CDV3
ATF1	CEBPZ
ATF1	CENPB
