sample	Cuproptosis_activity_score
TCGA.OR.A5J1.01	0.126901411
TCGA.OR.A5J2.01	0.093110637
TCGA.OR.A5J3.01	0.92937944
TCGA.OR.A5J5.01	0.733016849
TCGA.OR.A5J6.01	0.23851082
TCGA.OR.A5J7.01	0.10553332
TCGA.OR.A5J8.01	-0.85263865
TCGA.OR.A5J9.01	0.142312172
TCGA.OR.A5JA.01	0.272875283
TCGA.OR.A5JB.01	-1.080778113
TCGA.OR.A5JC.01	0.295901987
TCGA.OR.A5JD.01	1.467108219
TCGA.OR.A5JE.01	0.971172077
TCGA.OR.A5JF.01	0.998780085
TCGA.OR.A5JG.01	0.2835218
TCGA.OR.A5JI.01	0.990783987
TCGA.OR.A5JJ.01	1.007387319
TCGA.OR.A5JK.01	0.160119483
TCGA.OR.A5JL.01	1.107475678
TCGA.OR.A5JM.01	0.974772927
TCGA.OR.A5JO.01	-0.093721295
TCGA.OR.A5JP.01	0.22749736
TCGA.OR.A5JQ.01	1.273812878
TCGA.OR.A5JR.01	0.28250229
TCGA.OR.A5JS.01	1.189832713
TCGA.OR.A5JT.01	0.354569818
TCGA.OR.A5JV.01	0.442896772
TCGA.OR.A5JW.01	1.025490503
TCGA.OR.A5JX.01	0.923380816
TCGA.OR.A5JY.01	0.103661031
TCGA.OR.A5JZ.01	0.121463415
TCGA.OR.A5K0.01	0.695921838
TCGA.OR.A5K1.01	0.402721735
TCGA.OR.A5K2.01	1.237330724
TCGA.OR.A5K3.01	1.155240625
TCGA.OR.A5K4.01	-0.078872288
TCGA.OR.A5K5.01	1.26720548
TCGA.OR.A5K6.01	1.250712869
TCGA.OR.A5K8.01	0.788207248
TCGA.OR.A5K9.01	0.21459459
TCGA.OR.A5KO.01	-0.002395481
TCGA.OR.A5KT.01	0.253691345
TCGA.OR.A5KU.01	0.085499194
TCGA.OR.A5KV.01	1.155708564
TCGA.OR.A5KW.01	1.090790418
TCGA.OR.A5KX.01	0.129404228
TCGA.OR.A5KY.01	1.017108152
TCGA.OR.A5KZ.01	1.13387657
TCGA.OR.A5L3.01	1.353328986
TCGA.OR.A5L4.01	1.028963803
TCGA.OR.A5L5.01	0.318214654
TCGA.OR.A5L6.01	0.86717149
TCGA.OR.A5L8.01	0.039939564
TCGA.OR.A5L9.01	0.936896734
TCGA.OR.A5LA.01	1.164397306
TCGA.OR.A5LB.01	1.262472949
TCGA.OR.A5LC.01	1.203865105
TCGA.OR.A5LD.01	-0.049558289
TCGA.OR.A5LE.01	0.058748155
TCGA.OR.A5LG.01	1.10491865
TCGA.OR.A5LH.01	0.362120986
TCGA.OR.A5LJ.01	1.040909259
TCGA.OR.A5LK.01	1.057002382
TCGA.OR.A5LL.01	0.979175269
TCGA.OR.A5LM.01	0.327779631
TCGA.OR.A5LN.01	1.235997808
TCGA.OR.A5LO.01	0.164751338
TCGA.OR.A5LP.01	0.237599185
TCGA.OR.A5LR.01	0.197467292
TCGA.OR.A5LS.01	0.401536568
TCGA.OR.A5LT.01	1.189531291
TCGA.OU.A5PI.01	0.143327421
TCGA.P6.A5OF.01	0.690303929
TCGA.P6.A5OG.01	-0.738015516
TCGA.PA.A5YG.01	0.261457712
TCGA.PK.A5H8.01	0.792627645
TCGA.PK.A5H9.01	0.234564208
TCGA.PK.A5HA.01	0.013397565
TCGA.PK.A5HB.01	-0.239052595
TCGA.2F.A9KO.01	-0.259634144
TCGA.2F.A9KP.01	0.153482349
TCGA.2F.A9KQ.01	0.356636544
TCGA.2F.A9KR.01	0.251448077
TCGA.2F.A9KT.01	-0.062469814
TCGA.2F.A9KW.01	1.225057679
TCGA.4Z.AA7M.01	0.605452937
TCGA.4Z.AA7N.01	-1.203327134
TCGA.4Z.AA7O.01	0.223120056
TCGA.4Z.AA7Q.01	-0.840000295
TCGA.4Z.AA7R.01	-0.254954505
TCGA.4Z.AA7S.01	-0.616895213
TCGA.4Z.AA7W.01	0.917373145
TCGA.4Z.AA7Y.01	0.916634318
TCGA.4Z.AA80.01	0.891101237
TCGA.4Z.AA81.01	-1.09256303
TCGA.4Z.AA82.01	-1.016451463
TCGA.4Z.AA83.01	-1.022640473
TCGA.4Z.AA84.01	-0.95868871
TCGA.4Z.AA86.01	-1.233551705
TCGA.4Z.AA87.01	1.035013192
TCGA.4Z.AA89.01	1.239840615
TCGA.5N.A9KI.01	-0.98883695
TCGA.5N.A9KM.01	1.426514428
TCGA.BL.A0C8.01	1.030647565
TCGA.BL.A13I.01	1.103673581
TCGA.BL.A13J.01	0.30262174
TCGA.BL.A13J.11	1.050882681
TCGA.BL.A3JM.01	-0.724110328
TCGA.BL.A5ZZ.01	-0.195877377
TCGA.BT.A0S7.01	1.109690636
TCGA.BT.A0YX.01	0.954581252
TCGA.BT.A20J.01	0.100979217
TCGA.BT.A20N.01	-1.088412041
TCGA.BT.A20N.11	0.076847207
TCGA.BT.A20O.01	-1.004858494
TCGA.BT.A20P.01	0.359081642
TCGA.BT.A20Q.01	0.324996604
TCGA.BT.A20Q.11	0.965598125
TCGA.BT.A20R.01	-0.837234159
TCGA.BT.A20R.11	0.958347778
TCGA.BT.A20T.01	0.197682978
TCGA.BT.A20U.01	0.900334109
TCGA.BT.A20U.11	1.423578618
TCGA.BT.A20V.01	-0.981880337
TCGA.BT.A20W.01	0.135252435
TCGA.BT.A20W.11	0.817735479
TCGA.BT.A20X.01	-0.720425661
TCGA.BT.A2LA.01	-0.06120248
TCGA.BT.A2LA.11	0.784237462
TCGA.BT.A2LB.01	0.30761462
TCGA.BT.A2LB.11	-1.006856753
TCGA.BT.A2LD.01	-0.70986599
TCGA.BT.A3PH.01	0.114325448
TCGA.BT.A3PJ.01	-1.221820476
TCGA.BT.A3PK.01	-1.261478376
TCGA.BT.A42C.01	-0.73810395
TCGA.BT.A42E.01	-0.901584949
TCGA.BT.A42F.01	0.125992651
TCGA.C4.A0EZ.01	-0.1485606
TCGA.C4.A0F0.01	0.052107219
TCGA.C4.A0F1.01	0.842040116
TCGA.C4.A0F6.01	1.369235162
TCGA.C4.A0F7.01	-0.058021381
TCGA.CF.A1HR.01	0.381740507
TCGA.CF.A1HS.01	-1.047285032
TCGA.CF.A27C.01	0.08926042
TCGA.CF.A3MF.01	-0.079351747
TCGA.CF.A3MG.01	0.159399651
TCGA.CF.A3MH.01	0.080818587
TCGA.CF.A3MI.01	0.235647513
TCGA.CF.A47S.01	0.615324976
TCGA.CF.A47T.01	0.896423476
TCGA.CF.A47V.01	0.187343839
TCGA.CF.A47W.01	1.199809852
TCGA.CF.A47X.01	1.039840731
TCGA.CF.A47Y.01	0.341852538
TCGA.CF.A5U8.01	1.239838881
TCGA.CF.A5UA.01	1.273526554
TCGA.CF.A7I0.01	0.027174498
TCGA.CF.A8HX.01	0.226500723
TCGA.CF.A8HY.01	0.348150165
TCGA.CF.A9FF.01	0.551538908
TCGA.CF.A9FH.01	1.051179371
TCGA.CF.A9FL.01	1.182920581
TCGA.CF.A9FM.01	1.017437484
TCGA.CU.A0YN.01	-1.665110241
TCGA.CU.A0YN.11	0.891877428
TCGA.CU.A0YO.01	0.017699907
TCGA.CU.A0YR.01	0.217804669
TCGA.CU.A0YR.11	0.421423949
TCGA.CU.A3KJ.01	-0.017282092
TCGA.CU.A3QU.01	-0.739519829
TCGA.CU.A3YL.01	0.068737461
