sample	CancerType	Cuproptosis_positive	Cuproptosis_negative	Cuproptosis_activity_score
TCGA-OR-A5J1-01	ACC	0.543845885	0.416944474	0.126901411
TCGA-OR-A5J2-01	ACC	0.610243982	0.517133344	0.093110637
TCGA-OR-A5J3-01	ACC	0.450292459	-0.479086981	0.92937944
TCGA-OR-A5J5-01	ACC	0.275258429	-0.45775842	0.733016849
TCGA-OR-A5J6-01	ACC	0.759336614	0.520825794	0.23851082
TCGA-OR-A5J7-01	ACC	0.671295931	0.565762611	0.10553332
TCGA-OR-A5J8-01	ACC	-0.327507545	0.525131105	-0.85263865
TCGA-OR-A5J9-01	ACC	0.489404454	0.347092283	0.142312172
TCGA-OR-A5JA-01	ACC	0.567468388	0.294593105	0.272875283
TCGA-OR-A5JB-01	ACC	-0.506351819	0.574426295	-1.080778113
TCGA-OR-A5JC-01	ACC	0.619585656	0.323683668	0.295901987
TCGA-OR-A5JD-01	ACC	0.798538355	-0.668569864	1.467108219
TCGA-OR-A5JE-01	ACC	0.619872117	-0.35129996	0.971172077
TCGA-OR-A5JF-01	ACC	0.669145261	-0.329634825	0.998780085
TCGA-OR-A5JG-01	ACC	0.654840151	0.371318352	0.2835218
TCGA-OR-A5JI-01	ACC	0.540125958	-0.450658029	0.990783987
TCGA-OR-A5JJ-01	ACC	0.552899756	-0.454487562	1.007387319
TCGA-OR-A5JK-01	ACC	0.618336779	0.458217296	0.160119483
TCGA-OR-A5JL-01	ACC	0.733279364	-0.374196314	1.107475678
TCGA-OR-A5JM-01	ACC	0.544494417	-0.43027851	0.974772927
TCGA-OR-A5JO-01	ACC	0.555139942	0.648861237	-0.093721295
TCGA-OR-A5JP-01	ACC	0.732415269	0.504917909	0.22749736
TCGA-OR-A5JQ-01	ACC	0.715069738	-0.55874314	1.273812878
TCGA-OR-A5JR-01	ACC	0.745260901	0.462758611	0.28250229
TCGA-OR-A5JS-01	ACC	0.689382821	-0.500449892	1.189832713
TCGA-OR-A5JT-01	ACC	0.717492041	0.362922223	0.354569818
TCGA-OR-A5JV-01	ACC	0.802873514	0.359976741	0.442896772
TCGA-OR-A5JW-01	ACC	0.667398531	-0.358091972	1.025490503
TCGA-OR-A5JX-01	ACC	0.378720151	-0.544660666	0.923380816
TCGA-OR-A5JY-01	ACC	0.680242926	0.576581895	0.103661031
TCGA-OR-A5JZ-01	ACC	0.652404596	0.530941181	0.121463415
TCGA-OR-A5K0-01	ACC	0.399124336	-0.296797502	0.695921838
TCGA-OR-A5K1-01	ACC	0.775729724	0.373007989	0.402721735
TCGA-OR-A5K2-01	ACC	0.734570144	-0.50276058	1.237330724
TCGA-OR-A5K3-01	ACC	0.791331794	-0.363908831	1.155240625
TCGA-OR-A5K4-01	ACC	0.697113018	0.775985306	-0.078872288
TCGA-OR-A5K5-01	ACC	0.665652993	-0.601552488	1.26720548
