Drug	correlation	pvalue
Afatinib	0.22605899	0.045151209
PLX-4720	0.232879999	0.038887053
NU7441	0.223425909	0.04778252
Nutlin-3a.(-)	-0.243411757	0.030646561
PD173074	0.371558225	0.000747871
ZM447439	0.354790566	0.001335516
RO-3306	0.245547987	0.029168409
BMS-536924	0.269061055	0.016496322
Dinaciclib	0.253338835	0.024276832
SB505124	-0.436866704	5.69E-05
EPZ004777	0.313138081	0.004955564
IAP_5620	0.23649191	0.035874528
AZD1208	0.239270464	0.033692082
Ruxolitinib	0.327851169	0.003182435
Cyclophosphamide	0.27238428	0.015160363
Uprosertib	-0.274783953	0.014254724
IWP-2	0.312547125	0.005042243
OSI-027	-0.277272111	0.013365476
VE-822	0.271122928	0.01565601
PFI3	0.298467959	0.007545707
PCI-34051	0.312862745	0.004995783
RVX-208	0.277219401	0.013383804
Entospletinib	0.235545908	0.036644034
PRT062607	0.227001156	0.044239266
IRAK4_4710	0.236034973	0.03624451
Ibrutinib	0.240864021	0.032491421
Zoledronate	0.224711708	0.046482219
Carmustine	0.328762775	0.003094088
Nelarabine	0.359203421	0.001149957
Sinularin	0.241155476	0.032275758
LY2109761	0.233970331	0.037956233
Afuresertib	-0.370438298	0.000778162
AZD3759	0.238224564	0.03450016
Ipatasertib	-0.292035117	0.009014988
Uprosertib	-0.34908951	0.001615204
JQ1	0.223880247	0.047319676
