sample	Camptothecin_1003	Vinblastine_1004	Cisplatin_1005	Cytarabine_1006	Docetaxel_1007	Gefitinib_1010	Navitoclax_1011	Vorinostat_1012	Nilotinib_1013	Olaparib_1017	Axitinib_1021	AZD7762_1022	SB216763_1025	KU-55933_1030	Afatinib_1032	Staurosporine_1034	PLX-4720_1036	NU7441_1038	Doramapimod_1042	Wee1 Inhibitor_1046	Nutlin-3a (-)_1047	Mirin_1048	PD173074_1049	ZM447439_1050	Alisertib_1051	RO-3306_1052	MK-2206_1053	Palbociclib_1054	Dactolisib_1057	Pictilisib_1058	AZD8055_1059	PD0325901_1060	Obatoclax Mesylate_1068	5-Fluorouracil_1073	Dasatinib_1079	Paclitaxel_1080	Crizotinib_1083	Rapamycin_1084	Sorafenib_1085	BI-2536_1086	Irinotecan_1088	Oxaliplatin_1089	BMS-536924_1091	GSK1904529A_1093	Tozasertib_1096	PF-4708671_1129	PRIMA-1MET_1131	Erlotinib_1168	Niraparib_1177	MK-1775_1179	Dinaciclib_1180	Gemcitabine_1190	Bortezomib_1191	GSK269962A_1192	SB505124_1194	Tamoxifen_1199	Fulvestrant_1200	EPZ004777_1237	YK-4-279_1239	Daporinad_1248	BMS-345541_1249	AZ960_1250	Talazoparib_1259	XAV939_1268	Trametinib_1372	Dabrafenib_1373	Temozolomide_1375	AZD5438_1401	IAP_5620_1428	AZD2014_1441	AZD1208_1449	AZD1332_1463	Ruxolitinib_1507	Linsitinib_1510	Epirubicin_1511	Cyclophosphamide_1512	Pevonedistat_1529	Sapitinib_1549	Uprosertib_1553	LCL161_1557	Lapatinib_1558	Luminespib_1559	Alpelisib_1560	Taselisib_1561	EPZ5676_1563	SCH772984_1564	IWP-2_1576	Leflunomide_1578	Entinostat_1593	OSI-027_1594	LGK974_1598	VE-822_1613	WZ4003_1614	CZC24832_1615	AZD5582_1617	GSK2606414_1618	PFI3_1620	PCI-34051_1621	Wnt-C59_1622	I-BET-762_1624	RVX-208_1625	OTX015_1626	GSK343_1627	ML323_1629	Entospletinib_1630	PRT062607_1631	Ribociclib_1632	AGI-6780_1634	Picolinici-acid_1635	AZD5153_1706	CDK9_5576_1708	CDK9_5038_1709	Eg5_9814_1712	ERK_2440_1713	ERK_6604_1714	IRAK4_4710_1716	JAK1_8709_1718	AZD5991_1720	PAK_5339_1730	TAF1_5496_1732	ULK1_4989_1733	VSP34_8731_1734	Selumetinib_1736	IGF1R_3801_1738	JAK_8517_1739	AZD4547_1786	Ibrutinib_1799	Zoledronate_1802	Acetalax_1804	Oxaliplatin_1806	Carmustine_1807	Topotecan_1808	Teniposide_1809	Mitoxantrone_1810	Dactinomycin_1811	Fludarabine_1813	Nelarabine_1814	Fulvestrant_1816	Vincristine_1818	Docetaxel_1819	Podophyllotoxin bromide_1825	Dihydrorotenone_1827	Gallibiscoquinazole_1830	Elephantin_1835	Sinularin_1838	Sabutoclax_1849	LY2109761_1852	OF-1_1853	MN-64_1854	KRAS (G12C) Inhibitor-12_1855	MG-132_1862	BDP-00009066_1866	Buparlisib_1873	Ulixertinib_1908	Venetoclax_1909	ABT737_1910	Dactinomycin_1911	Afuresertib_1912	AGI-5198_1913	AZD3759_1915	AZD5363_1916	AZD6738_1917	AZD8186_1918	Osimertinib_1919	Cediranib_1922	Ipatasertib_1924	GDC0810_1925	GNE-317_1926	GSK2578215A_1927	I-BRD9_1928	Telomerase Inhibitor IX_1930	MIRA-1_1931	NVP-ADW742_1932	P22077_1933	Savolitinib_1936	UMI-77_1939	WIKI4_1940	Sepantronium bromide_1941	MIM1_1996	WEHI-539_1997	BPD-00008900_1998	Foretinib_2040	BIBR-1532_2043	Pyridostatin_2044	AMG-319_2045	MK-8776_2046	Ulixertinib_2047	Vinorelbine_2048	VX-11e_2096	Uprosertib_2106	LJI308_2107	AZ6102_2109	GSK591_2110	VE821_2111	AZD6482_2169	AT13148_2170	BMS-754807_2171	JQ1_2172
COSMIC_906826	0.315837323	0.208843106	1116.05899	18.50387186	0.052957742	300.4411817	0.818748765	12.44320885	28.74072194	1216.931737	723.4771768	9.529488084	1733.64256	2174.673897	52.26913271	0.163192303	968.0289559	192.2291212	5118.440081	18.22483091	2055.649222	367.7594294	257.3258035	1129.885976	76.96016882	29.60949243	427.6366986	524.841861	0.048501187	6.910085423	0.15474495	41.39516142	8.194268939	2157.335124	2.398474715	0.123705567	97.55516374	0.04352991	28.3288296	1.848704272	43.28122767	361.7646998	11.84290554	686.9537718	32.07307843	508.3438049	82.68886916	93.56758412	1137.119967	4.641831462	0.132296323	5.946620054	0.004427895	125.8188281	NA	862.0445918	333.0224816	1782.137918	72.09913161	NA	74.16883141	16.75131898	112.0059506	1309.2857	7.436445654	545.1712688	15431.05012	65.63545352	1181.781116	2.519576924	445.2259918	26.24511824	2035.113764	771.3860796	0.562682924	1927.09121	2.547801932	1207.514025	672.7225594	955.1238329	1155.232614	0.137800954	760.69691	29.35588391	2285.097564	423.0489951	111.1698264	305.5003731	100.5124902	7.073963988	1353.142576	793.6019396	741.6333622	1851.965895	207.6203144	621.7760626	692.6750598	1192.455613	840.5370224	159.5244178	1500.317453	955.4180563	169.7690527	258.7465471	235.1778414	199.2441585	1084.146153	544.1946525	952.0342395	25.81557521	2.021680305	0.293874639	0.085039366	22.02755126	403.3549728	800.2538581	575.2645374	1557.853202	40.57974295	1138.11652	22.44311757	83.08722836	731.3162553	6.181426067	20.13947864	13.52778881	1158.461372	138.4416587	2859.173854	1706.653987	1183.777647	3.468988316	3.530604137	50.77413138	0.362950434	721.4384022	3736.688237	1259.421793	0.415804534	0.093228482	5.683930597	32.34851126	36.31583965	99.45308247	277.3130465	1.504034253	1010.54291	1069.260963	1029.047607	215.3354404	0.163812139	15.36467433	4.425295253	26.68338268	126.7639886	1.157416076	0.00826927	15.77939539	606.9691706	156.7139235	30.88896499	23.64157938	165.5575718	112.8989307	15.49474602	117.0808826	624.8239937	0.627922831	1496.300489	444.0015263	1.564943936	2107.27727	120.5517354	72.46045755	16.66067247	20.74594903	174.8806952	0.001045472	294.3925262	0.499924096	195.4594615	2.305065287	316.4024566	121.748568	1832.706289	172.2991138	168.5443635	0.084583083	92.30875585	113.608122	716.1710249	67.90773869	503.0129926	1148.660776	147.1619969	356.0182523	NA	1592.204798
COSMIC_687983	0.282734213	0.013664227	26.75838815	16.29435942	0.012239914	35.00850388	13.72660609	4.734755081	47.44171951	62.10534152	NA	4.887114268	NA	NA	9.378173301	0.090053441	214.5442477	NA	NA	18.02651987	85.14715543	138.4603496	16.9055336	NA	47.69792997	NA	21.73454652	90.92909255	0.212408069	2.226357852	NA	11.16471099	2.905187697	973.8711448	32.26506287	0.056457564	46.42685206	0.026480571	21.93941959	NA	51.47555321	158.3977065	6.587579618	50.98517988	NA	NA	172.8447858	24.05146718	75.35588318	4.923216121	0.074990038	0.657052076	0.008626978	NA	NA	25.77940713	15.36235444	165.045303	4.614576049	0.001282105	26.18474528	4.623772822	26.02001371	113.6693733	10.66943381	133.9110803	203.1563745	35.6128312	288.10817	12.15648777	168.2998147	22.19901681	240.8072931	30.62145785	0.390699717	147.2635738	0.803125732	222.274699	63.49949798	211.6754065	77.01991309	0.115991195	60.50669379	12.75491899	310.5910205	158.9578384	23.18760805	149.7189695	72.39389698	NA	31.31652771	58.91313082	230.0728505	256.6086085	7.628368535	41.60581745	126.6609713	146.7895605	103.5669227	54.76585961	231.9340352	10.60880164	12.12968798	85.97899309	129.2978943	100.9236207	NA	32.82738252	191.9613405	3.216465224	3.561019926	0.187182912	0.028892738	50.14175028	20.72927599	81.46601994	92.31272522	4.308091506	6.31954998	25.91969229	14.81079046	18.71364618	413.0080152	1.544095034	7.703994804	4.036487972	240.2127526	44.85221616	626.4174488	286.1614036	405.4351765	3.59245208	8.27236962	25.11562092	0.234739709	267.7661433	436.9815611	53.2550694	0.04530735	0.257484952	0.390327168	0.288430824	8.013070332	29.93465981	37.93916668	0.458265302	216.5442685	24.98610824	86.20567407	69.70785439	0.161954151	167.2930391	3.309979513	31.78689189	6.379603831	21.72511577	0.005272867	8.167060074	71.04162693	20.44141521	19.37415575	12.53247155	52.53544055	5.39505072	2.942471869	27.56158623	45.30520833	1.758017933	65.42621375	37.64936168	0.62654292	147.5610517	7.516067031	233.5443512	19.44111202	3.506926455	44.88497023	0.004512369	15.77448877	24.07738456	168.7215967	3.828059436	87.38057465	12.80275011	107.4968989	59.59150319	0.733322281	0.032116833	23.72888304	13.15418554	254.1312841	6.380892641	239.9501036	212.6434884	NA	36.66556386	NA	NA
COSMIC_910927	0.029567101	0.006684071	12.09378882	0.338741839	0.007547809	22.04410017	4.050190836	3.645920969	4.751393769	30.63481171	13.55869447	0.470711453	489.760257	179.8265904	19.62530883	0.034090075	131.0834312	19.00659454	471.6551009	2.019932308	14.56739774	76.67042187	40.54194025	57.31773	11.69491346	10.4506795	18.66229167	20.41222528	0.043683099	2.657348975	6.433501842	1.433340881	3.34135696	31.18346542	3.556952006	0.245265986	18.41471365	0.021152969	3.238317808	0.016234397	5.131715455	7.516119644	3.642098403	62.88640477	4.828288225	28.49686269	26.82357057	13.42734098	21.07117515	1.122483903	0.026297563	0.024577424	0.005360607	14.83087268	NA	47.33301294	10.34049769	64.75876123	3.075812211	NA	7.949857468	1.377218658	0.782403255	50.99986573	1.271658558	46.3600455	803.8936626	4.621632511	259.9639584	4.795912535	286.4216426	15.39243261	142.038195	86.02646659	0.06592642	132.1953827	0.49607458	48.71733882	14.52654986	44.29531875	9.430385727	0.008201141	26.02227755	2.071804569	180.1055378	16.15499032	26.91471061	123.5743501	6.757844647	8.795612345	38.09457944	1.055169059	218.1524216	174.7532537	64.31282069	68.83635355	156.3498305	20.93189349	46.58492542	260.8407323	200.6678392	42.10249489	22.08209281	69.46145539	51.68703622	29.94807354	233.7343	37.94857676	196.3622171	6.633443162	0.254045981	0.060416562	0.019811197	31.64236857	24.87526659	224.138239	39.21004641	77.21339868	8.501154689	35.50441305	8.939100778	4.173616808	56.14636827	2.561838078	10.2521865	4.07628486	240.0885947	52.54079944	272.5077353	58.63794426	623.6423207	0.34260709	0.173214079	0.088330661	0.083560029	24.33919466	388.5010995	70.70123211	0.041444753	0.014936028	0.286646652	0.73700397	10.46706855	20.38476891	25.86599056	0.093803417	234.4250686	35.8293002	157.7380901	25.0973685	0.20596583	5.825757302	1.177809079	9.708269033	10.83802734	25.40629556	0.001364072	1.74833866	117.648457	16.16135664	4.187245001	1.187935587	28.78976667	5.336574672	4.338692346	3.904438567	180.078524	0.395164162	132.3050181	85.11123091	0.736665763	282.4029636	50.01960357	12.17723226	6.410139285	4.032872898	11.92752793	0.002074409	26.87068727	23.81077002	148.821857	3.275770144	100.5663793	37.99307856	247.3838057	19.54313356	10.00848267	0.010863063	12.14546683	3.286956301	121.3045105	6.777104867	36.79297757	8.191614426	244.0331313	12.80662993	NA	40.79216383
COSMIC_1240138	7.216578871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.73625683	NA	774.014804	NA	NA	NA	NA	925.4276916	NA	NA	58.33626843	NA	NA	NA	NA	NA	NA	10.44593597	7.551770205	708.8266519	NA	NA	20.35197584	NA	NA	NA	96.91778095	446.3824072	NA	490.7957238	NA	NA	168.9554381	NA	108.1719402	NA	0.086661808	NA	NA	NA	NA	NA	NA	131.6818782	NA	NA	215.5504524	4.500731774	NA	57.4639618	NA	NA	NA	21.26184177	922.0099359	2.706599365	385.8072915	12.57237567	146.7792856	71.78704299	NA	NA	NA	80.32163405	111.9656357	563.7912168	NA	0.051599051	155.8300515	30.18451366	749.409078	44.72443515	88.85510417	376.1319452	252.1532405	NA	425.741349	329.0655595	53.65566203	347.3264098	11.37205466	129.348589	939.0164522	98.68924757	590.1472016	75.06804734	356.6614455	68.79575208	30.68954369	989.1519897	73.27730918	32.53833719	NA	412.5172405	608.4033095	17.0604855	0.950737766	0.06890104	1.40853337	63.10891227	87.05446872	739.5079259	96.30459181	1105.893628	24.48782365	481.2981825	4.233309183	9.591180708	173.9757636	1.201628836	3.777725088	NA	431.69443	138.1686444	790.97155	440.3769215	1457.106647	6.009352466	8.714357911	5.73571835	0.214862068	226.9752544	667.5725009	84.72307528	1.199555414	3.492367944	1.134029252	9.393331287	23.91383113	47.8144072	130.3155738	0.98357833	257.2221221	377.7240868	307.9563339	489.466489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COSMIC_906792	0.023343703	0.003890907	17.42116768	1.183506924	0.000909641	20.26671733	6.21544299	3.46250737	32.68358617	9.978801571	NA	0.715755966	NA	NA	6.260881563	0.063607811	23.31346289	NA	NA	2.974256227	96.78257812	65.36284645	32.59024466	NA	3.354031315	NA	15.78536113	44.96466684	0.03619559	3.245264965	NA	0.161709138	0.888839144	93.76175091	21.77980142	0.003593517	18.96713984	0.076002275	8.891279812	NA	2.448603838	31.07373722	10.5244382	57.18702288	NA	NA	22.27840893	5.980247769	14.89981803	1.007840578	0.051686947	0.177785591	0.003245194	NA	NA	5.899006813	9.55316965	79.98123143	1.438997945	NA	20.41984046	5.259863101	NA	96.42909775	0.450202409	54.22667793	305.3336155	4.985950215	74.04277746	2.529880327	132.35173	82.7763175	100.3452761	45.26395408	0.056181486	52.13820597	0.331452754	39.03438795	13.57391586	92.75410878	8.328538578	0.014963865	72.90075532	8.247383512	86.50792256	3.904661126	6.640518183	232.9814881	4.882517656	94.1611805	100.265032	26.84106524	6.585142664	33.60540778	1.178531297	15.51319574	51.54689624	33.33913726	32.81615747	15.51435928	27.07051153	3.768650576	8.981931965	70.61241649	25.3688489	16.30899833	NA	56.4840332	97.08433172	7.962770563	0.409166956	0.065717896	0.009216214	2.908245563	11.38532221	84.73002286	35.61343663	8.045492526	9.764848016	145.6187638	6.401382611	10.5542962	12.36680665	14.2457982	29.38613604	16.54966732	94.60383364	14.49591666	78.86424842	170.9431423	287.086051	0.413013913	0.302008837	0.824355014	0.02796963	84.66412854	206.4887641	75.00854197	0.023745078	0.002057538	0.262027191	10.10213715	10.32678495	16.36894595	12.03344673	0.52772762	85.91865702	59.18440038	95.99998162	54.74368393	0.160927552	8.231028693	1.618548889	5.839171965	3.183394244	15.9183097	0.001702784	4.577500011	31.16145767	5.892592184	5.434475436	3.134300427	14.85191777	3.468350081	5.588902862	11.77542815	93.33918416	0.687892984	66.0248377	35.53677231	0.71308903	103.2678399	6.064778374	8.123905407	3.341477251	8.30130723	31.73705736	0.004581032	22.35303263	34.40410883	84.8103002	1.802437652	60.71744173	7.954286772	42.10287382	50.67724534	3.72515328	0.004523311	12.73909995	4.895473487	91.35828739	3.020752583	103.1734962	73.24295018	NA	53.65770099	NA	NA
COSMIC_910688	0.005940375	0.002553726	1.372325848	0.122154578	0.001482069	14.43640296	0.266996161	1.319700742	3.798233157	4.839875513	NA	0.124071657	NA	NA	3.314765891	0.02437174	15.10006427	NA	NA	0.518338902	1.71062363	66.22811032	7.573361315	NA	0.302938641	NA	3.729085391	7.634908849	0.035522926	1.259903335	NA	0.381377721	0.881546965	11.02595457	0.48815954	0.00326288	4.79807598	0.020018188	4.124335847	NA	0.889043601	3.211274825	3.780030204	13.50304209	NA	NA	21.14763333	2.046166413	5.311163892	0.293830561	0.019740577	NA	0.004704024	NA	NA	7.370341193	10.37321497	93.55411136	1.081204827	NA	6.276616115	1.105178654	0.129677718	69.39154291	2.793300859	64.89275603	29.48329996	1.56870745	129.2366216	6.944139039	81.22483093	26.88998735	27.6224542	24.54946348	0.009636648	105.747587	0.080989076	21.94297406	2.131012034	63.80292272	20.35669805	0.016288906	12.07389882	2.657545626	58.68152844	9.82495915	5.074586278	57.84609794	2.313575122	22.29753201	50.16386767	3.174693207	12.34239396	48.06844823	5.855427448	14.79736316	64.3525783	10.79935057	15.48185975	14.18698507	79.69054927	11.31017768	6.482459559	109.143333	2.338308957	2.9167238	NA	28.18263477	47.11172931	3.059290419	0.108133792	0.013300775	0.024885027	6.136281869	13.28545729	83.07543081	13.56281694	17.49057212	1.120595231	79.63390943	1.856945623	3.65118218	24.30592141	1.851086937	6.835071972	2.333186664	49.41465302	28.6677558	444.8134585	10.99910604	440.9202411	0.151834222	0.049000293	0.025366776	0.013812711	46.7504088	296.8045971	72.8813663	0.026060878	0.003524999	0.104919488	1.213536714	11.06902869	11.84615094	7.016777029	0.123430257	53.40150879	91.65660139	148.4021769	43.81981008	0.136708549	1.929700868	1.246519166	7.421149765	0.665819944	1.577524743	0.000456123	1.974179759	72.57909988	8.219735246	1.545408072	1.690707364	1.729328184	3.59862202	8.103572388	1.919984283	120.4211281	0.508495964	100.8283938	29.23887034	0.483186776	148.4021769	2.800284446	20.98586257	3.435742296	12.10765624	30.9248479	0.004066722	12.73199351	12.50964567	14.94573538	22.57395933	24.40651244	135.5450422	12.30992688	5.952182744	27.97241931	0.008832661	32.22182442	7.426197863	32.86137645	8.722117142	51.24422865	19.59891093	NA	34.99397837	NA	NA
COSMIC_1240135	0.070759109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.4221823	NA	230.93886	NA	NA	NA	NA	667.2774991	NA	NA	12.54631504	NA	NA	NA	NA	NA	NA	0.910312802	9.830472499	107.8263432	NA	NA	113.0491862	NA	NA	NA	63.40615888	60.92892373	NA	306.7625514	NA	NA	751.7817081	NA	344.1067744	NA	0.103306395	NA	NA	NA	NA	NA	NA	313.3607241	NA	NA	60.8817221	8.87900055	NA	78.18915851	NA	NA	NA	18.36335311	339.6912103	7.647050363	37.46679223	24.8806651	170.7562328	36.34926559	NA	NA	NA	248.2104562	182.060491	467.0792764	NA	0.152800367	215.2641761	29.44261162	320.5963964	12.18690482	45.12818519	346.5912043	11.95823306	NA	144.1291828	88.03425499	17.747648	281.3988337	348.9316298	37.00910635	409.6753431	72.23393866	186.1654883	73.7391599	250.1478142	9.95639442	42.92060441	142.073851	39.36153223	22.94963426	NA	105.5588904	375.1897883	9.170263309	1.558907102	0.297348032	1.042360653	19.1265993	38.56657621	44.56951031	12.80947332	501.574926	19.71340774	71.7690267	266.8732963	46.39951469	54.55203408	3.188058147	7.159155306	NA	82.57830544	79.41315225	40.15158835	101.2122706	674.9664595	4.719609202	8.671614584	8.661786547	0.232974564	432.5266747	287.2867943	437.1463342	4.472873307	5.965494784	4.007762077	3.452038755	33.32010605	93.48518738	31.38644149	2.037494772	432.0394917	73.50871716	30.59541007	404.8424585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COSMIC_1290812	0.915865279	2.535201193	1120.784314	277.8115483	0.471297853	375.0607452	39.00449906	29.84600515	1095.014627	198.9811308	NA	15.1256352	NA	NA	133.737644	1.102835952	1216.973113	NA	NA	1010.433777	40.81819754	3358.957712	404.6591064	NA	151.2642035	NA	614.3839141	745.3523056	0.757611923	57.34639603	NA	83.96827089	19.18609888	1944.449145	145.3500542	7.793671046	393.0363102	0.537039302	120.7034849	NA	163.8746817	552.8368882	49.88732687	1135.242996	NA	NA	5094.944232	22.57806817	829.7131179	89.84239782	3.530988994	171.453827	0.017461375	NA	NA	128.8826113	139.1792958	2051.203555	853.6907425	NA	2328.428836	12.21322035	45.24752624	279.7977442	11.51229967	1329.828147	3234.776123	862.8751406	1513.558833	19.76648842	2558.808501	15.20089032	465.5851493	165.155425	0.226436665	542.4354	5.127524556	499.1661469	304.5337748	977.4977597	582.7754796	0.899232192	1262.776314	1474.486393	2221.486843	75.10581606	235.8952853	1595.612573	62.10062169	NA	998.3231285	1244.153926	1340.976019	2782.947787	525.749046	364.0568366	3277.119125	918.8216189	2994.025255	102.2290619	2138.816676	43.2371898	272.3377435	1868.658364	470.1374036	836.9237775	NA	829.8533513	2368.537606	15.92178027	46.50198501	8.619275221	2.106068628	40.75803507	18.73197581	594.0188186	1224.818563	2421.18895	24.57373034	1982.876803	8.193941174	80.60397775	950.1691297	5.941520042	11.82027172	10.38449678	1293.005975	860.9203574	313.2335254	4414.549194	10453.0178	11.89465334	25.30912493	1.543986951	2.054484572	80.3665464	8118.275226	3036.391249	10.75474443	12.55296635	28.28580249	109.4977499	209.4977501	628.3227704	441.5282481	0.929744	708.5035006	276.3753761	522.0649472	1125.346199	0.158372409	18.14623316	7.528907914	28.44228653	21.09508342	9.070514609	0.013821471	69.66304665	180.303222	211.6129715	127.9741128	51.37440031	231.0340264	10.22580063	7.712404449	399.4186041	547.5221952	3.133491882	907.836231	1108.726125	14.10987631	2818.73928	20.75595098	702.2566953	3.849652945	63.00077324	68.87759888	0.168534298	77.80058886	15.88302613	230.0250003	40.69344407	441.8970781	241.6240486	1773.215776	961.4859958	191.4226863	10.13449549	1085.969049	851.3403586	2079.775013	47.51136759	551.2574823	2093.301995	NA	1520.830734	NA	NA
COSMIC_907045	2.331052774	0.404877794	62.88942339	33.87021451	0.373606192	9.635989547	6.566112811	5.746258802	4.940640605	114.878035	25.07795065	132.3968696	101.2819286	59.94077552	NA	0.497671529	191.8673024	22.4422423	11.79965153	15.75396375	106.5951486	235.5520716	53.73249825	17.41231997	141.7887112	64.40047443	12.1059734	58.48287638	0.643494371	7.23041186	1.259464965	5.754096293	14.57612622	601.3842011	42.95065935	2.827245737	130.0658681	0.401450516	6.896830788	40.64094273	50.16773044	96.68478038	20.49135316	30.81165415	152.8614568	101.4733295	602.1755415	9.569088927	196.4712284	16.47252761	1.303189863	100.6926693	0.012967345	21.55741843	NA	28.72615409	20.89686191	234.2446308	401.4504044	NA	136.3741212	189.3287648	131.1610556	140.7164679	11.05638401	256.0761855	944.9991235	18.03903462	71.29234797	7.300304065	40.14793472	51.94097616	89.08553717	54.07489337	2.446689778	31.72014601	8.568211348	4.493513893	8.196776769	200.7252384	3.644513915	0.099226516	56.45732257	31.97863425	220.1673634	20.92218334	15.08003977	212.0043938	13.75503584	7.512655511	29.63206346	32.08096938	85.24027215	135.8479166	3.775957527	26.72426622	59.49908891	117.2444416	53.70118133	71.05292344	113.299981	125.4058152	6.805655788	19.12673319	85.66736946	45.67440156	32.11518592	19.16745905	85.90542656	200.7473194	45.54751196	6.725256056	1.784326441	255.1006058	233.1180552	215.4793325	82.48149787	113.5092124	10.37775943	20.13988143	6.68547993	10.8690576	115.8790529	255.584991	59.34109098	2.636037915	NA	20.57840037	0.844421923	396.1658751	602.1755415	5.03814017	58.98292528	12.78926312	0.188788111	385.6634122	393.7558314	58.83271043	4.309513411	21.64014166	2.32483019	1.193973714	5.051721115	31.86492898	11.64847185	0.546408726	100.1239582	32.98919224	72.66210522	56.58228781	0.628273938	42.03333525	8.362504805	14.11563432	13.88816446	26.17827845	1.521842847	12.46459219	27.48333992	10.15470353	10.95710386	36.51086911	35.97621408	0.856101787	53.95740829	4.952660961	26.66097805	14.9916593	134.1632041	69.35553804	2.041304369	200.7252384	45.4982562	14.83585669	7.343635355	20.30012411	60.86912089	0.347561726	199.3033428	78.57660431	167.3440713	74.94031525	51.57510011	22.61761438	146.074096	19.33614225	10.68770484	2.001870513	72.84209383	22.01411855	196.5085614	48.22617869	104.6698384	185.7736505	63.57192868	130.2081078	NA	107.4177029
COSMIC_906861	0.303685091	0.012939288	38.77346031	2.824552655	0.003825347	3.803033356	15.44864041	6.942639267	13.83964085	103.630636	NA	0.727956489	NA	NA	2.437551374	0.022190522	79.69094773	NA	NA	7.243836722	275.4345411	635.8133211	49.31898016	NA	6.449270348	NA	4.281421155	13.71919573	0.024683531	1.515655472	NA	6.334621091	7.890827429	79.53299762	0.10813974	0.00871145	71.03153973	0.028072776	11.81992894	NA	29.15111026	162.7203365	4.40187682	116.4875034	NA	NA	566.4931565	9.493088429	98.404841	2.276508706	0.081897075	1.175676821	0.007456382	NA	NA	18.82413833	22.23267381	248.7334895	7.117375159	NA	94.91046751	20.67071574	11.45399984	230.6434473	3.252851512	27.6382864	397.670988	19.59013259	118.9760247	77.00628177	326.7848489	283.679761	116.7515298	53.38068626	0.61993416	112.2493796	1.881222817	27.3864126	52.88554235	91.59063239	5.90680455	0.384214227	18.23901535	4.134270946	152.9122152	27.28461527	42.54817656	411.8758628	16.26224234	136.4274539	213.1659563	8.781796505	31.79684274	115.8746496	15.61695214	47.647254	69.47194486	265.8188336	93.35682694	119.2201758	130.7834628	105.3187009	13.81819221	275.7986306	25.02198904	38.31076779	NA	84.01765875	173.1653641	40.65590135	2.357637363	0.491508031	0.079232477	75.1424015	155.0218384	122.2210145	138.967765	437.9207684	9.399617529	260.9745779	10.43653885	10.71444681	585.2909067	22.96549794	108.0493427	49.01385435	52.7168954	68.99810221	1086.207988	691.5918711	1044.240389	3.723131071	9.894608373	10.4419255	0.339962487	621.9004303	708.4170685	361.6149602	0.266953445	0.051460282	0.722709453	33.99777224	33.62318975	438.8984214	53.91382831	10.16320657	204.8813436	314.0979877	192.1701159	395.5645559	0.211458821	6.656334782	1.573433226	89.13356722	28.29615699	43.57131409	0.003925471	19.06922921	62.16872128	31.38521744	16.83245722	2.183914699	13.16236999	1.425836986	6.100434511	19.47195061	35.59958569	0.636066603	247.3246881	88.02017064	2.389724291	316.8371755	4.097434311	17.26105832	10.23760801	206.9478854	31.18493108	0.054985872	94.16023889	110.2011134	263.5489186	2.759437901	257.5041921	15.1874283	257.6767777	113.0161806	29.51338827	0.014307549	27.87276368	26.94198903	340.7291908	8.250493362	168.9914294	66.45220716	NA	159.5844102	NA	NA
