symbol	correlation	pvalue
Camptothecin_1003	-0.002237087	0.949500739
Vinblastine_1004	-0.032724114	0.37178541
Cisplatin_1005	-0.105548074	0.003470003
Cytarabine_1006	-0.101907446	0.005244787
Docetaxel_1007	-0.041907885	0.247595793
Gefitinib_1010	-0.08285465	0.023349468
Navitoclax_1011	-0.023003531	0.530169943
Vorinostat_1012	-0.030610478	0.40096704
Nilotinib_1013	-0.10713793	0.003224249
Olaparib_1017	-0.085712499	0.018261653
Axitinib_1021	-0.117078515	0.423042775
AZD7762_1022	-0.01393852	0.70124185
SB216763_1025	-0.105165119	0.315742897
KU-55933_1030	-0.15732226	0.285567022
Afatinib_1032	0.014453036	0.682956888
Staurosporine_1034	-0.018127593	0.615725858
PLX-4720_1036	-0.036109361	0.309525493
NU7441_1038	-0.042416404	0.777108405
Doramapimod_1042	-0.073598172	0.626903454
Wee1 Inhibitor_1046	-0.041093243	0.260383495
Nutlin-3a (-)_1047	-0.118948577	0.000950037
Mirin_1048	-0.030602522	0.410315691
PD173074_1049	-0.071139265	0.050707173
ZM447439_1050	-0.100281116	0.502428327
Alisertib_1051	-0.000467835	0.989952906
RO-3306_1052	0.054872081	0.711067204
MK-2206_1053	-0.0521197	0.149282944
Palbociclib_1054	-0.073171987	0.042911871
Dactolisib_1057	0.006792031	0.852778003
Pictilisib_1058	-0.02389816	0.509807344
AZD8055_1059	0.008643955	0.934461119
PD0325901_1060	-0.077035269	0.029251285
Obatoclax Mesylate_1068	-0.038699971	0.29771762
5-Fluorouracil_1073	-0.035331806	0.317632843
Dasatinib_1079	0.054870691	0.131469135
Paclitaxel_1080	-0.10331388	0.004514214
Crizotinib_1083	-0.06526392	0.077425902
Rapamycin_1084	-0.078803536	0.031848861
Sorafenib_1085	-0.16517956	5.13E-06
BI-2536_1086	-0.003093078	0.984294638
Irinotecan_1088	-0.022077191	0.533445852
Oxaliplatin_1089	-0.082060145	0.020428373
BMS-536924_1091	-0.04846871	0.185155086
GSK1904529A_1093	-0.04722673	0.182612117
Tozasertib_1096	-0.072233699	0.625623363
PF-4708671_1129	-0.091206339	0.537547023
PRIMA-1MET_1131	-0.035789153	0.335565763
Erlotinib_1168	-0.074142399	0.042506931
Niraparib_1177	-0.052290847	0.159285088
MK-1775_1179	-0.03434881	0.342422534
Dinaciclib_1180	-0.043051041	0.246977769
Gemcitabine_1190	-0.044881899	0.218633021
Bortezomib_1191	-0.064967012	0.074802969
GSK269962A_1192	-0.084377179	0.568548013
SB505124_1194	0.14146776	0.35394563
Tamoxifen_1199	-0.106061811	0.003570436
Fulvestrant_1200	-0.094664076	0.008975075
EPZ004777_1237	-0.060462259	0.087845034
YK-4-279_1239	-0.001146779	0.975004388
Daporinad_1248	-0.010368449	0.840340611
BMS-345541_1249	-0.11949699	0.001256253
AZ960_1250	0.045610802	0.22060205
Talazoparib_1259	-0.105106316	0.004079018
XAV939_1268	-0.031503871	0.396660655
Trametinib_1372	-0.016088739	0.656409423
Dabrafenib_1373	-0.126235794	0.000516286
Temozolomide_1375	-0.083474062	0.022511954
AZD5438_1401	-0.105141324	0.004568946
IAP_5620_1428	-0.071715572	0.053919669
AZD2014_1441	-0.057470739	0.121833246
AZD1208_1449	-0.132639695	0.000342144
AZD1332_1463	-0.070990762	0.05588655
Ruxolitinib_1507	-0.072382976	0.051234311
Linsitinib_1510	-0.024818457	0.483314051
Epirubicin_1511	-0.052930645	0.147842628
Cyclophosphamide_1512	-0.086655202	0.017764962
Pevonedistat_1529	-0.109207963	0.002801298
