Drug	SYNONYMS	TARGET	TARGET_PATHWAY
Erlotinib	"Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415"	EGFR	EGFR
Rapamycin	"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune"	MTORC1	PI3K/MTOR
Sunitinib	"Sutent, Sunitinib Malate, SU-11248"	"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R"	RTK
PHA.665752	"PHA665752, PHA 665752"	MET	RTK
MG-132	"LLL cpd, MG 132, MG132"	"Proteasome, CAPN1"	Protein stability and degradation
Paclitaxel	"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane"	Microtubule stabiliser	Mitosis
Cyclopamine		SMO	Other
AZ628	"AZ-628, AZ 628"	BRAF	ERK MAPK
Sorafenib	"Nexavar, 284461-73-0, BAY 43-9006"	"PDGFR, KIT, VEGFR, RAF"	RTK
Tozasertib	"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68"	"AURKA, AURKB, AURKC, others"	Mitosis
Imatinib	"Gleevec, STI-571"	"ABL, KIT, PDGFR"	"Other, kinases"
NVP.TAE684	"NVP-TAE 684, TAE684, TAE-684"	ALK	RTK 
Crizotinib	"Xalkori, PF2341066, PF-2341066, PF 2341066"	"MET, ALK, ROS1"	RTK 
Saracatinib	"AZD0530, AZD-0530, AZ-10353926"	"ABL, SRC"	"Other, kinases"
S.Trityl.L.cysteine	"NSC 83265, Tritylcysteine"	KIF11	Mitosis
Z.LLNle.CHO	"Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1"	gamma-secretase	Other
Dasatinib	"BMS-354825-03, BMS-354825, Sprycel"	"ABL, SRC, Ephrins, PDGFR, KIT"	RTK 
GNF.2	KIN001-013	BCR-ABL	ABL 
CGP.60474	"KIN001-019, CGP60474, CGP 60474"	"CDK1,CDK2,CDK5,CDK7,CDK9, PKC"	Cell cycle
CGP.082996	"CINK4, KIN001-021"	CDK4	Cell cycle
A.770041	KIN001-111	"LCK, FYN"	"Other, kinases"
WH.4.023	KIN001-112	"SRC, LCK"	"Other, kinases"
WZ.1.84	KIN001-123	BMX	"Other, kinases"
BI-2536		"PLK1, PLK2, PLK3"	Cell cycle
BMS-536924	BMS 536924	"IGF1R, IR"	IGF1R 
BMS.509744	"KIN001-127, ITK inhibitor"	ITK	"Other, kinases"
CMK	KIN001-128	RSK2	"Other, kinases"
Pyrimethamine	"Daraprim, Chloridine"	Dihydrofolate reductase (DHFR)	Other
JW.7.52.1	NA	MTOR	PI3K/MTOR 
A.443654	KIN001-139	"AKT1, AKT2, AKT3"	PI3K/MTOR 
GW843682X	GW843682X (AN-13)	PLK1	Cell cycle
Entinostat	MS-275	"HDAC1, HDAC3"	Chromatin histone acetylation
Parthenolide		HDAC1	Chromatin histone acetylation
GSK319347A	"KIN001-135, IKK-3 inhibitor"	IKK	"Other, kinases"
TGX221	"TGX-221, Tgx 221"	PI3Kbeta	PI3K/MTOR 
Bortezomib	"PS-341, LDP-341, Velcade"	Proteasome	Protein stability and degradation
XMD8.85	ERK5-IN-1	"ERK5, BET"	Other
Seliciclib	"Roscovitine, CYC-202, AL-39256"	"CDK2, CDK7, CDK9"	Cell cycle
Salubrinal	EIF-2alpha Inhibitor	EIF2A	Other
Lapatinib	"Tykerb, Tyverb"	"EGFR, ERBB2"	RTK 
GSK269962A	GSK 269962A	"ROCK1, ROCK2"	Cytoskeleton
Doxorubicin	"Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine"	Anthracycline	DNA replication
Etoposide	"Etopophos, Vepesid, Eposin, VP-16"	TOP2	DNA replication
Gemcitabine	"Gemzar, LY-188011"	Pyrimidine antimetabolite	DNA replication
Mitomycin.C	"Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex"	DNA crosslinker	DNA replication
Vinorelbine	"vinorelbine tartrate, Navelbine, Exelbine"	Microtubule destabiliser	Mitosis
NSC.87877	NSC 87877	"SHP-1 (PTPN6), SHP-2 (PTPN11)"	Other
Bicalutamide	"ICI-176334, Casodex, Cosudex, ICI 176334"	AR	Hormone-related
QS11	944328-88-5	ARFGAP1	Other
CP466722	"CP-466722, CP 466722, 1080622-86-1"	ATM	Genome integrity
Midostaurin	"PKC412, benzoylstaurosporine, CGP-41251"	"PKC, PPK, FLT1, c-FGR, others"	Other
CHIR.99021	"CT 99021, CHIR99021, CHIR 99021"	"GSK3A, GSK3B"	WNT 
Ponatinib	"AP24534, AP-24534, KIN001-192, Iclusig"	"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3"	"Other, kinases"
AZD6482	"AZD 6482, AZD-6482, AK-55409"	PI3Kbeta	PI3K/MTOR 
JNK.9L	"KIN001-204, JNK inhibitor 9l"	"JNK2, JNK3"	JNK and p38 
PF.562271	PF-00562271	"FAK, FAK2"	Cytoskeleton
HG6.64.1	KIN001-206	BRAF	ERK MAPK 
JQ1	"JQ-1, (+)-JQ-1"	"BRD2, BRD3, BRD4, BRDT"	Chromatin other
JQ12		"HDAC1, HDAC2"	Chromatin histone acetylation
DMOG	Dimethyloxalylglcine	HIF-PH	Metabolism
FTI.277		Farnesyl-transferase (FNTA)	Other
OSU.03012	"AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12"	PDK1 (PDPK1)	Metabolism
Shikonin	Anchusin	not defined	Other
AKT.inhibitor.VIII	"Akti-1/2, KIN001-102"	"AKT1, AKT2, AKT3"	PI3K/MTOR 
Embelin	"Emberine, Embelic acid"	XIAP	Apoptosis regulation
FH535		"PPARgamma, PPARdelta"	Other
PAC.1	GTPL5238	"Procaspase-3, Procaspase-7"	Apoptosis regulation
IPA.3	IPA 3	PAK1	Cytoskeleton
GSK650394	"GSK-650394, GSK 650394"	"SGK2, SGK3"	"Other, kinases"
BAY.61.3606	"Syk Inhibitor, BAY-613606"	SYK	"Other, kinases"
5-Fluorouracil	5-FU	Antimetabolite (DNA & RNA)	Other
Thapsigargin	Octanoic acid	SERCA	Other
Obatoclax Mesylate	"GX15-070MS, Obatoclax, GX15-070"	"BCL2, BCL-XL, BCL-W, MCL1"	Apoptosis regulation
BMS-754807	"BMS754807, BMS 754807"	"IGF1R, IR"	RTK 
Linsitinib	"OSI-906, ASP-7487"	IGF1R	IGF1R 
Bexarotene	"LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum"	Retinioic X receptor (RXR) agonist	Other
Bleomycin		dsDNA break induction	DNA replication
LFM.A13	DDE-28	BTK	"Other, kinases"
GW.2580	"GX2580, CFMS receptor tyrosine kinase inhibitor"	CSF1R	RTK 
Luminespib	"AUY922, VER-52296,NVP-AUY922,  AUY"	HSP90	Protein stability and degradation
Phenformin	DBI	Biguanide agent	Other
Bryostatin.1	Bryostatin	PKC	Other
Pazopanib	Votrient	"CSF1R, KIT,  PDGFRA, PDGFRB"	RTK 
Dacinostat	"NVP-LAQ824, LAQ824"	HDAC1	Chromatin histone acetylation
Epothilone.B	"Patupilone, EpoB, EPO906, GNF-PF-193"	Microtubule stabiliser	Mitosis
GSK1904529A	"GSK-1904529A, GSK 1904529A"	"IGF1R, IR"	RTK 
BMS-345541	"BMS345541, IKK Inhibitor 3"	"IKK1, IKK2"	"Other, kinases"
Tipifarnib	Zarnestra	Farnesyl-transferase (FNTA)	Other
Avagacestat	"BMS-708163, BMS 708163"	"Amyloid beta20, Amyloid beta40"	Other
Ruxolitinib	"INCB-18424, Ruxolitinib Phosphate, Jakafi"	"JAK1, JAK2"	"Other, kinases"
AS601245		"JNK1, JNK2, JNK2"	JNK and p38 
Ispinesib.Mesylate	SB-715992	KSP	Mitosis
TL.2.105		not defined	Other
AT.7519	AT7519	"CDK1, CDK2, CDK4, CDK6, CDK9"	Cell cycle
TAK.715	"KIN001-201, TAK 715"	"p38alpha, p38beta"	JNK and p38 
BX.912		PDK1 (PDPK1)	Metabolism
ZSTK474	"KIN001-167, ZSTK-474, ZSTK 474"	PI3K (class 1)	PI3K/MTOR 
AS605240	"KIN001-173, AS-605240"	PI3Kgamma	PI3K/MTOR 
Genentech.Cpd.10		"AURKA, AURKB"	Mitosis
GSK1070916	GSK-1070916	"AURKA, AURKC"	Mitosis
