sample	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-OR-A5J1-01	-1430.063421	-950.2355612	-2380.298982
TCGA-OR-A5J2-01	-790.7230817	-1184.37418	-1975.097262
TCGA-OR-A5J3-01	-1509.366474	-1384.391466	-2893.75794
TCGA-OR-A5J5-01	-1948.777408	-1242.302138	-3191.079546
TCGA-OR-A5J6-01	-929.730218	-391.4056833	-1321.135901
TCGA-OR-A5J7-01	-1447.598901	-1381.541699	-2829.1406
TCGA-OR-A5J8-01	1180.809476	1077.84491	2258.654386
TCGA-OR-A5J9-01	-1221.101306	-1331.673366	-2552.774673
TCGA-OR-A5JA-01	-1708.927371	-1018.159156	-2727.086527
TCGA-OR-A5JB-01	-915.9442027	828.5490045	-87.39519814
TCGA-OR-A5JC-01	-1179.231416	-973.1698933	-2152.40131
TCGA-OR-A5JD-01	-1081.213779	-364.1183184	-1445.332097
TCGA-OR-A5JE-01	-1159.632657	-775.5730214	-1935.205678
TCGA-OR-A5JF-01	-1275.72789	-1441.430915	-2717.158805
TCGA-OR-A5JG-01	-1210.697618	-1080.446339	-2291.143956
TCGA-OR-A5JI-01	-387.9052837	-463.5341741	-851.4394578
TCGA-OR-A5JJ-01	-1491.042302	-1441.37262	-2932.414922
TCGA-OR-A5JK-01	-644.9926089	388.8777701	-256.1148388
TCGA-OR-A5JL-01	-1496.145559	-947.8291063	-2443.974666
TCGA-OR-A5JM-01	-1774.797172	-1708.698715	-3483.495886
TCGA-OR-A5JO-01	416.9237895	982.7251141	1399.648904
TCGA-OR-A5JP-01	-1079.482187	-1459.582198	-2539.064385
TCGA-OR-A5JQ-01	-517.014522	-336.3270674	-853.3415895
TCGA-OR-A5JR-01	-1280.1697	-720.3160672	-2000.485768
TCGA-OR-A5JS-01	-1687.472962	-1428.831826	-3116.304787
TCGA-OR-A5JT-01	-1407.544845	-1093.396004	-2500.940849
TCGA-OR-A5JV-01	-418.0276798	663.8813362	245.8536564
TCGA-OR-A5JW-01	-1367.12051	-1103.340417	-2470.460927
TCGA-OR-A5JX-01	-1181.767089	-981.4985136	-2163.265602
TCGA-OR-A5JY-01	-1270.271492	-725.5268869	-1995.798379
TCGA-OR-A5JZ-01	-1185.52827	-785.9395071	-1971.467777
TCGA-OR-A5K0-01	-1767.921326	-1267.760872	-3035.682198
TCGA-OR-A5K1-01	-1013.563435	-734.677433	-1748.240868
TCGA-OR-A5K2-01	-1281.360769	-996.2764679	-2277.637237
TCGA-OR-A5K3-01	-1334.053734	-623.6001643	-1957.653898
TCGA-OR-A5K4-01	-2023.023189	-1551.285822	-3574.309011
TCGA-OR-A5K5-01	-1536.688166	-1341.0385	-2877.726666
TCGA-OR-A5K6-01	-1232.367982	-852.8183954	-2085.186377
TCGA-OR-A5K8-01	-1509.973764	-1177.462905	-2687.436669
TCGA-OR-A5K9-01	-1342.959192	-1494.915283	-2837.874475
TCGA-OR-A5KO-01	-1727.717568	-1704.63466	-3432.352228
TCGA-OR-A5KT-01	100.7204022	165.3122826	266.0326847
TCGA-OR-A5KU-01	-1278.610037	-1523.373579	-2801.983616
TCGA-OR-A5KV-01	-1700.476035	-1791.874862	-3492.350898
TCGA-OR-A5KW-01	-1299.860497	-1558.427846	-2858.288343
TCGA-OR-A5KX-01	-1600.10513	-1181.088894	-2781.194023
TCGA-OR-A5KY-01	-845.0275935	-1012.878507	-1857.906101
TCGA-OR-A5KZ-01	-887.9151909	-1089.514546	-1977.429737
TCGA-OR-A5L3-01	-1468.364406	-1095.903441	-2564.267847
TCGA-OR-A5L4-01	-862.1590177	-997.7973089	-1859.956327
TCGA-OR-A5L5-01	-327.8977736	-330.6690302	-658.5668039
TCGA-OR-A5L6-01	-1151.707716	-653.8326252	-1805.540342
TCGA-OR-A5L8-01	-1176.38395	-1743.821966	-2920.205916
TCGA-OR-A5L9-01	-499.4087805	-25.32822341	-524.7370039
TCGA-OR-A5LA-01	-370.9638232	8.426975934	-362.5368472
TCGA-OR-A5LB-01	-1676.776635	-1688.178701	-3364.955336
TCGA-OR-A5LC-01	-969.3401562	-1220.076134	-2189.41629
TCGA-OR-A5LD-01	-1542.72899	-1662.184388	-3204.913378
TCGA-OR-A5LE-01	-2006.165286	-1760.35881	-3766.524097
TCGA-OR-A5LG-01	-871.1539644	-660.3918338	-1531.545798
TCGA-OR-A5LH-01	-1438.293847	-789.7286587	-2228.022506
TCGA-OR-A5LJ-01	-1659.78635	-1041.660749	-2701.447099
TCGA-OR-A5LK-01	-567.1706358	681.3534286	114.1827928
TCGA-OR-A5LL-01	-1315.039794	-1198.101551	-2513.141345
TCGA-OR-A5LM-01	-1544.863391	-1105.365153	-2650.228544
TCGA-OR-A5LN-01	-996.8533472	120.5377802	-876.3155671
TCGA-OR-A5LO-01	-1721.835489	-1940.796403	-3662.631893
TCGA-OR-A5LP-01	-168.0556683	-394.5418537	-562.597522
TCGA-OR-A5LR-01	-919.8858033	-811.0930014	-1730.978805
TCGA-OR-A5LS-01	-1641.984415	-1636.024436	-3278.008851
TCGA-OR-A5LT-01	-1613.88688	-1356.867351	-2970.754231
TCGA-OU-A5PI-01	-960.6480819	-1446.964364	-2407.612446
TCGA-P6-A5OF-01	-1023.874094	-1176.185298	-2200.059392
TCGA-P6-A5OG-01	529.9225899	859.1793923	1389.101982
TCGA-PA-A5YG-01	-273.2155565	63.08233406	-210.1332224
TCGA-PK-A5H8-01	-1250.468388	-932.8949997	-2183.363388
TCGA-PK-A5H9-01	-554.3476537	-661.6120823	-1215.959736
TCGA-PK-A5HA-01	-204.9316961	3.315331183	-201.616365
TCGA-PK-A5HB-01	-1213.949617	-1219.769407	-2433.719024
TCGA-2F-A9KO-01	-644.7821994	463.0675502	-181.7146492
TCGA-2F-A9KP-01	-2068.533745	-1556.466846	-3625.000591
TCGA-2F-A9KQ-01	-1640.967032	-1380.715078	-3021.682111
TCGA-2F-A9KR-01	-1915.130995	-1022.702205	-2937.8332
TCGA-2F-A9KT-01	-1390.805093	-911.8411935	-2302.646287
TCGA-2F-A9KW-01	-528.2845606	-548.6426781	-1076.927239
TCGA-4Z-AA7M-01	-1484.050904	-964.6825948	-2448.733498
TCGA-4Z-AA7N-01	350.801909	1657.356658	2008.158567
TCGA-4Z-AA7O-01	-1125.922905	-295.2544409	-1421.177346
TCGA-4Z-AA7Q-01	-1043.79819	815.2381224	-228.5600671
TCGA-4Z-AA7R-01	-1413.842451	-1375.691306	-2789.533756
TCGA-4Z-AA7S-01	-1855.211177	-1451.054917	-3306.266094
TCGA-4Z-AA7W-01	-641.5491424	1745.721066	1104.171924
