sample	CancerType	Cuproptosis_positive	Cuproptosis_negative	Cuproptosis_activity_score	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE
TCGA-OR-A5J1	ACC	0.543845885	0.416944474	0.126901411	0	0.059474665	0.010685048	0.135295433	0	0.271379491	0	0.000549535	0	0	0.021988072	0.005072471	0.104791611	0	0	0.256512212	0	0.020278688	0.113972774	0	0	0	0.5	0.015300013	1.073967603
TCGA-OR-A5J2	ACC	0.610243982	0.517133344	0.093110637	0.022136428	0	0.151287438	0.113243388	0	0.13838926	0	0.010731424	0	0	0	0.006604672	0.047420691	0	0.016499908	0.444081503	0	0.049605289	0	0	0	0	0.036	0.193012214	1.013851291
TCGA-OR-A5J3	ACC	0.450292459	-0.479086981	0.92937944	0	0.101665747	0.000224489	0.017344025	0.143165163	0.110012861	0	0	0	0	0.003307195	0.080319251	0.05009036	0	0	0.252791915	0	0.156532572	0.084546422	0	0	0	0.964	-0.031631003	1.087225184
TCGA-OR-A5J5	ACC	0.275258429	-0.45775842	0.733016849	0.07188149	0	0.000143401	0.061211163	0.009545689	0.165922602	0	0	0	0	0.080178004	0.02042856	0.04074639	0.064718637	0	0.438330348	0	0.018773551	0.028120165	0	0	0	0.464	0.018477814	1.084728063
TCGA-OR-A5J6	ACC	0.759336614	0.520825794	0.23851082	0.01501698	0	0.000336609	0.053699413	0	0.134202569	0	0.001460726	0	0	0	0.0140868	0.075631955	0	0.00041913	0.590038954	0.007955258	0.007065922	0.096331057	0	0	0.003754627	0.06	0.150152966	1.042130275
TCGA-OR-A5J7	ACC	0.671295931	0.565762611	0.10553332	0	0.073519175	0	0.045854637	0	0.339124813	0	0.009387924	0	0	0.104364263	0.057511987	0.128603732	0.054420513	0	0.004497728	0	0.055835854	0.066185395	0	0.060693978	0	0.754	-0.008281382	1.0971233
TCGA-OR-A5J8	ACC	-0.327507545	0.525131105	-0.85263865	0.005432243	0	0	0.163549976	0	0.097142372	0	0.038628289	0.009223592	0	0	0.02562611	0.014391826	0	0.066009142	0.536624932	0.001791237	0	0.033827339	0	0	0.007752942	0.022	0.236703441	0.998386325
TCGA-OR-A5J9	ACC	0.489404454	0.347092283	0.142312172	0.005061864	0	0	0.072400656	0.123743699	0	0	0	0	0	0.075047151	0.025475763	0.263057413	0	0	0.406166702	0	0.016384185	0	0.012662566	0	0	0.574	0.006996769	1.098439386
TCGA-OR-A5JA	ACC	0.567468388	0.294593105	0.272875283	0	0.016665582	0.003675581	0.173087722	0.022683281	0.249474906	0	0	0	0	0	0.055330533	0.08405849	0	0	0.317556251	0	0.038858114	0.037087747	0	0	0.001521794	0.262	0.051399556	1.072769269
TCGA-OR-A5JB	ACC	-0.506351819	0.574426295	-1.080778113	0	0.045084004	0.02446146	0.21717425	0	0.035629975	0.059993487	0.068539095	0.025243563	0	0.029792863	0.012749689	0.010556173	0	0.12140997	0.253876175	0.008954294	0	0	0.086535002	0	0	0.004	0.363853073	0.93364468
TCGA-OR-A5JC	ACC	0.619585656	0.323683668	0.295901987	0.004647599	0.002189926	0.001298426	0.16111033	0	0.137723019	0	0.004499441	0	0	0.008571706	0.054722297	0.061562501	0	0.013726858	0.415378002	0.001871801	0.006102302	0.12659579	0	0	0	0.39	0.028468837	1.076547554
TCGA-OR-A5JD	ACC	0.798538355	-0.668569864	1.467108219	2.34E-05	0.014606589	0	0.104888114	0	0.174894885	0	0.017927994	0	0	0	0.070306382	0.086104578	0	0.001636545	0.329551512	0	0.009329551	0	0.190730428	0	0	0.068	0.143258537	1.039811595
TCGA-OR-A5JE	ACC	0.619872117	-0.35129996	0.971172077	0	0.000969738	0	0.073729097	0	0	0	0.052048791	0.001717682	0	0	0.046578691	0.130220269	0	0	0.307805228	0	0.201440617	0	0.132497138	0.052992749	0	0.36	0.031849328	1.082516363
TCGA-OR-A5JF	ACC	0.669145261	-0.329634825	0.998780085	0.012902086	0	0	0.066189677	0.101602992	0.281089159	0	0	0	0	0	0	0.044631312	0	0.002222638	0.314923526	0	0.118370737	0	0.058067874	0	0	0.634	0.002093647	1.091965494
TCGA-OR-A5JG	ACC	0.654840151	0.371318352	0.2835218	0	0.048528708	0.016051814	0.046098903	0.02703734	0.290681823	0	0	0	0	0.029157683	0.043166582	0.046702902	0	0.007188909	0.363861298	0.002714817	0.026124546	0.032788168	0	0.010289727	0.009606781	0.112	0.095797467	1.047142316
TCGA-OR-A5JI	ACC	0.540125958	-0.450658029	0.990783987	0.015952911	0	0.018967438	0.227581788	0	0.123479325	0	0.043346479	0.067475267	0	0	0.049294174	0.053860177	0	0.015371064	0.27822448	0.000266645	0.004696913	0.101483338	0	0	0	0.152	0.078236885	1.058111102
TCGA-OR-A5JJ	ACC	0.552899756	-0.454487562	1.007387319	0.178164605	0	0.162927823	0.183149452	0	0.035429121	0	0.089307793	0.006645635	0	0	0.088274466	0.017397582	0	0.018393551	0.178417124	0	0.020507306	0.021385542	0	0	0	0.002	0.376416336	0.934554419
TCGA-OR-A5JK	ACC	0.618336779	0.458217296	0.160119483	0.01165598	0.01429447	0.005281604	0.401110318	0	0.016612688	0	0.100375799	0.082677623	0	0	0.036194536	0.051984595	0	0.060153885	0.219356667	0	0	0	0.000301834	0	0	0.134	0.086407234	1.082614188
