sample	CancerType	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE
TCGA-OR-A5JG-01	ACC	0	0.048528708	0.016051814	0.046098903	0.02703734	0.290681823	0	0	0	0	0.029157683	0.043166582	0.046702902	0	0.007188909	0.363861298	0.002714817	0.026124546	0.032788168	0	0.010289727	0.009606781	0.112	0.095797467	1.047142316
TCGA-OR-A5LG-01	ACC	0.007168876	0.01112538	0.007981885	0.139842292	0	0.14274236	0	0.001614244	0	0	0.00790617	0.031557566	0.068116966	0	0	0.448243225	0	0.007464177	0.126236859	0	0	0	0.104	0.103344811	1.046162622
TCGA-OR-A5JD-01	ACC	2.34E-05	0.014606589	0	0.104888114	0	0.174894885	0	0.017927994	0	0	0	0.070306382	0.086104578	0	0.001636545	0.329551512	0	0.009329551	0	0.190730428	0	0	0.068	0.143258537	1.039811595
TCGA-OR-A5LH-01	ACC	0.047299082	0.038179517	0	0.198591398	0	0.065240008	0	0.043309924	0	0	0	0.101880404	0.140177691	0	0.012081089	0.287939269	0	0.000576289	0	0.064725328	0	0	0.388	0.028762925	1.080552774
TCGA-OR-A5KY-01	ACC	0	0.024795234	0.004418098	0.051506031	0	0.22589166	0	0	0	0	0	0.032547133	0.099327106	0	9.98E-05	0.486399668	0	0.042827337	0	0.017418491	0.014769491	0	0.246	0.055620633	1.073474371
TCGA-PK-A5HB-01	ACC	0.019728261	0	0.014664606	0	0.013624882	0.225556865	0	0.00075493	0	0	0.065301531	0	0.066012249	0	0	0.299668268	0	0.237543673	0.057144736	0	0	0	0.32	0.03879364	1.069126388
TCGA-PK-A5HA-01	ACC	0	0.010996764	0.003813116	0.116870615	0	0.020107017	0.005498853	0.014422727	0.010774998	0	0.010742743	0	0.040652964	0	0	0.692738446	0.009129606	0	0.06425215	0	0	0	0	0.406630778	0.921035074
TCGA-OR-A5KX-01	ACC	0.028727397	0	0.002107505	0.053813638	0	0.22383501	0	0	0	0	0.044523964	0.035820552	0.263011791	0	0	0.187700535	0	0.004056799	0.156402809	0	0	0	0.388	0.028788096	1.069756964
TCGA-PK-A5H8-01	ACC	0.016978541	0	0	0.027379688	0	0.206535546	0	0.004526315	0	0	0	0.091767872	0.107543415	0	0	0.423374308	0	0.017146642	0	0.10045096	0.004296713	0	0.262	0.050868394	1.076773881
TCGA-PK-A5H9-01	ACC	0.003085719	0.009173641	0.02464385	0.063446646	0	0.142123641	0	0.074405884	0	0	0	0.063861637	0.120520682	0	0.017892596	0.337404999	0	0.003450275	0.139990431	0	0	0	0.434	0.02201999	1.068640623
