CDKN2A	DLAT	DLD	FDX1	GLS	LIAS	LIPT1	MTF1	PDHA1	PDHB
TSIX	TSIX	SNHG1	MIAT	GAS5	MIR17HG	TCL6	BCAR4	PVT1	PLK1S1
BCYRN1	DLEU2	MALAT1	NEAT1	SNHG1	NEAT1	TSIX	CASC2	MEG3	TUG1
HAR1A	SNHG1	PLK1S1	TSIX	SNHG12	TSIX	MALAT1	DNM1P35	SNORA76	TUG1
MALAT1	H19	RFPL1S	XIST	TSIX	TUG1	MALAT1	FAM66C	TCL6	HCG18
NEAT1	MALAT1	SNHG7	NEAT1	CASC2	NEAT1	DNM1P35	GAS5	TCL6	NEAT1
PART1	TSIX	TSIX	DGCR5	FAM95B1	NEAT1	MALAT1	NEAT1	MIAT	PVT1
SNHG1	BCYRN1	XIST	TTTY15	MALAT1	XIST	NEAT1	PART1	PCA3	RMST
TCL6	MALAT1	NEAT1	DGCR5	MEG3	DNM1P35	MALAT1	SNORD91A	PCGEM1	SNHG12
TSIX	TSIX	NEAT1		NEAT1	FAM95B1	CASC2	TSIX	RFPL1S	TSIX
XIST	XIST	BCYRN1		SNHG1	DGCR9	DSCR9	XIST	TCL6	TUG1
MEG3	CASC2	GAS5		SNHG11	BCYRN1	MEG3	DGCR9	TSIX	XIST
NEAT1	FAM157B	MIR17HG		SNHG12	DNM1P35	TSIX	HCG22	XIST	DNM1P35
PART1	HCG18	HCG18		SNHG6	MALAT1	XIST	MEG3	NEAT1	TCL6
MEG3	MALAT1	MIR17HG		TSIX	NEAT1	DGCR5	MEG8	PCA3	PVT1
NEAT1	NEAT1	NEAT1		TUG1	SNHG1	RPPH1	MIMT1	NEAT1	FAM182A
DIO3OS	TUG1	TUG1		XIST	SNHG1		NEAT1	SNHG6	SNHG12
NEAT1	XIST			DGCR5			PART1	PLK1S1	XIST
TSIX	MALAT1			FAM95B1			RMST	TUG1	
XIST	SNHG12			MEG3			SERHL	DGCR5	
NEAT1	HCG18			NEAT1			TCL6	MEG3	
TSIX	MIR17HG			PVT1			TSIX	NEAT1	
GHRLOS	NEAT1			SERHL			DGCR5	PCGEM1	
CECR7	RPPH1			SNHG1			FAM66A	TCL6	
H19	SNHG1			SNHG7			FAM95B1	NEAT1	
MALAT1	SNHG6			SNORA76			HCG18	GAS5	
MEG3				SNHG10			MALAT1	MIR17HG	
TSIX				TSIX			MEG8	SNHG1	
XIST				XIST			PLK1S1	SNHG10	
CECR7				TSIX			PSORS1C3	SNHG12	
MEG3				SNHG6			SNHG1	SNHG6	
NEAT1				CASC2			SNHG11		
PART1				DGCR5			TSIX		
TCL6				GAS5			TUG1		
TSIX				HCG11			FAM157B		
MALAT1				MALAT1			FAM66A		
MIAT				MEG3			FAM66E		
NEAT1				NEAT1			H19		
PART1				PART1			HCG11		
				RFPL1S			PART1		
				SNHG1			POLR2J4		
				SNHG12			PVT1		
				SNHG6			SNHG3		
				CASC2			TSIX		
				FAM95B1			XIST		
				GAS5			CASC2		
				MEG3			FAM95B1		
