sample	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-OR-A5J1-01	13.7	6.88	7.47	10.82	9.7	11.08	11.42	8.28	11.57	8.06
TCGA-OR-A5J2-01	11.15	7.53	6.09	12.18	9.89	10.63	10.96	8.66	10.65	9.42
TCGA-OR-A5J3-01	14.11	7.87	5.85	12.38	9.55	11.55	10.64	8.59	9.67	6.75
TCGA-OR-A5J5-01	12.23	8.49	6.78	10.29	8.57	11.48	9.48	7.67	9.52	10.35
TCGA-OR-A5J6-01	14.99	8.7	7.3	12.39	10.67	10.34	11.58	8.42	12.03	6.75
TCGA-OR-A5J7-01	14.76	7.67	7.13	11.58	10.93	10.25	11.12	8.91	10.32	8.87
TCGA-OR-A5J8-01	8.58	7.51	7.33	10.84	8.65	10.41	10.55	8.52	10.27	10.81
TCGA-OR-A5J9-01	12.34	8.87	6.4	11.9	8.59	10.22	10.7	8.29	10.14	9.59
TCGA-OR-A5JA-01	13.48	8.93	6.29	11.9	10.08	11.08	10.02	8.43	10.09	9.12
TCGA-OR-A5JB-01	9.33	5.73	6.54	9.62	9.77	11.07	9.82	9.02	9.79	12.3
TCGA-OR-A5JC-01	14.46	8.29	7.45	11.05	9.32	11.46	11.02	8.39	10.56	9.52
TCGA-OR-A5JD-01	11.04	9.17	6.29	12.47	10.21	12.64	11.63	7.9	10.76	6.96
TCGA-OR-A5JE-01	15.32	7.84	6.68	11.21	10.3	10.24	11.96	7.74	10.15	10.48
TCGA-OR-A5JF-01	14.88	8.99	6.81	12.25	9.51	11.36	10.43	8.18	10.33	8.25
TCGA-OR-A5JG-01	13.62	9.21	7.58	12.39	9.54	10.92	10.71	8.59	9.92	8.75
TCGA-OR-A5JI-01	11.02	8.19	6.92	10.94	9.1	11.33	11.4	7.66	10.16	9.93
TCGA-OR-A5JJ-01	13.44	9.18	6.36	12.26	9.46	11.45	9.8	8.2	9.27	9.96
TCGA-OR-A5JK-01	13.6	8.49	8.49	11.41	8.95	11.65	10.35	8.47	11.68	8.83
TCGA-OR-A5JL-01	14.13	9.13	5.92	13.53	10.64	11.81	10.97	8.37	10.88	6.04
TCGA-OR-A5JM-01	14.88	6.88	6.25	10.9	10.6	10.34	11.44	7.44	10.73	9.42
TCGA-OR-A5JO-01	10.23	7.99	6.82	10.94	9.4	11.17	10.79	8.58	11.72	9.06
TCGA-OR-A5JP-01	15.07	8.49	6.45	12.34	9.95	10.72	11.7	8.07	11.87	9.53
TCGA-OR-A5JQ-01	10.39	8.34	6.54	11.59	9.32	11.66	11.59	7.55	10.68	8.7
TCGA-OR-A5JR-01	11.71	9.14	6.18	12.36	10.13	12.02	11.4	8.22	12.05	9.02
TCGA-OR-A5JS-01	14.04	7.38	6.45	11.64	10.48	10.31	10.96	7.7	10.52	8.34
TCGA-OR-A5JT-01	11.22	9.06	6.37	11.96	10.35	12.27	10.66	7.67	12.98	8.5
TCGA-OR-A5JV-01	12.18	8.42	6.85	12.17	10.54	11.41	10.85	8.12	11.6	8.55
TCGA-OR-A5JW-01	13.7	8.83	6.36	12.34	9.5	10.7	9.85	9.02	10.63	3.91
TCGA-OR-A5JX-01	14.19	7.36	6.46	10.55	9	11.58	10.66	7.31	10.19	9.41
TCGA-OR-A5JY-01	14.71	8.17	6.44	12.79	10.83	10.89	10.97	8.47	11.47	9.37
TCGA-OR-A5JZ-01	11.02	7.45	6.7	11.16	9.56	11.75	10	8.09	13.01	9.07
TCGA-OR-A5K0-01	12.69	7.53	6.03	11.15	9	10.56	11.04	8.06	10.84	7.96
TCGA-OR-A5K1-01	12.29	8.24	6.35	12.28	9.68	12.33	10.91	7.67	13	8.29
TCGA-OR-A5K2-01	15.09	7.14	6.8	11.63	10.54	10.55	11.68	7.4	10.24	10.33
TCGA-OR-A5K3-01	12.78	9.94	6.83	12.38	10.43	12.82	10.9	7.8	10.78	8.53
TCGA-OR-A5K4-01	11.66	8.88	6.73	11.47	10.03	12.16	10.67	8.75	13.23	9.78
TCGA-OR-A5K5-01	14.57	7.31	6.63	10.78	9.91	10.23	11.44	7.23	10.27	9.01
TCGA-OR-A5K6-01	13.77	8.5	6.71	11	9.47	10.85	11.61	7.65	10.42	7.7
TCGA-OR-A5K8-01	13.12	8.67	6.11	11.25	8.86	11.7	10.4	7.87	10.11	8.69
TCGA-OR-A5K9-01	14.62	7.76	6.68	11.96	10.12	10.02	10.87	8.19	10.74	9.18
TCGA-OR-A5KO-01	13.89	7.97	5.87	11.4	9.66	11.16	10.01	8.32	10.06	10.83
TCGA-OR-A5KT-01	14.7	8.49	7.26	11.23	10.03	10.23	11.17	8.23	10.29	9.55
TCGA-OR-A5KU-01	12.11	8.71	6.5	11.51	9.42	11.17	9.9	8.64	10.27	7.21
TCGA-OR-A5KV-01	14.34	8.93	7.32	11.88	10.78	11.17	11.74	7.81	9.62	8.74
TCGA-OR-A5KW-01	13.4	8.92	5.84	12.3	9.83	10.9	10.22	8.12	10.4	7.44
TCGA-OR-A5KX-01	12.27	8.66	6.88	11.15	9.64	10.51	10.66	8	12.17	10.15
TCGA-OR-A5KY-01	13.93	8	6.53	11.65	10.3	11.64	11.44	8.31	9.64	10.66
TCGA-OR-A5KZ-01	11.97	7.65	6.12	11.89	9.97	10.66	11.08	8.06	12.12	2.01
TCGA-OR-A5L3-01	14.92	8.12	7.81	10.9	9.59	11.67	11.77	7.19	9.82	7.21
TCGA-OR-A5L4-01	14.42	8.35	6.82	12.74	10.45	11.87	10.7	7.97	11.47	7.15
TCGA-OR-A5L5-01	12.87	8.59	7.38	11.28	9.76	12.01	10.86	7.81	13.39	7.44
TCGA-OR-A5L6-01	13.24	7.84	8.23	10.23	9.41	11.02	11	7.66	10.99	10.17
TCGA-OR-A5L8-01	13.24	7.97	6.87	12.31	9.91	10	11.08	8.9	11.03	6.43
TCGA-OR-A5L9-01	11.61	7.29	7.72	9.1	8.59	12.68	10.36	6.69	10.93	9.41
TCGA-OR-A5LA-01	12.16	9.48	7.17	11.78	9.18	12.36	11.02	7.52	11.44	7.1
TCGA-OR-A5LB-01	14.13	8.91	6.67	12.21	9.67	10.69	10.24	8.3	10.12	6.96
TCGA-OR-A5LC-01	13.66	7.76	6.56	11.48	9.22	11.24	11.21	7.49	10.77	3.93
TCGA-OR-A5LD-01	13.24	7.16	6.93	9.87	9.41	10.75	10.92	8.06	9.91	10.45
TCGA-OR-A5LE-01	15.18	7.89	6.33	12.27	11.01	11.19	11.4	8.43	11.4	9.11
TCGA-OR-A5LG-01	14.72	7.94	6.41	10.61	9.61	11.24	11.25	7.11	11.99	3.96
TCGA-OR-A5LH-01	13.74	9.22	7.21	12.78	10.16	12.31	10.92	8.42	10.39	8.39
TCGA-OR-A5LJ-01	13.37	7.75	6.31	11.45	9.61	11.07	11.5	8.16	9.57	8.08
TCGA-OR-A5LK-01	9.88	8.48	8.01	10.79	8.99	11.94	10.99	7.85	11.12	9.48
TCGA-OR-A5LL-01	13.53	7.73	7.06	11.5	10.52	10.32	10.09	7.5	11.84	7.15
TCGA-OR-A5LM-01	14.48	9.06	7.09	11.88	9.66	11.63	10.66	8.55	9.76	8.27
TCGA-OR-A5LN-01	11.47	8.41	6.92	11.04	8.94	12.15	11.03	7.38	10.93	6.89
TCGA-OR-A5LO-01	12.76	8.78	7.16	11.91	9.21	10.45	10.02	9.12	10.07	8.6
TCGA-OR-A5LP-01	11.15	7.77	7.03	12.33	10.01	12.5	9.91	8.16	12.3	6.93
TCGA-OR-A5LR-01	11.99	7.92	7.2	10.69	9.76	12.24	10.44	8.04	14.49	8.12
TCGA-OR-A5LS-01	15.22	8.94	6.46	12.65	9.86	10.54	10.28	9.02	9.99	7.55
TCGA-OR-A5LT-01	10.98	9.3	6.78	10.52	9.35	11.57	10.84	7.43	10.58	9.02
TCGA-OU-A5PI-01	14.04	8.48	7.02	12.24	9.2	10.48	10.22	9.08	10.24	7.03
TCGA-P6-A5OF-01	13.58	8.39	5.15	11.45	9.28	10.81	9.85	8.24	11.11	8.1
TCGA-P6-A5OG-01	9.14	7.59	7.03	10.17	10.22	10.72	10.38	8.38	10.92	11.12
TCGA-PA-A5YG-01	10.98	8.05	6.95	12.41	9.85	12.18	10.36	8.14	12.57	7.74
TCGA-PK-A5H8-01	14.28	7.68	7.07	11.58	9.81	11.21	9.91	7.94	11.33	8.45
TCGA-PK-A5H9-01	11.83	8.19	6.68	12.23	10.35	11.88	11.01	9.06	13.11	6.81
TCGA-PK-A5HA-01	9.69	8.19	6.49	10.46	9.18	11.22	10.42	8.02	10.2	10.29
TCGA-PK-A5HB-01	10.94	7.95	6.05	12.24	10.55	10.67	9.86	8.75	10.43	9.05
TCGA-2F-A9KO-01	9.02	6.99	6.77	11.1	9.25	10.7	9.5	8.99	10.4	5.45
TCGA-2F-A9KP-01	10.05	7.63	7.22	11.33	10.37	10.2	10.65	9.33	9.84	8.61
TCGA-2F-A9KQ-01	9.41	7.47	5.46	11.5	10.01	10.21	10.41	7.59	10.93	4.57
TCGA-2F-A9KR-01	8.85	7.61	6.65	11.09	9.31	10.67	10.26	9.38	10.78	2.74
TCGA-2F-A9KT-01	8.39	7.44	5.76	10.45	8.66	10.07	10.2	9.03	10.85	2.13
TCGA-2F-A9KW-01	10.92	7.86	6.33	11.19	10.23	11.74	11.06	8.94	9.75	4.31
TCGA-4Z-AA7M-01	9.49	7.1	6.55	11.42	9.69	9.7	10.78	8.35	9.55	10.32
TCGA-4Z-AA7N-01	10.09	7.11	6.86	10.67	9.41	9.72	9.63	9.52	10.92	7.51
TCGA-4Z-AA7O-01	8.28	7.78	6.34	10.78	9.08	10.37	10.37	8.46	10.34	3.46
TCGA-4Z-AA7Q-01	9.3	7.37	7.29	11.13	9.47	11.23	9.67	9.6	9.77	11.3
TCGA-4Z-AA7R-01	9.27	7.14	5.93	11.97	10.06	10.66	10.1	8.24	11.6	12.55
