sample	TN	PATIENT	cancer	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-BL-A13J-01	tumor	TCGA-BL-A13J	BLCA	9.37	7.6	6.44	10.68	9.58	9.74	9.98	8.99	10.63	1.92
TCGA-BL-A13J-11	normal	TCGA-BL-A13J	BLCA	8.8	8.2	7.12	11.57	9.8	11	10.56	9.08	10.57	3.68
TCGA-BT-A20N-01	tumor	TCGA-BT-A20N	BLCA	9.41	6.76	5.65	10.91	10.33	10.16	9.96	9.32	11.96	10.08
TCGA-BT-A20N-11	normal	TCGA-BT-A20N	BLCA	9.07	7.71	5.71	11.5	10.01	10.88	10.74	9.08	11.58	3.82
TCGA-BT-A20Q-01	tumor	TCGA-BT-A20Q	BLCA	9.41	7.32	6.2	11.02	9.76	10.46	10.17	8.48	10.97	3.62
TCGA-BT-A20Q-11	normal	TCGA-BT-A20Q	BLCA	8.85	7.81	7.11	11.36	9.69	10.99	10.97	8.73	10.96	4.35
TCGA-BT-A20R-01	tumor	TCGA-BT-A20R	BLCA	9.59	6.6	5.93	10.66	10.09	10.87	10.21	8.11	10.05	11.08
TCGA-BT-A20R-11	normal	TCGA-BT-A20R	BLCA	8.94	7.97	6.33	11.76	10.1	11.17	10.54	8.68	11.15	3.64
TCGA-BT-A20U-01	tumor	TCGA-BT-A20U	BLCA	8.69	7.65	5.93	11.79	10.72	10.89	10.56	9.47	10.13	2.09
TCGA-BT-A20U-11	normal	TCGA-BT-A20U	BLCA	9.78	7.57	6.73	11.33	10.34	11.29	11.11	9.64	9.27	2.85
TCGA-BT-A20W-01	tumor	TCGA-BT-A20W	BLCA	8.52	8	7.03	10.74	9.48	11.11	9.93	8.66	9.95	7.67
TCGA-BT-A20W-11	normal	TCGA-BT-A20W	BLCA	8.82	7.67	6.77	11.04	9.74	10.52	10.24	8.73	10.52	7.11
TCGA-BT-A2LA-01	tumor	TCGA-BT-A2LA	BLCA	7.95	6.63	6.6	10.26	9.35	10.63	10.97	8.81	8.94	10.62
TCGA-BT-A2LA-11	normal	TCGA-BT-A2LA	BLCA	9.78	7.45	6.77	10.75	9.17	10.58	10.16	9.34	8.56	8.12
TCGA-BT-A2LB-01	tumor	TCGA-BT-A2LB	BLCA	8.53	7.02	6.59	10.84	9.03	11.51	10.45	8.07	10.24	5.94
TCGA-BT-A2LB-11	normal	TCGA-BT-A2LB	BLCA	9.43	6.62	6.15	11.04	9.96	10.87	10.2	10.83	9.82	6.57
TCGA-CU-A0YN-01	tumor	TCGA-CU-A0YN	BLCA	7.39	6.79	5.02	10.27	9.37	10.05	9.54	9.79	10.45	10.45
TCGA-CU-A0YN-11	normal	TCGA-CU-A0YN	BLCA	8.69	7.82	6.27	11.45	10.1	10.61	10.94	8.81	10.59	4.97
TCGA-CU-A0YR-01	tumor	TCGA-CU-A0YR	BLCA	10.07	7.2	5.54	10.44	10.65	11.4	10.18	8.33	11.41	5.49
TCGA-CU-A0YR-11	normal	TCGA-CU-A0YR	BLCA	8.66	7.78	6.53	10.91	9.75	10.73	10.35	8.85	10.7	3.67
TCGA-GC-A3BM-01	tumor	TCGA-GC-A3BM	BLCA	8.41	8.37	6.76	11.3	9.43	10.55	9.98	9.54	10.53	10.46
TCGA-GC-A3BM-11	normal	TCGA-GC-A3BM	BLCA	9.14	7.17	7.4	10.67	9.25	10.21	9.79	9.69	10.57	7.33
TCGA-GC-A3WC-01	tumor	TCGA-GC-A3WC	BLCA	9.05	7.98	7.05	11.42	10.2	10.89	9.65	9.1	10.61	10.44
